reaction_id,Stratified_ground_truth_REACTION_ID,Stratified_ground_truth_true_EC,merged_output_Stratified_ground_truth_REACTION_ID,merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_theia_Prediction,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_ec,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_theia_Prediction,merged_output_BEC-Pred_Prediction,merged_output_ec,SIMMER_SIMMER pred,SelenzymeRF_All ECs,theia_Prediction,BEC-Pred_Prediction,ec
12630,,,,,,,,,,,,,,,,,,1.14.11,1.14.11.11,1.14.11,1.14.11,1.14.11.11,1.14.11,1.14.11,1.14.11.11,1.14.11,1.14.11.11;1.14.11.67;1.14.11.27;1.14.11.65;1.14.11.54;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.33;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.-|1.14.11.35;1.14.11|1.14.11.-|1.14.11.13,"1.14.11,0.9863489866256714;4.1.1,0.00549445440992713;1.14.20,0.0034662627149373293;2.6.1,0.0033367006108164787;1.13.11,0.00046917542931623757",1.14.11,1.14.11.11,1.14.11,1.14.11.11;1.14.11.67;1.14.11.27;1.14.11.65;1.14.11.54;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.33;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.-|1.14.11.35;1.14.11|1.14.11.-|1.14.11.13,1.14.11;4.1.1;1.14.20;2.6.1;1.13.11,1.14.11,1.14.11.11,1.14.11,1.14.11.11;1.14.11.67;1.14.11.27;1.14.11.65;1.14.11.54;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.33;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.-|1.14.11.35;1.14.11|1.14.11.-|1.14.11.13,1.14.11;4.1.1;1.14.20;2.6.1;1.13.11,1.14.11,1.14.11.11,1.14.11,1.14.11.11;1.14.11.67;1.14.11.27;1.14.11.65;1.14.11.54;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.33;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.-|1.14.11.35;1.14.11|1.14.11.-|1.14.11.13,1.14.11;4.1.1;1.14.20;2.6.1;1.13.11,1.14.11,1.14.11.11,1.14.11,1.14.11.11;1.14.11.67;1.14.11.27;1.14.11.65;1.14.11.54;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.33;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.-|1.14.11.35;1.14.11|1.14.11.-|1.14.11.13,1.14.11;4.1.1;1.14.20;2.6.1;1.13.11,1.14.11,1.14.11.11
12650,,,,,,,,,,,,,,,,,,1.1.1,1.1.1.173,1.1.1,1.1.1,1.1.1.173,1.1.1,1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,"1.1.1,0.998918890953064;3.2.2,0.00021127797663211823;1.17.1,0.00018011618521995842;1.12.1,0.00010136609489563853;1.2.1,9.891489025903866e-05",1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1,1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1,1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1,1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1,1.1.1,1.1.1.173
12650,,,,,,,,,,,,,,,,,,1.1.1,1.1.1.173,1.1.1,1.1.1,1.1.1.173,1.1.1,1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,"1.1.1,0.998918890953064;3.2.2,0.00021127797663211823;1.17.1,0.00018011618521995842;1.12.1,0.00010136609489563853;1.2.1,9.891489025903866e-05",1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1,1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1,1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1,1.1.1,1.1.1.173,1.1.1,1.1.1.-|1.1.1.377|1.1.1.378;1.1.1.121;1.1.1.376;1.1.1.122;1.1.1.316;1.1.1.48;1.6.5.4;1.1.1.107|1.1.1.122;1.1.1.121|1.1.1.359;1.1.1.117;1.1.1.116;1.11.1.1|1.14.12.17;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.118|1.1.1.47;1.1.1.203;2.5.1.46;1.12.1.2|1.12.1.5,1.1.1;3.2.2;1.17.1;1.12.1;1.2.1,1.1.1,1.1.1.378
12714,,,,,,,,,,,,,,,,,,2.7.1,2.7.6.4,2.7.6,2.7.1,2.7.6.4,2.7.6,2.7.1,2.7.6.4,2.7.6,2.7.7.79;6.3.4.22;2.7.6.1,"2.7.1,0.9085978865623474;3.6.1,0.0323355495929718;2.7.4,0.022000832483172417;2.7.6,0.009234638884663582;4.6.1,0.004705716855823994",2.7.1,2.7.6.4,2.7.6,2.7.7.79;6.3.4.22;2.7.6.1,2.7.1;3.6.1;2.7.4;2.7.6;4.6.1,2.7.1,2.7.6.4,2.7.6,2.7.7.79;6.3.4.22;2.7.6.1,2.7.1;3.6.1;2.7.4;2.7.6;4.6.1,2.7.1,2.7.6.4,2.7.6,2.7.7.79;6.3.4.22;2.7.6.1,2.7.1;3.6.1;2.7.4;2.7.6;4.6.1,2.7.4,2.7.6.4,2.7.6,2.7.7.79;6.3.4.22;2.7.6.1,2.7.1;3.6.1;2.7.4;2.7.6;4.6.1,2.7.4,2.7.6.4
12754,,,,,,,,,,,,,,,,,,1.1.1,1.1.1.156,1.1.1,1.1.1,1.1.1.156,1.1.1,1.1.1,1.1.1.156,1.1.1,1.1.1.2|1.1.1.21|1.1.1.261;1.1.1.49|1.1.1.8|1.1.1.94|1.3.1.20,"1.1.1,0.9978064894676208;1.17.1,0.000455022876849398;1.2.1,0.00035481282975524664;1.12.1,0.0002083160070469603;1.3.1,0.00016307586338371038",1.1.1,1.1.1.156,1.1.1,1.1.1.2|1.1.1.21|1.1.1.261;1.1.1.49|1.1.1.8|1.1.1.94|1.3.1.20,1.1.1;1.17.1;1.2.1;1.12.1;1.3.1,1.1.1,1.1.1.156,1.1.1,1.1.1.2|1.1.1.21|1.1.1.261;1.1.1.49|1.1.1.8|1.1.1.94|1.3.1.20,1.1.1;1.17.1;1.2.1;1.12.1;1.3.1,1.1.1,1.1.1.156,1.1.1,1.1.1.2|1.1.1.21|1.1.1.261;1.1.1.49|1.1.1.8|1.1.1.94|1.3.1.20,1.1.1;1.17.1;1.2.1;1.12.1;1.3.1,1.1.1,1.1.1.156,1.1.1,1.1.1.2|1.1.1.21|1.1.1.261;1.1.1.49|1.1.1.8|1.1.1.94|1.3.1.20,1.1.1;1.17.1;1.2.1;1.12.1;1.3.1,1.1.1,1.1.1.156
12798,,,,,,,,,,,,,,,,,,1.14.11,1.14.20.13,1.14.11,1.14.11,1.14.20.13,1.14.11,1.14.11,1.14.20.13,1.14.11,1.14.11.14;1.14.11.67;1.14.11.11;1.14.11.54;1.14.11.33;1.14.11.27;1.14.11.65;1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.52;1.14.11.22;1.14.11.25;1.14.11.15;1.14.11|1.14.11.-|1.14.11.13,"1.14.11,0.9583359956741333;4.2.1,0.016817523166537285;1.14.20,0.011371733620762825;1.13.12,0.004890121053904295;1.14.13,0.003015145193785429",1.14.11,1.14.20.13,1.14.11,1.14.11.14;1.14.11.67;1.14.11.11;1.14.11.54;1.14.11.33;1.14.11.27;1.14.11.65;1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.52;1.14.11.22;1.14.11.25;1.14.11.15;1.14.11|1.14.11.-|1.14.11.13,1.14.11;4.2.1;1.14.20;1.13.12;1.14.13,1.14.11,1.14.20.13,1.14.11,1.14.11.14;1.14.11.67;1.14.11.11;1.14.11.54;1.14.11.33;1.14.11.27;1.14.11.65;1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.52;1.14.11.22;1.14.11.25;1.14.11.15;1.14.11|1.14.11.-|1.14.11.13,1.14.11;4.2.1;1.14.20;1.13.12;1.14.13,1.14.11,1.14.20.13,1.14.11,1.14.11.14;1.14.11.67;1.14.11.11;1.14.11.54;1.14.11.33;1.14.11.27;1.14.11.65;1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.52;1.14.11.22;1.14.11.25;1.14.11.15;1.14.11|1.14.11.-|1.14.11.13,1.14.11;4.2.1;1.14.20;1.13.12;1.14.13,1.14.11,1.14.20.13,1.14.11,1.14.11.14;1.14.11.67;1.14.11.11;1.14.11.54;1.14.11.33;1.14.11.27;1.14.11.65;1.14.11.66|1.14.11.67|1.14.11.68|1.14.11.69;1.14.11.51;1.14.11.53;1.14.11.52;1.14.11.22;1.14.11.25;1.14.11.15;1.14.11|1.14.11.-|1.14.11.13,1.14.11;4.2.1;1.14.20;1.13.12;1.14.13,1.14.11,1.14.20.13
12806,,,,,,,,,,,,,,,,,,2.1.1,2.1.1.122,2.1.1,2.1.1,2.1.1.122,2.1.1,2.1.1,2.1.1.122,2.1.1,2.1.1|2.1.1.122;2.1.1.132;2.1.1.201,"2.1.1,0.9998486042022705;2.8.4,5.055304791312665e-05;3.13.2,2.1786079742014408e-05;2.3.1,2.012699405895546e-05;2.5.1,1.6537675037398003e-05",2.1.1,2.1.1.122,2.1.1,2.1.1|2.1.1.122;2.1.1.132;2.1.1.201,2.1.1;2.8.4;3.13.2;2.3.1;2.5.1,2.1.1,2.1.1.122,2.1.1,2.1.1|2.1.1.122;2.1.1.132;2.1.1.201,2.1.1;2.8.4;3.13.2;2.3.1;2.5.1,2.1.1,2.1.1.122,2.1.1,2.1.1|2.1.1.122;2.1.1.132;2.1.1.201,2.1.1;2.8.4;3.13.2;2.3.1;2.5.1,2.1.1,2.1.1.122,2.1.1,2.1.1|2.1.1.122;2.1.1.132;2.1.1.201,2.1.1;2.8.4;3.13.2;2.3.1;2.5.1,2.1.1,2.1.1.122
12838,,,,,,,,,,,,,,,,,,2.7.1,2.7.1.32,2.7.2;2.7.1,2.7.1,2.7.1.32,2.7.2;2.7.1,2.7.1,2.7.1.32,2.7.2;2.7.1,2.7.1.39,"2.7.1,0.9561135768890381;2.7.11,0.011427399702370167;2.7.4,0.01077678706496954;2.7.6,0.008649853989481926;2.7.8,0.005234091076999903",2.7.1,2.7.1.32,2.7.2;2.7.1,2.7.1.39,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8,2.7.1,2.7.1.32,2.7.2;2.7.1,2.7.1.39,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8,2.7.1,2.7.1.32,2.7.2;2.7.1,2.7.1.39,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8,2.7.1,2.7.1.32,2.7.2;2.7.1,2.7.1.39,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8,2.7.1,2.7.1.32
12898,,,,,,,,,,,,,,,,,,1.14.14,1.14.14.137,1.14.14,1.14.14,1.14.14.137,1.14.14,1.14.14,1.14.14.137,1.14.14,1.14.14.-|1.14.14.13;1.14.14.5;1.14.14.3;1.14.14.28;1.14.14.8;1.14.14.15;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.30;1.13.12.16;1.14.14.108;1.14.19.9;1.14.14.137,"1.14.14,0.98049396276474;1.14.19,0.017752081155776978;1.5.1,0.0003256667114328593;1.5.8,0.0003030930820386857;1.17.7,0.0002863263653125614",1.14.14,1.14.14.137,1.14.14,1.14.14.-|1.14.14.13;1.14.14.5;1.14.14.3;1.14.14.28;1.14.14.8;1.14.14.15;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.30;1.13.12.16;1.14.14.108;1.14.19.9;1.14.14.137,1.14.14;1.14.19;1.5.1;1.5.8;1.17.7,1.14.14,1.14.14.137,1.14.14,1.14.14.-|1.14.14.13;1.14.14.5;1.14.14.3;1.14.14.28;1.14.14.8;1.14.14.15;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.30;1.13.12.16;1.14.14.108;1.14.19.9;1.14.14.137,1.14.14;1.14.19;1.5.1;1.5.8;1.17.7,1.14.14,1.14.14.137,1.14.14,1.14.14.-|1.14.14.13;1.14.14.5;1.14.14.3;1.14.14.28;1.14.14.8;1.14.14.15;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.30;1.13.12.16;1.14.14.108;1.14.19.9;1.14.14.137,1.14.14;1.14.19;1.5.1;1.5.8;1.17.7,1.14.14,1.14.14.137,1.14.14,1.14.14.-|1.14.14.13;1.14.14.5;1.14.14.3;1.14.14.28;1.14.14.8;1.14.14.15;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.30;1.13.12.16;1.14.14.108;1.14.19.9;1.14.14.137,1.14.14;1.14.19;1.5.1;1.5.8;1.17.7,1.14.14,1.14.14.137
13006,,,,,,,,,,,,,,,,,,2.1.1,2.1.1.115,2.1.1,2.1.1,2.1.1.115,2.1.1,2.1.1,2.1.1.115,2.1.1,2.1.1.115|2.1.1.140;2.1.1.337;2.1.1.132;2.1.1.334;2.1.1.137;2.1.1.345;2.1.1.-|2.1.1.340;2.1.1.163,"2.1.1,0.9999405145645142;2.5.1,2.9879009161959402e-05;2.8.4,1.3071397006569896e-05;3.13.2,5.59637373953592e-06;1.21.98,4.191922016616445e-06",2.1.1,2.1.1.115,2.1.1,2.1.1.115|2.1.1.140;2.1.1.337;2.1.1.132;2.1.1.334;2.1.1.137;2.1.1.345;2.1.1.-|2.1.1.340;2.1.1.163,2.1.1;2.5.1;2.8.4;3.13.2;1.21.98,2.1.1,2.1.1.115,2.1.1,2.1.1.115|2.1.1.140;2.1.1.337;2.1.1.132;2.1.1.334;2.1.1.137;2.1.1.345;2.1.1.-|2.1.1.340;2.1.1.163,2.1.1;2.5.1;2.8.4;3.13.2;1.21.98,2.1.1,2.1.1.115,2.1.1,2.1.1.115|2.1.1.140;2.1.1.337;2.1.1.132;2.1.1.334;2.1.1.137;2.1.1.345;2.1.1.-|2.1.1.340;2.1.1.163,2.1.1;2.5.1;2.8.4;3.13.2;1.21.98,2.1.1,2.1.1.115,2.1.1,2.1.1.115|2.1.1.140;2.1.1.337;2.1.1.132;2.1.1.334;2.1.1.137;2.1.1.345;2.1.1.-|2.1.1.340;2.1.1.163,2.1.1;2.5.1;2.8.4;3.13.2;1.21.98,2.1.1,2.1.1.115
13070,,,,,,,,,,,,,,,,,,2.7.1,2.7.1.82,2.7.11,2.7.1,2.7.1.82,2.7.11,2.7.1,2.7.1.82,2.7.11,2.7.1.39,"2.7.1,0.9561135768890381;2.7.11,0.011427399702370167;2.7.4,0.01077678706496954;2.7.6,0.008649853989481926;2.7.8,0.005234091076999903",2.7.1,2.7.1.82,2.7.11,2.7.1.39,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8,2.7.1,2.7.1.82,2.7.11,2.7.1.39,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8,2.7.1,2.7.1.82,2.7.11,2.7.1.39,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8,2.7.1,2.7.1.82,2.7.11,2.7.1.39,2.7.1;2.7.11;2.7.4;2.7.6;2.7.8,2.7.1,2.7.1.82
13074,,,,,,,,,,,,,,,,,,3.6.1,3.6.1.40,3.6.1,3.6.1,3.6.1.40,3.6.1,3.6.1,3.6.1.40,3.6.1,6.3.2.34;6.3.2.3;6.3.2.2|6.3.2.3;6.3.4.6;6.4.1.8,"3.6.1,0.4390541911125183;3.6.5,0.25310221314430237;3.6.4,0.038759294897317886;3.1.3,0.03488586097955704;6.3.5,0.026695623993873596",3.6.1,3.6.1.40,3.6.1,6.3.2.34;6.3.2.3;6.3.2.2|6.3.2.3;6.3.4.6;6.4.1.8,3.6.1;3.6.5;3.6.4;3.1.3;6.3.5,3.6.1,3.6.1.40,3.6.1,6.3.2.34;6.3.2.3;6.3.2.2|6.3.2.3;6.3.4.6;6.4.1.8,3.6.1;3.6.5;3.6.4;3.1.3;6.3.5,3.6.1,3.6.1.40,3.6.1,6.3.2.34;6.3.2.3;6.3.2.2|6.3.2.3;6.3.4.6;6.4.1.8,3.6.1;3.6.5;3.6.4;3.1.3;6.3.5,3.6.1,3.6.1.40,3.6.1,6.3.2.34;6.3.2.3;6.3.2.2|6.3.2.3;6.3.4.6;6.4.1.8,3.6.1;3.6.5;3.6.4;3.1.3;6.3.5,3.6.1,3.6.1.40
13094,,,,,,,,,,,,,,,,,,2.4.1,2.4.1.47,2.4.1,2.4.1,2.4.1.47,2.4.1,2.4.1,2.4.1.47,2.4.1,2.4.1.80;2.4.1.47;2.4.1.46;2.4.1.241;2.4.1.-|2.4.1.330;2.4.1.85;2.4.1.274;2.4.1.215;2.4.1.203;2.4.1.239;2.4.1.228;2.4.1.62;2.4.1.86;2.4.1.275;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.173;2.4.1.-|2.4.1.323;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.324;2.4.1.13,"2.4.1,0.988640308380127;2.4.2,0.011211398057639599;2.7.1,6.090968963690102e-05;3.2.1,4.039445047965273e-05;2.7.8,3.843350714305416e-05",2.4.1,2.4.1.47,2.4.1,2.4.1.80;2.4.1.47;2.4.1.46;2.4.1.241;2.4.1.-|2.4.1.330;2.4.1.85;2.4.1.274;2.4.1.215;2.4.1.203;2.4.1.239;2.4.1.228;2.4.1.62;2.4.1.86;2.4.1.275;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.173;2.4.1.-|2.4.1.323;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.324;2.4.1.13,2.4.1;2.4.2;2.7.1;3.2.1;2.7.8,2.4.1,2.4.1.47,2.4.1,2.4.1.80;2.4.1.47;2.4.1.46;2.4.1.241;2.4.1.-|2.4.1.330;2.4.1.85;2.4.1.274;2.4.1.215;2.4.1.203;2.4.1.239;2.4.1.228;2.4.1.62;2.4.1.86;2.4.1.275;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.173;2.4.1.-|2.4.1.323;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.324;2.4.1.13,2.4.1;2.4.2;2.7.1;3.2.1;2.7.8,2.4.1,2.4.1.47,2.4.1,2.4.1.80;2.4.1.47;2.4.1.46;2.4.1.241;2.4.1.-|2.4.1.330;2.4.1.85;2.4.1.274;2.4.1.215;2.4.1.203;2.4.1.239;2.4.1.228;2.4.1.62;2.4.1.86;2.4.1.275;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.173;2.4.1.-|2.4.1.323;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.324;2.4.1.13,2.4.1;2.4.2;2.7.1;3.2.1;2.7.8,2.4.1,2.4.1.47,2.4.1,2.4.1.80;2.4.1.47;2.4.1.46;2.4.1.241;2.4.1.-|2.4.1.330;2.4.1.85;2.4.1.274;2.4.1.215;2.4.1.203;2.4.1.239;2.4.1.228;2.4.1.62;2.4.1.86;2.4.1.275;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.173;2.4.1.-|2.4.1.323;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.324;2.4.1.13,2.4.1;2.4.2;2.7.1;3.2.1;2.7.8,2.4.1,2.4.1.47
13186,,,,,,,,,,,,,,,,,,3.5.4,2.5.1.61,4.1.1,3.5.4,2.5.1.61,4.1.1,3.5.4,2.5.1.61,4.1.1,1.4.1.27;1.21.4.2;3.5.1.1;2.3.2.13;1.4.1.27|1.4.4.2|1.8.1.4|2.1.2.10,"4.2.1,0.746131956577301;3.5.1,0.07674947381019592;4.3.1,0.03650602698326111;3.5.99,0.029390260577201843;1.4.3,0.01575731486082077",3.6.1,2.5.1.61,4.1.1,1.4.1.27;1.21.4.2;3.5.1.1;2.3.2.13;1.4.1.27|1.4.4.2|1.8.1.4|2.1.2.10,4.2.1;3.5.1;4.3.1;3.5.99;1.4.3,3.6.1,2.5.1.61,4.1.1,1.4.1.27;1.21.4.2;3.5.1.1;2.3.2.13;1.4.1.27|1.4.4.2|1.8.1.4|2.1.2.10,4.2.1;3.5.1;4.3.1;3.5.99;1.4.3,3.6.1,2.5.1.61,4.1.1,1.4.1.27;1.21.4.2;3.5.1.1;2.3.2.13;1.4.1.27|1.4.4.2|1.8.1.4|2.1.2.10,4.2.1;3.5.1;4.3.1;3.5.99;1.4.3,4.1.99,2.5.1.61,4.1.1,1.4.1.27;1.21.4.2;3.5.1.1;2.3.2.13;1.4.1.27|1.4.4.2|1.8.1.4|2.1.2.10,4.2.1;3.5.1;4.3.1;3.5.99;1.4.3,4.1.99,2.5.1.61
