Reaction ID,Theia
R02693,"3.1.1,0.7158641815185547;2.3.1,0.276847243309021;2.4.1,0.00458300719037652;3.1.-,0.0011408942518755794;3.2.1,0.0003852345689665526"
R04741,"1.1.1,0.8492395877838135;2.3.1,0.14983037114143372;4.2.1,0.00039311638101935387;1.14.13,0.00011703343625413254;1.-.-,0.00010366214701207355"
R02732,"2.7.1,0.9946985244750977;3.1.3,0.004262502305209637;2.7.7,0.0010047047398984432;2.7.4,2.3413409508066252e-05;5.1.3,4.156891009188257e-06"
R04112,"3.5.1,0.889477014541626;2.6.1,0.05980057269334793;2.7.8,0.02963429130613804;2.3.1,0.006594470236450434;4.2.1,0.0053024678491055965"
R12077,"1.14.13,0.7734999656677246;1.14.14,0.10571548342704773;4.2.1,0.06940531730651855;1.14.-,0.014184423722326756;4.1.2,0.008432887494564056"
R01461,"2.3.1,0.9999891519546509;3.1.1,6.705306077492423e-06;3.1.2,3.5247512641944923e-06;6.2.1,2.3687599082222732e-07;1.2.1,1.4106468881891487e-07"
R00026,"3.2.1,0.9999643564224243;2.3.1,2.814206527546048e-05;3.7.1,3.283500063844258e-06;5.4.1,1.6125610500239418e-06;2.4.1,9.725539484861656e-07"
R02682,"3.1.1,0.9975776076316833;3.5.1,0.0021902986336499453;3.1.2,0.00018776836805045605;3.4.19,1.6763022358645685e-05;3.7.1,7.034954251139425e-06"
R00084,"2.5.1,0.9999065399169922;4.3.1,6.360351835610345e-05;4.4.1,6.504328212031396e-06;4.2.1,5.420004526968114e-06;2.3.2,2.605200961625087e-06"
R12244,"1.3.1,0.9074188470840454;2.5.1,0.08674292266368866;1.1.1,0.0030519708525389433;1.-.-,0.0012357848463580012;5.3.3,0.0004996222560293972"
R04598,"5.3.3,0.6774890422821045;1.1.1,0.15237100422382355;3.1.1,0.1299220472574234;1.13.11,0.031041158363223076;1.3.1,0.007951337844133377"
R04594,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R03342,"5.3.3,0.9814441204071045;5.3.2,0.015639593824744225;1.14.13,0.0010745819890871644;1.13.11,0.0008168426575139165;2.5.1,0.00011867118155350909"
R05634,"2.7.1,0.9999642372131348;2.7.4,3.1903520721243694e-05;3.6.3,1.933414750965312e-06;2.1.1,8.815945307105721e-07;3.1.3,4.052124040754279e-07"
R12149,"1.14.14,0.9995661377906799;1.14.13,0.00040212730527855456;1.-.-,6.941519586689537e-06;1.2.3,5.145744125911733e-06;5.4.4,4.2439050957909785e-06"
R10528,"1.1.1,0.9984709620475769;1.3.1,0.0010419725440442562;1.4.1,0.00012217360199429095;1.5.1,6.1012247897451743e-05;1.2.1,4.6248915168689564e-05"
R10975,"3.2.1,0.8814548850059509;3.4.11,0.029092630371451378;3.1.4,0.019690625369548798;3.1.1,0.011712104082107544;3.4.13,0.010398097336292267"
R04498,"3.2.1,0.6941738128662109;2.4.1,0.14452579617500305;5.4.1,0.05716146528720856;2.3.1,0.053341809660196304;5.4.99,0.031691595911979675"
R10900,"5.5.1,0.9941826462745667;1.1.3,0.00141830462962389;5.3.3,0.0013915977906435728;1.1.1,0.0007269278285093606;4.2.99,0.0006955524440854788"
R00507,"2.8.2,0.9999017715454102;3.1.4,2.3596317987539805e-05;3.6.2,1.651749698794447e-05;3.1.1,1.541834899398964e-05;3.4.17,9.587394742993638e-06"
R11607,"2.6.1,0.8450122475624084;2.3.1,0.12754151225090027;1.4.1,0.01827789470553398;5.4.3,0.0029392261058092117;4.1.3,0.0010960024083033204"
R09775,"6.3.2,0.6960451602935791;2.7.3,0.25194424390792847;2.3.2,0.03227987512946129;2.7.1,0.01022418774664402;6.3.1,0.0020893514156341553"
R07269,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R02732,"2.7.1,0.9946985244750977;3.1.3,0.004262502305209637;2.7.7,0.0010047047398984432;2.7.4,2.3413409508066252e-05;5.1.3,4.156891009188257e-06"
R09240,"1.7.1,0.999963641166687;1.2.1,1.0335310435038991e-05;1.7.-,6.530033715534955e-06;1.1.1,5.577002411882859e-06;1.19.1,2.483347770976252e-06"
R02271,"5.4.3,0.5948390364646912;2.6.1,0.3918634355068207;4.1.2,0.004983003716915846;1.5.1,0.002622961299493909;4.3.1,0.0024788801092654467"
R12018,"1.14.19,0.9999926090240479;1.14.13,5.363966920413077e-06;1.14.18,1.7242665535377455e-06;1.14.-,1.1613336425853049e-07;1.14.99,4.8493838278318435e-08"
R00880,"1.1.1,0.9966037273406982;1.2.1,0.0024502212181687355;1.17.1,0.00020338973263278604;1.6.6,8.73277967912145e-05;4.2.1,8.17474428913556e-05"
R09660,"3.5.4,0.9997425675392151;3.5.99,0.00010668826871551573;3.3.1,2.5677174562588334e-05;3.4.17,2.2250964320846833e-05;1.11.1,1.3485072486218996e-05"
R13215,"1.3.1,0.769719660282135;1.3.99,0.22459305822849274;1.1.1,0.00513802096247673;1.3.3,0.00021926536282990128;1.3.8,0.00010118998761754483"
R04780,"3.1.3,0.9469414949417114;3.6.1,0.01985946111381054;2.7.1,0.01765275187790394;4.2.1,0.007397073786705732;2.3.1,0.002114922972396016"
R07965,"1.13.12,0.9053789973258972;1.14.13,0.08458119630813599;1.14.14,0.008279528468847275;1.3.98,0.00048583722673356533;4.1.99,0.00024769073934294283"
R02084,"2.8.3,0.9899688363075256;2.3.1,0.005079386755824089;6.2.1,0.0006114369025453925;2.4.1,0.00047928793355822563;5.4.99,0.000401096825953573"
R08204,"1.14.13,0.9130298495292664;1.14.14,0.08202486485242844;1.13.12,0.004109915811568499;1.1.1,0.00035593193024396896;1.14.-,0.000124674552353099"
R09059,"4.2.1,0.5568597912788391;1.-.-,0.1418590098619461;1.1.1,0.05961106717586517;2.5.1,0.056480057537555695;1.11.1,0.05539167299866676"
R02551,"3.5.1,0.9998584985733032;3.4.11,8.3962942881044e-05;3.1.1,2.72632205451373e-05;4.1.1,4.9147161007567775e-06;2.3.1,4.4911894292454235e-06"
R05224,"6.3.5,0.963690996170044;3.6.1,0.020504815503954887;2.7.3,0.0034853178076446056;3.6.4,0.0032182487193495035;6.3.4,0.002252580365166068"
R10629,"3.2.2,0.9949125051498413;2.4.99,0.0029261084273457527;2.4.2,0.002015733625739813;3.5.1,9.016040712594986e-05;3.5.4,8.046751645451877e-06"
R12384,"2.4.1,0.9990177154541016;2.7.7,0.000741377763915807;3.2.1,7.995509804459289e-05;2.3.1,6.84451442793943e-05;5.4.99,2.9980274121044204e-05"
R02171,"3.2.2,0.9999514818191528;3.2.1,9.90788612398319e-06;3.1.1,8.739644727029372e-06;2.4.2,5.855623840034241e-06;3.4.17,3.200240826117806e-06"
R08056,"4.2.1,0.9313799142837524;3.7.1,0.040585361421108246;1.1.98,0.005923296790570021;1.1.99,0.0043493034318089485;1.1.5,0.0026520562823861837"
R09523,"2.1.1,0.9999477863311768;2.5.1,3.618732807808556e-05;6.3.2,1.1057961273763794e-05;4.4.1,1.6519635437362012e-06;4.1.1,1.0985900189552922e-06"
R05587,"2.3.1,0.9999845027923584;2.8.3,5.3221810958348215e-06;5.4.99,5.262514150672359e-06;1.2.1,1.7012641819746932e-06;1.1.1,7.319789006032806e-07"
R02782,"3.7.1,0.8479830026626587;4.6.1,0.07175523787736893;4.2.1,0.04687633737921715;3.1.4,0.011514099314808846;3.1.3,0.007491038180887699"
R11070,"4.1.1,0.9916437268257141;2.3.1,0.004825008101761341;4.2.1,0.0010812757536768913;1.3.3,0.0010469689732417464;4.1.2,0.000392080721212551"
R00466,"1.2.3,0.9844500422477722;4.1.3,0.005303694400936365;1.5.3,0.0027474090456962585;1.17.3,0.002662201877683401;1.11.1,0.0008984798914752901"
R05168,"3.5.1,0.9227918386459351;3.1.1,0.0758725106716156;3.2.1,0.0010127474088221788;2.3.1,8.901397814042866e-05;4.2.1,4.2680057958932593e-05"
R10381,"1.14.21,0.9999395608901978;1.14.19,2.257154483231716e-05;1.3.3,1.4582975381927099e-05;1.6.99,8.98515008884715e-06;1.10.99,3.551075224095257e-06"
R13215,"1.3.1,0.769719660282135;1.3.99,0.22459305822849274;1.1.1,0.00513802096247673;1.3.3,0.00021926536282990128;1.3.8,0.00010118998761754483"
R00248,"1.4.1,0.9999667406082153;1.5.1,1.404504928359529e-05;1.5.99,5.995509582135128e-06;1.4.3,3.5965870210930007e-06;1.7.1,1.6848249515533098e-06"
R08676,"2.4.1,0.9984827637672424;5.4.99,0.0015090368688106537;6.2.1,1.3409643315753783e-06;2.7.7,1.16547892048402e-06;2.4.2,9.53659593960765e-07"
R04349,"3.5.5,0.9993897676467896;4.2.1,0.0005898966919630766;4.3.1,4.395179985294817e-06;3.5.1,3.983796432294184e-06;3.5.4,2.4362379917874932e-06"
R09806,"1.1.1,0.9998936653137207;1.14.14,3.376838139956817e-05;1.-.-,2.8068379833712243e-05;1.2.1,2.785600554489065e-05;2.3.1,5.171333668840816e-06"
R09320,"2.1.1,0.9803351163864136;2.5.1,0.008676322177052498;1.14.-,0.007916872389614582;1.14.13,0.001136868610046804;2.3.1,0.0009572507697157562"
R08575,"2.2.1,0.9979421496391296;5.3.1,0.00204663397744298;4.1.2,5.164642516319873e-06;1.1.2,3.272219373684493e-06;1.1.99,1.9309704839542974e-06"
R09945,"2.7.1,0.8122686147689819;2.7.7,0.18091730773448944;2.7.4,0.003451749449595809;2.1.1,0.0011055335635319352;2.3.1,0.0006430511130020022"
R11371,"2.1.1,0.9999978542327881;2.3.1,2.133476755261654e-06;2.5.1,1.8660440304074655e-08;4.2.1,1.8623676822926427e-08;6.3.2,1.4848853702176257e-08"
R08385,"1.2.1,0.9974527955055237;1.1.1,0.0023312843404710293;1.5.1,6.227166159078479e-05;1.2.3,5.945296288700774e-05;1.3.1,3.851857763947919e-05"
R02484,"2.4.2,0.9999985694885254;4.1.3,4.2894535567938874e-07;2.4.1,4.148304526552238e-07;3.2.2,3.9960224285096047e-07;2.3.1,9.345401963400946e-08"
R07056,"1.14.13,0.8346733450889587;1.14.14,0.14890556037425995;3.3.2,0.00984434224665165;5.4.4,0.001317919115535915;1.14.99,0.0008057522936724126"
R08280,"2.5.1,0.478019654750824;4.4.1,0.47626593708992004;1.2.1,0.03623770549893379;4.2.1,0.0045732250437140465;1.1.1,0.003237070282921195"
R10211,"3.1.1,0.9890447854995728;2.6.1,0.006719287950545549;3.1.2,0.0020883444231003523;2.3.1,0.0015715783229097724;3.5.1,0.00020829889399465173"
R08998,"1.14.14,0.7898593544960022;1.14.13,0.16766951978206635;1.14.12,0.03344948589801788;1.6.3,0.002031046664342284;1.14.99,0.0015012385556474328"
R04449,"6.2.1,0.9660956859588623;3.1.2,0.016422607004642487;2.3.1,0.01618584804236889;2.7.2,0.0012037131236866117;2.1.1,2.30522382480558e-05"
R07394,"3.1.3,0.9757397174835205;3.6.1,0.02244570478796959;3.1.4,0.0011678619775921106;4.2.3,0.00010670003393897787;3.6.2,6.056933489162475e-05"
R06848,"1.3.1,0.9999620914459229;1.1.1,1.2355179023870733e-05;2.5.1,9.536077413940802e-06;1.3.99,7.36112633603625e-06;5.3.3,2.9620941859320737e-06"
R13433,"3.1.1,0.7777402997016907;2.3.1,0.2173459529876709;2.4.1,0.003501082770526409;1.14.13,0.0009870310313999653;3.2.1,0.00011744322546292096"
R03373,"1.1.1,0.9410210847854614;2.3.1,0.0578836090862751;1.3.1,0.00039661049959249794;1.14.13,0.00026949611492455006;4.2.1,0.00016185556887649"
R06796,"2.3.1,1.0;6.2.1,1.05902024927218e-08;3.1.1,8.012389862699365e-09;3.1.2,4.032126632580457e-09;1.2.1,4.3545639316633356e-10"
R05036,"1.14.20,0.9470680356025696;1.14.11,0.048214059323072433;2.6.1,0.002806499134749174;4.2.1,0.0006871013320051134;1.13.12,0.0003344904980622232"
R10457,"2.5.1,0.9893258810043335;5.3.3,0.010549855418503284;1.3.99,5.919805698795244e-05;1.3.1,8.213504770537838e-06;6.3.2,6.181452590681147e-06"
R07800,"1.14.12,0.9996688365936279;1.-.-,0.0001733067474560812;1.3.1,7.943343371152878e-05;1.14.-,1.9717072063940577e-05;5.4.4,1.8636086679180153e-05"
R10461,"2.6.99,0.9998143315315247;3.1.1,9.539702296024188e-05;1.7.99,2.6252702809870243e-05;2.3.1,2.506866803742014e-05;3.-.-,6.493471119028982e-06"
R09954,"1.1.1,0.97078537940979;4.6.1,0.009328804910182953;2.7.1,0.005140287801623344;1.12.1,0.0037213400937616825;1.1.5,0.002511593047529459"
R08188,"3.1.2,0.9574896693229675;3.1.1,0.016434019431471825;2.3.1,0.010376030579209328;1.2.1,0.005117138382047415;1.2.3,0.0035724169574677944"
R03942,"1.1.1,0.9931691884994507;1.3.1,0.005990779027342796;2.3.1,0.0005032017943449318;1.2.1,0.00024199843755923212;1.8.1,2.681350633793045e-05"
R10667,"2.5.1,0.5548262000083923;4.2.1,0.4449310600757599;5.3.99,8.763070218265057e-05;4.4.1,8.399552461924031e-05;1.14.13,4.226465171086602e-05"
R02744,"3.1.1,0.9969358444213867;3.-.-,0.0017761093331500888;3.1.2,0.000901798193808645;2.3.1,0.00030705469544045627;3.3.2,4.19646967202425e-05"
R02112,"2.4.1,0.3394698202610016;3.2.1,0.26794156432151794;5.1.3,0.2073044776916504;2.3.1,0.11212706565856934;5.4.99,0.030080707743763924"
R02756,"1.1.1,0.9378536939620972;3.1.1,0.0425494909286499;1.3.1,0.012387273833155632;1.1.5,0.00481394724920392;2.3.1,0.0005865295534022152"
R12149,"1.14.14,0.9995661377906799;1.14.13,0.00040212730527855456;1.-.-,6.941519586689537e-06;1.2.3,5.145744125911733e-06;5.4.4,4.2439050957909785e-06"
R02837,"2.3.1,0.9988524913787842;3.1.1,0.0006108311354182661;3.1.2,0.0005029747262597084;2.3.3,1.1151863873237744e-05;1.2.7,8.647706636111252e-06"
R07280,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R00190,"2.4.2,0.8694416880607605;2.7.8,0.10840646177530289;3.2.2,0.022127479314804077;2.4.1,4.46079820903833e-06;2.3.1,3.3703290682751685e-06"
R07100,"2.5.1,0.9958141446113586;2.3.2,0.003329578088596463;1.8.4,0.00018829642795026302;4.4.1,0.0001699490094324574;5.3.3,0.00015738037473056465"
R11867,"5.4.99,0.9965769648551941;5.5.1,0.0014235423877835274;5.3.3,0.0005862152902409434;4.2.1,0.00044721996528096497;5.4.1,0.0003831693611573428"
R01450,"1.1.1,0.35913997888565063;4.2.1,0.15066157281398773;1.1.99,0.1297469139099121;1.1.2,0.1178819015622139;5.1.2,0.09869043529033661"
R12845,"2.3.1,0.9342045783996582;6.2.1,0.05020412057638168;3.1.2,0.0067737954668700695;1.14.19,0.004769491031765938;1.2.7,0.001033768872730434"
R02657,"1.2.3,0.9518852829933167;1.17.3,0.023227600380778313;1.1.3,0.013401170261204243;1.2.1,0.008984309621155262;4.1.1,0.0008112476207315922"
R12593,"1.13.11,0.4243450462818146;4.1.1,0.3089299499988556;1.14.16,0.26351749897003174;1.14.13,0.001053791493177414;6.3.2,0.0009297594078816473"
R11040,"2.5.1,0.7678300738334656;1.14.14,0.11520367860794067;2.7.1,0.0538756437599659;2.1.1,0.048403460532426834;2.6.1,0.007152936886996031"
R08619,"2.3.3,0.9992226362228394;4.2.1,0.0006980146281421185;2.3.1,4.413507122080773e-05;3.1.2,2.3567543394165114e-05;4.1.3,5.26337134942878e-06"
R03586,"1.1.1,0.9987791180610657;2.3.1,0.0005681649781763554;1.3.1,0.0005559723358601332;1.2.1,4.742325108963996e-05;1.8.1,1.6175421478692442e-05"
R02781,"2.6.1,0.9969558715820312;1.4.1,0.0019148634746670723;1.1.1,0.0002245706127723679;1.1.99,0.0002039320970652625;2.2.1,0.00013146419951226562"
R08527,"1.13.11,0.976743221282959;3.3.2,0.010737783275544643;1.13.12,0.003364632138982415;1.14.13,0.003151953686028719;1.14.99,0.00180655880831182"
R05834,"2.1.1,1.0;2.3.1,4.738548789462449e-11;2.5.1,3.397530303969609e-12;6.3.2,1.0757547196788009e-12;3.3.1,2.068474650460464e-13"
R04214,"3.5.2,0.5430680513381958;1.1.1,0.08684071898460388;4.2.1,0.04833287000656128;3.4.21,0.04611559212207794;1.1.-,0.031419459730386734"
R02855,"1.1.1,0.9967679977416992;4.1.1,0.0011372390436008573;1.2.1,0.0007764280308037996;5.1.2,0.0003883169265463948;2.3.1,0.00028979021590203047"
R03760,"2.3.-,0.8005940914154053;2.3.1,0.19590777158737183;6.2.1,0.002869060030207038;1.14.-,0.00031988657428883016;2.3.3,0.00012832570064347237"
R10147,"4.3.3,0.9955085515975952;4.2.1,0.003534886287525296;1.4.1,0.0006590469274669886;1.4.3,0.00012901549052912742;4.1.2,4.793499829247594e-05"
R02264,"1.1.1,0.7511081695556641;1.11.1,0.23725134134292603;1.6.5,0.002986200386658311;1.3.1,0.002857271581888199;1.6.99,0.0010425025830045342"
R04602,"1.13.11,0.9999984502792358;1.14.12,7.93369508755859e-07;1.13.99,2.0218568863583641e-07;1.1.3,1.968878677871544e-07;1.14.-,1.074709885529046e-07"
R01717,"5.4.4,0.7771037220954895;5.4.99,0.14078247547149658;3.3.2,0.044003210961818695;5.5.1,0.008112188428640366;5.2.1,0.005237946752458811"
R05618,"3.1.1,0.9128299951553345;2.3.1,0.0867936760187149;4.2.1,0.00019579943909775466;3.5.1,9.29973175516352e-05;3.1.2,5.0321046728640795e-05"
R06366,"1.2.1,0.9214553833007812;1.1.1,0.07844823598861694;1.14.14,2.4319644580828026e-05;1.11.1,1.374855673930142e-05;4.2.1,1.2337343832768966e-05"
R08442,"1.1.1,0.7982553243637085;1.6.5,0.06823267042636871;1.3.1,0.06515222787857056;1.14.13,0.016569631174206734;1.11.1,0.016270318999886513"
R07812,"2.5.1,0.990756094455719;3.1.7,0.004058418795466423;4.2.1,0.0015570110408589244;4.2.99,0.0005573985981754959;4.1.2,0.0005007658619433641"
R10623,"5.5.1,0.9624033570289612;1.6.5,0.03375720605254173;1.12.5,0.0008199774310924113;1.3.5,0.0005330964922904968;1.14.99,0.0003936015418730676"
R02889,"2.7.7,0.5420480966567993;2.4.1,0.4504716694355011;5.4.99,0.002667419146746397;5.1.3,0.001886519487015903;2.7.8,0.0008069355390034616"
R07214,"1.14.17,0.9999890327453613;1.13.11,5.668246103596175e-06;1.13.-,1.0011949598265346e-06;1.13.12,7.914244974926987e-07;1.14.11,6.015089866195922e-07"
R11838,"4.2.3,0.9907628893852234;4.2.1,0.00922767911106348;4.3.2,3.40654446517874e-06;5.5.1,3.113542788923951e-06;3.1.7,1.1287361303402577e-06"
R02776,"1.1.1,0.999315619468689;1.3.1,0.00019247290038038045;1.8.1,0.00016594890621490777;2.3.1,0.00011667126091197133;1.14.13,5.180772495805286e-05"
R12353,"6.3.2,0.9191409349441528;6.2.1,0.07108143717050552;2.7.1,0.004956147633492947;2.3.2,0.003217024728655815;2.7.4,0.0006086310604587197"
R12359,"1.14.13,0.9998644590377808;1.14.14,4.7867441026028246e-05;1.13.12,3.0345692721311934e-05;1.14.15,1.0392993317509536e-05;1.14.11,8.581766451243311e-06"
R01242,"2.8.2,1.0;3.1.6,1.754323686320447e-09;2.7.8,2.7083005282868555e-10;2.7.7,2.63350036222576e-10;1.8.4,2.5016699822799637e-10"
R12748,"3.2.1,0.7928574681282043;3.1.4,0.0717732235789299;3.1.1,0.05550786852836609;3.4.11,0.036341290920972824;4.2.1,0.019868342205882072"
R07080,"1.14.14,0.6435706615447998;1.14.13,0.3546273112297058;1.14.12,0.000886840105522424;4.1.99,0.00020161847351118922;1.11.1,8.766200335230678e-05"
R05389,"5.3.2,0.9998822212219238;3.7.1,3.2261614251183346e-05;5.3.3,2.7345397029421292e-05;4.1.1,1.4459114936471451e-05;4.2.1,9.86154827842256e-06"
R11602,"2.5.1,0.9996370077133179;5.3.3,0.00016175341443158686;2.4.1,6.365954322973266e-05;5.3.99,3.26711124216672e-05;1.1.99,1.2958975275978446e-05"
R07556,"1.14.13,0.8726589679718018;1.14.15,0.064362071454525;1.14.-,0.0250039454549551;1.14.99,0.023497391492128372;1.13.11,0.007252225652337074"
R06801,"2.3.1,1.0;6.2.1,1.05902024927218e-08;3.1.1,8.012389862699365e-09;3.1.2,4.032126632580457e-09;1.2.1,4.3545639316633356e-10"
R09232,"1.7.1,0.991071879863739;1.1.1,0.0038144453428685665;1.-.-,0.0026805999223142862;1.14.13,0.0005858526565134525;1.18.1,0.0003767480666283518"
R11026,"1.3.1,0.9985975623130798;1.3.99,0.0005957829998806119;1.3.3,0.00017879833467304707;1.3.98,0.0001470784336561337;1.1.1,7.867798558436334e-05"
R06277,"2.5.1,0.4795547127723694;2.1.1,0.25993838906288147;1.97.1,0.20064711570739746;1.14.18,0.024622570723295212;1.14.13,0.008556196466088295"
R05815,"6.3.5,0.963690996170044;3.6.1,0.020504815503954887;2.7.3,0.0034853178076446056;3.6.4,0.0032182487193495035;6.3.4,0.002252580365166068"
R05809,"2.1.1,1.0;4.1.1,1.6443578720881646e-09;2.5.1,4.082191529253265e-10;1.-.-,9.429141495376214e-11;5.3.3,2.4667389658672434e-11"
R11609,"2.5.1,0.9997953772544861;5.3.3,0.00016471170238219202;4.2.99,8.642894499644171e-06;2.3.1,7.385189746855758e-06;4.2.1,2.9214688765932806e-06"
R02333,"3.2.1,0.9963254332542419;3.5.1,0.003584346966817975;3.1.1,4.072484080097638e-05;3.5.-,2.865500755433459e-05;3.2.2,6.275196483329637e-06"
R06945,"1.14.15,0.6486998200416565;1.14.13,0.31639835238456726;1.6.3,0.012070988304913044;1.14.14,0.0070532201789319515;1.14.99,0.004132429137825966"
R05449,"1.14.14,0.9445754289627075;1.14.13,0.050015710294246674;1.13.12,0.0006683465326204896;1.14.12,0.0006072772084735334;1.3.8,0.0005880406242795289"
R12526,"2.4.1,0.7526359558105469;2.7.7,0.11096717417240143;5.1.99,0.023049311712384224;6.2.1,0.022916072979569435;2.7.4,0.021638289093971252"
R04623,"1.1.1,0.9973801970481873;1.3.1,0.0022426173090934753;4.2.1,0.00012158731260569766;1.6.5,7.611598266521469e-05;1.14.13,5.812325980514288e-05"
R11932,"4.1.1,0.9997896552085876;2.3.1,6.57216805848293e-05;4.3.1,2.8623204343602993e-05;1.4.3,2.6740435714600608e-05;4.3.2,1.7851540178526193e-05"
R12020,"1.14.19,0.9996398687362671;1.14.13,0.0002894833160098642;1.14.18,4.9610123824095353e-05;1.6.99,8.209275620174594e-06;1.18.1,1.796667902453919e-06"
R12755,"2.7.1,0.9999439716339111;3.2.1,1.6111225704662502e-05;2.7.4,1.1339955563016701e-05;3.6.1,1.0423092135170009e-05;3.1.4,7.128289780666819e-06"
R09089,"2.6.1,0.9999579191207886;1.1.1,4.025625821668655e-05;2.3.1,9.849073876466719e-07;1.1.2,4.288759782866691e-07;1.1.99,2.7831717375192966e-07"
R10209,"2.4.2,0.9999947547912598;3.2.2,5.187727765587624e-06;2.4.1,1.4562132832907082e-08;1.17.3,9.282739910076998e-09;4.1.3,1.63427171795405e-09"
R03854,"4.1.1,0.8578841090202332;1.2.4,0.10481720417737961;1.1.5,0.006361235864460468;1.1.1,0.005616978742182255;1.2.7,0.005593704059720039"
R01351,"3.1.1,0.9998584985733032;3.1.2,6.518263398902491e-05;2.5.1,2.8128246412961744e-05;3.5.1,1.0464958904776722e-05;3.7.1,6.6579868871485814e-06"
R07608,"1.8.4,0.9999839067459106;1.8.5,1.1476569852675311e-05;1.8.1,2.0241263882780913e-06;2.5.1,6.934093903510075e-07;1.11.1,5.272142971080029e-07"
R13293,"5.5.1,0.9130716919898987;4.2.3,0.07847331464290619;5.3.3,0.007044133730232716;2.5.1,0.0007553271134383976;4.2.1,0.00020972614584024996"
R02457,"1.4.3,0.9994875192642212;1.5.99,0.0004333872639108449;1.4.99,2.8862285034847446e-05;1.5.-,1.8438771803630516e-05;1.5.3,9.231716830981895e-06"
R11830,"4.2.3,0.9994693398475647;5.5.1,0.00046422291779890656;4.3.2,5.515614975593053e-05;5.3.3,5.7151869441440795e-06;6.4.1,2.065467015199829e-06"
R00909,"3.5.1,0.9996461868286133;3.1.1,0.00012244275421835482;4.2.1,9.822005085879937e-05;2.3.1,7.718656706856564e-05;3.1.2,1.7071242837118916e-05"
R00908,"2.6.1,0.9984373450279236;1.4.1,0.0015404404839500785;4.1.1,8.958631042332854e-06;4.1.2,4.186047135590343e-06;4.1.3,2.2987533156992868e-06"
R01337,"1.2.1,0.9998635053634644;1.1.1,0.0001034495944622904;1.2.3,1.2429096386767924e-05;1.4.1,7.961193659866694e-06;1.5.1,7.3821161095111165e-06"
R10997,"1.2.4,0.9881021976470947;2.3.1,0.007488763891160488;1.97.1,0.0007509099086746573;1.4.-,0.0007037998293526471;1.17.99,0.0007032470311969519"
R12057,"6.2.1,0.47488829493522644;1.13.11,0.3198890686035156;1.14.12,0.08776728808879852;1.3.1,0.048727575689554214;1.14.14,0.019907638430595398"
R01649,"3.5.1,0.9981663823127747;1.14.13,0.00039959981222637;4.1.99,0.000285239249933511;1.5.1,0.00025969691341742873;1.13.12,0.00011688881932059303"
R01434,"1.4.1,0.9996964931488037;1.7.1,6.660588405793533e-05;1.4.3,6.415353709599003e-05;1.5.1,4.703677768702619e-05;4.3.1,3.3725456887623295e-05"
R11457,"1.14.14,0.9999854564666748;1.14.13,4.926133442495484e-06;1.14.99,4.916667421639431e-06;1.13.12,1.6681314036759431e-06;4.2.1,1.205767375722644e-06"
R11334,"5.4.99,0.999937891960144;5.4.1,3.4838220017263666e-05;2.3.1,1.1599177014431916e-05;5.4.4,8.941062333178706e-06;4.2.1,3.4102847621397814e-06"
R01246,"1.5.1,0.9991883635520935;1.5.99,0.0007906426908448339;1.19.1,4.715536761068506e-06;1.14.13,3.2845273381099105e-06;1.3.1,2.206757471867604e-06"
R02076,"1.13.11,0.9999954700469971;1.14.12,3.5102450510748895e-06;4.1.99,5.064690640210756e-07;1.14.18,3.026111130566278e-07;1.14.99,1.6351242493328755e-07"
R08733,"6.2.1,0.9991552829742432;2.3.1,0.0004851543053518981;3.1.2,0.00021071560331620276;2.1.1,0.00010908047261182219;5.1.99,2.4719836801523343e-05"
R12193,"2.3.1,0.9938693046569824;1.2.1,0.002416589530184865;3.1.2,0.0016942414222285151;6.2.1,0.0011800103820860386;2.8.3,0.0004741509328596294"
R08905,"6.2.1,0.5737186074256897;2.3.1,0.2726505994796753;1.2.1,0.03873852640390396;2.7.3,0.03757360577583313;2.7.1,0.03377951681613922"
R02850,"2.7.1,0.9850747585296631;2.1.1,0.006503527518361807;2.3.1,0.002609701594337821;2.7.2,0.0010914572048932314;2.7.4,0.0009678322239778936"
R01361,"1.1.1,0.9751667976379395;2.3.1,0.023853624239563942;1.3.1,0.0008159420685842633;5.1.2,6.91509194439277e-05;1.2.1,2.0592966393451206e-05"
R04515,"4.1.1,0.7679080367088318;1.1.1,0.07353930175304413;1.1.5,0.02976164035499096;1.2.4,0.024021921679377556;3.7.1,0.023653874173760414"
R04466,"2.3.1,0.9987367987632751;2.6.1,0.000729705672711134;3.1.1,0.00018727866699919105;3.2.1,0.00015408400213345885;2.7.7,5.162919842405245e-05"
R03574,"2.4.1,0.9999890327453613;3.2.1,7.875782102928497e-06;2.7.7,1.6750350368965883e-06;2.4.2,5.144179340277333e-07;5.1.3,2.776693861505919e-07"
R03511,"1.17.4,0.6467056274414062;1.1.4,0.35034018754959106;5.3.4,0.00013985995610710233;3.4.21,0.00010202905104961246;1.11.1,0.00010021645721280947"
