Reaction ID,Theia
R03681,"2.4.1,0.9998100399971008;2.4.2,0.00015025149332359433;3.2.1,1.4686831491417252e-05;2.7.7,1.0018175998993684e-05;4.1.3,2.625187562443898e-06"
R08952,"2.5.1,0.9977086782455444;5.3.3,0.0022364475298672915;4.2.3,3.1089497497305274e-05;4.2.99,1.7892451069201343e-05;1.3.99,1.568393258821743e-06"
R07664,"1.1.3,0.5544277429580688;1.1.99,0.16171230375766754;1.1.1,0.15162573754787445;2.1.1,0.060606732964515686;1.1.5,0.01983652636408806"
R01300,"6.2.1,0.9279124736785889;2.8.3,0.06014280393719673;2.3.1,0.011079296469688416;2.7.2,0.0006177177419885993;3.1.2,0.00011422717943787575"
R05267,"2.5.1,0.972926914691925;1.97.1,0.02542036771774292;5.3.3,0.0005211184616200626;1.8.4,0.00047905673272907734;1.8.99,0.00013580886297859251"
R01358,"3.1.2,0.9889011383056641;2.3.1,0.006725806277245283;3.1.1,0.002975435694679618;2.3.3,0.001173466327600181;6.2.1,5.931066698394716e-05"
R07256,"2.4.1,0.9940057992935181;1.1.1,0.004862953908741474;1.1.3,0.0003755286452360451;1.1.5,0.00030846838490106165;1.1.99,0.0001759990118443966"
R03910,"2.3.1,0.9998587369918823;2.6.1,4.2631469113985077e-05;3.1.1,3.805127926170826e-05;3.2.1,1.8629212718224153e-05;6.2.1,1.3037897588219494e-05"
R13164,"2.4.2,0.5675921440124512;2.3.1,0.2933291792869568;5.1.3,0.06468970328569412;2.7.7,0.05404776707291603;2.7.6,0.01179118175059557"
R10186,"3.6.1,0.9325005412101746;3.1.4,0.04503250867128372;3.-.-,0.006043438799679279;3.6.4,0.004738751798868179;3.6.3,0.003198361722752452"
R06878,"3.1.1,0.11923912912607193;1.13.11,0.11549337208271027;1.3.1,0.07576266676187515;2.3.1,0.05765489861369133;1.14.99,0.04087634012103081"
R05746,"1.17.1,0.7970605492591858;1.1.1,0.052568886429071426;1.2.1,0.039705775678157806;1.3.1,0.03117245063185692;1.5.1,0.014758211560547352"
R06690,"1.14.13,0.7225483655929565;1.14.14,0.196898952126503;1.14.99,0.07722683995962143;1.14.15,0.0012053794926032424;1.14.-,0.0005885494174435735"
R08867,"2.7.4,0.789027750492096;2.7.1,0.1522306352853775;2.7.7,0.036232419312000275;6.2.1,0.012191824615001678;3.6.3,0.0016304393066093326"
R12666,"2.1.1,0.9999923706054688;3.3.1,3.443955620241468e-06;2.8.4,1.096824689739151e-06;1.3.98,5.427031055660336e-07;3.4.19,5.297387133396114e-07"
R00056,"3.6.1,0.9358121752738953;3.1.4,0.035271234810352325;3.-.-,0.009909307584166527;3.2.1,0.006021079141646624;3.1.3,0.0059103392995893955"
R02107,"1.17.3,0.9989156723022461;1.2.3,0.00037642562529072165;1.7.3,0.00018137219012714922;1.14.18,0.0001580091193318367;3.5.4,6.73406248097308e-05"
R04354,"2.4.1,0.9998335838317871;2.7.7,7.829243986634538e-05;3.2.1,1.9653183699119836e-05;3.1.1,1.432178214599844e-05;2.1.1,1.343452913715737e-05"
R03944,"2.7.1,0.9996660947799683;5.3.1,0.00021344111883081496;2.7.4,6.391574424924329e-05;2.1.1,3.424822716624476e-05;3.1.3,1.0182588084717281e-05"
R09461,"1.14.13,0.6657206416130066;1.14.14,0.13795453310012817;1.14.-,0.11736712604761124;1.14.15,0.06956697255373001;1.1.1,0.0053653293289244175"
R02896,"1.1.1,0.9999508857727051;1.2.1,3.2756448490545154e-05;1.8.1,4.848197022511158e-06;1.-.-,4.025864200229989e-06;1.1.-,2.1622802250931272e-06"
R10111,"3.1.1,0.9715620875358582;1.13.11,0.02682369388639927;2.3.1,0.0015385821461677551;5.5.1,5.678209709003568e-05;5.3.3,6.625397872994654e-06"
R05602,"4.2.1,0.9959532022476196;3.7.1,0.0012613455764949322;1.14.14,0.0005263640196062624;4.2.3,0.00033808016451075673;5.3.99,0.0002964345912914723"
R06142,"2.3.1,0.9575417041778564;4.2.1,0.04082673415541649;3.2.1,0.001011731568723917;1.1.1,0.00035130188916809857;3.1.1,0.00022529810667037964"
R01886,"3.5.1,0.7806999683380127;3.2.2,0.20812182128429413;3.5.-,0.003220176789909601;5.3.1,0.002921417588368058;2.4.2,0.0016325351316481829"
R04425,"4.2.1,0.9964840412139893;3.2.1,0.0012913052923977375;5.4.4,0.0005222242907620966;3.1.3,0.0003767252783291042;2.3.3,0.0003753023920580745"
R02083,"3.1.2,0.990324854850769;2.3.3,0.0029343250207602978;3.2.1,0.002661376725882292;2.3.1,0.0019121113000437617;3.4.11,0.00041845900705084205"
R08121,"3.1.1,0.9987646341323853;3.7.1,0.000918600067961961;3.1.3,7.608648593304679e-05;2.8.3,7.377544534392655e-05;5.5.1,5.5519576562801376e-05"
R00644,"1.11.1,0.9979608058929443;1.8.3,0.0007210983894765377;1.11.2,0.0005476669175550342;1.8.5,0.00024298724019899964;1.14.21,0.00011010269372491166"
R03251,"1.3.1,0.8999618291854858;1.1.1,0.03156764432787895;1.6.5,0.02182181179523468;1.21.1,0.01323490310460329;1.11.1,0.012648853473365307"
R06863,"2.2.1,0.988553524017334;5.3.1,0.011374698020517826;1.1.1,1.4639321307186037e-05;1.13.99,1.0537964044488035e-05;1.1.2,9.014148417918477e-06"
R04106,"1.1.1,0.999516487121582;1.3.1,0.00020931600010953844;2.3.1,0.00016695258091203868;1.-.-,4.651259951060638e-05;1.14.13,1.9042350686504506e-05"
R00999,"4.4.1,0.6262940168380737;4.3.1,0.18467563390731812;2.5.1,0.163286492228508;1.4.1,0.019739879295229912;4.1.99,0.003424154594540596"
R10937,"4.2.3,0.9996335506439209;2.7.1,9.102912008529529e-05;2.5.1,7.929916318971664e-05;1.1.1,6.660886720055714e-05;4.1.1,4.536144115263596e-05"
R09617,"4.2.3,0.999765932559967;4.3.2,8.082741260295734e-05;3.1.7,5.280619006953202e-05;4.2.1,4.201248520985246e-05;5.5.1,2.8441088943509385e-05"
R01293,"1.2.1,0.9968921542167664;1.1.1,0.0015995773719623685;1.2.3,0.001412539160810411;1.17.1,2.5112474759225734e-05;1.5.1,1.5089306543814018e-05"
R00491,"5.1.1,0.9914905428886414;1.4.1,0.001463241525925696;1.4.3,0.0012375625083222985;2.6.1,0.00116375379730016;4.3.1,0.0005074702785350382"
R03504,"4.1.2,0.9988040924072266;2.5.1,0.0002864298294298351;4.2.1,0.00023831897124182433;4.1.3,0.0002251109981443733;2.3.1,0.00018658797489479184"
R00772,"5.3.1,0.9758725166320801;2.3.1,0.023423273116350174;1.1.1,0.00029177486430853605;2.6.1,0.00018210287089459598;2.2.1,0.00010867100354516879"
R09952,"4.2.1,0.4415895342826843;5.3.99,0.34059882164001465;3.1.3,0.02323709987103939;5.1.3,0.014577031135559082;2.5.1,0.014266271144151688"
R02562,"1.14.13,0.8942910432815552;1.2.1,0.0821416825056076;1.14.14,0.009248398244380951;1.2.3,0.0034845967311412096;1.14.12,0.0029274611733853817"
R10004,"4.2.3,0.9943811297416687;5.5.1,0.005511720199137926;4.3.2,6.231127917999402e-05;4.2.1,1.3896870768803637e-05;1.3.-,1.0262528121529613e-05"
R10001,"2.1.1,0.999995231628418;2.5.1,1.3260460036690347e-06;2.3.1,1.1915063851120067e-06;6.5.1,6.815382107561163e-07;1.8.3,5.742346047554747e-07"
R09534,"3.2.1,0.99993896484375;2.4.1,1.936156695592217e-05;2.3.1,1.700154462014325e-05;3.1.1,1.3935935385234188e-05;3.4.13,2.998787977048778e-06"
R08400,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R10056,"1.14.11,0.9894222617149353;4.1.1,0.004565825220197439;1.14.20,0.0037023592740297318;1.1.99,0.001546652871184051;1.13.12,0.0004451875574886799"
R12530,"2.7.1,0.9999042749404907;2.7.4,6.891529483254999e-05;3.1.3,1.8982185792992823e-05;2.1.1,2.900144636441837e-06;3.1.4,1.6732424228393938e-06"
R02664,"2.7.1,0.9934452772140503;2.7.2,0.002450216794386506;2.3.1,0.0015513947000727057;4.6.1,0.0006742302794009447;5.4.2,0.0003167584945913404"
R12881,"2.5.1,0.9182366728782654;1.14.14,0.052134834229946136;5.3.3,0.019542790949344635;5.3.99,0.004318417049944401;2.7.1,0.001084946095943451"
R06568,"1.2.1,0.7910057902336121;1.3.1,0.1771056056022644;2.3.1,0.027031878009438515;1.1.1,0.0038952212780714035;1.8.1,0.0007123941322788596"
R13260,"4.2.1,0.9992652535438538;5.4.4,0.0004096654593013227;1.13.12,0.00020468072034418583;1.14.13,5.594698814093135e-05;1.14.14,2.4476838007103652e-05"
R11265,"1.1.1,0.8765019774436951;1.-.-,0.019929667934775352;1.3.1,0.017922183498740196;1.8.1,0.01717367209494114;1.6.5,0.015832072123885155"
R08108,"1.14.12,0.9999239444732666;1.14.13,4.703998638433404e-05;1.3.1,2.3468963263439946e-05;1.14.14,2.8097256290493533e-06;1.-.-,1.5346960253737052e-06"
R02231,"1.14.13,0.9976420402526855;1.14.14,0.0005575760151259601;1.2.1,0.0004591952601913363;1.6.3,0.000371318164980039;1.13.12,0.00023479369701817632"
R04965,"4.2.1,0.9333892464637756;2.3.1,0.06370429694652557;1.13.12,0.0015939443837851286;2.1.1,0.00043061585165560246;5.4.4,0.00028893561102449894"
R04444,"1.2.1,0.9889574646949768;1.1.1,0.0067161195911467075;1.5.1,0.002183336764574051;1.3.1,0.0006329239113256335;1.17.1,0.00047394318971782923"
R09427,"2.4.1,0.9914085268974304;1.1.1,0.007881195284426212;2.3.1,0.0002555438841227442;2.7.1,0.00023823579249437898;4.1.1,0.0001267843326786533"
R02411,"3.2.1,0.6753872036933899;2.4.1,0.30179929733276367;3.1.1,0.010480142198503017;2.7.1,0.0029091122560203075;5.4.99,0.002571874763816595"
R02426,"4.2.1,0.8575364947319031;3.7.1,0.11221686750650406;1.1.1,0.007972772233188152;1.1.5,0.004209523554891348;5.-.-,0.002294657751917839"
R01582,"2.6.1,0.9597067832946777;5.1.1,0.03802010044455528;3.5.1,0.0005825838888995349;2.3.2,0.000525885378010571;2.7.8,0.0004998655640520155"
R09558,"4.2.3,0.9957540035247803;5.5.1,0.0035070215817540884;5.3.3,0.0005677908193320036;4.2.1,6.12179865129292e-05;1.3.99,3.495414784993045e-05"
R11246,"2.7.1,0.5991008877754211;2.7.4,0.3426414728164673;6.2.1,0.020196635276079178;2.1.1,0.008959753438830376;2.7.2,0.007100958842784166"
R06578,"2.1.1,1.0;2.3.1,2.3290225303895795e-09;1.-.-,6.102839067434473e-11;6.3.2,3.42094789995695e-11;4.3.3,1.5608113759779663e-11"
R04534,"1.1.1,0.5777613520622253;2.3.1,0.4194873571395874;4.2.1,0.0009934521513059735;1.14.13,0.000636000360827893;1.-.-,0.0001995524507947266"
R13124,"2.4.1,0.9998950958251953;3.2.1,6.046622365829535e-05;2.7.8,2.549776945670601e-05;5.1.3,1.4404811736312695e-05;2.4.2,2.090020416289917e-06"
R01051,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R03364,"4.6.1,0.8261842131614685;6.5.1,0.07791551202535629;5.4.2,0.0680370032787323;2.7.8,0.006352298893034458;3.1.27,0.00396927073597908"
R02544,"1.2.1,0.9528998732566833;1.1.1,0.03450268134474754;1.3.1,0.011744935996830463;1.17.1,0.0004759560397360474;4.2.1,6.209916318766773e-05"
R02040,"3.5.1,0.9945000410079956;3.1.1,0.003611474297940731;3.1.2,0.0010736563708633184;2.3.1,0.0002503885480109602;3.4.11,0.0001577293296577409"
R00127,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R09522,"1.21.1,0.9541622400283813;1.22.1,0.008620679378509521;1.18.1,0.006155037321150303;1.8.1,0.006071557756513357;1.6.5,0.005414135288447142"
R11190,"3.5.1,0.646036684513092;3.4.17,0.34794509410858154;3.4.16,0.0010948290582746267;3.1.1,0.0008691088878549635;3.4.19,0.0006821606657467782"
R00075,"2.1.1,0.9510113596916199;2.5.1,0.028931645676493645;1.5.5,0.004131707828491926;3.3.1,0.0028546517714858055;1.3.98,0.0025421634782105684"
R03254,"2.5.1,0.9807764887809753;4.1.1,0.01682978868484497;4.2.1,0.0016410954995080829;4.4.1,0.000349288631696254;2.7.1,0.00013777542335446924"
R02013,"4.2.3,0.9626691937446594;5.5.1,0.03382406011223793;5.3.3,0.0019883899949491024;3.1.7,0.001150552649050951;2.5.1,0.00017003588436637074"
R03369,"1.14.13,0.9679323434829712;1.14.14,0.028918292373418808;1.14.-,0.0013335279654711485;1.14.15,0.0007496114121749997;1.-.-,0.0003911545791197568"
R09384,"2.7.4,0.5206859707832336;2.7.1,0.34403854608535767;6.2.1,0.06660380214452744;5.1.99,0.022509653121232986;2.7.2,0.009342830628156662"
R01142,"1.14.13,0.8695365786552429;1.14.18,0.12247967720031738;1.6.99,0.0019243551651015878;1.3.98,0.0010274950182065368;1.6.3,0.0007437554304488003"
R03246,"1.13.11,0.9982739686965942;1.3.5,0.000798943976406008;1.1.3,0.0001742656750138849;4.5.1,0.00010818265582202002;5.3.2,7.947919220896438e-05"
R07176,"1.8.4,0.9952860474586487;1.8.5,0.003111333819106221;1.8.1,0.0006856492254883051;2.8.1,0.000261895009316504;5.3.4,0.00023024374968372285"
R13301,"2.3.1,0.9999376535415649;1.14.13,5.123406299389899e-05;3.1.1,7.2712768997007515e-06;3.5.1,3.025025989700225e-06;1.1.1,2.708476927182346e-07"
R09371,"2.1.1,1.0;2.5.1,4.796788299898935e-09;2.3.1,2.283944589009934e-09;4.4.1,1.621670575602252e-09;3.3.1,1.1806283728432732e-10"
R05700,"1.2.1,0.9996395111083984;1.1.1,0.0002449447347316891;1.11.1,6.309452874120325e-05;1.2.3,2.4646347810630687e-05;1.5.1,1.4012991414347198e-05"
R10972,"3.1.4,0.989318311214447;3.1.3,0.006121797952800989;3.2.1,0.0028697981033474207;3.6.1,0.0006878909189254045;4.6.1,0.000643208040855825"
R05353,"1.2.1,0.7197165489196777;5.3.2,0.21979673206806183;1.1.1,0.05620657280087471;1.3.1,0.00152709917165339;3.7.1,0.0005834734765812755"
R07275,"2.6.1,0.9871302247047424;1.4.1,0.012494570575654507;1.2.-,0.00017795611347537488;4.1.2,3.649638165370561e-05;4.1.1,3.14368044200819e-05"
R01340,"1.4.3,0.9962322115898132;3.5.4,0.0030397623777389526;4.3.1,0.00028923284844495356;1.5.99,0.00022688618628308177;1.5.3,3.47764726029709e-05"
R07894,"1.1.1,0.9943572878837585;2.3.1,0.004035318270325661;1.3.1,0.0008571567595936358;1.2.1,0.00042513085645623505;1.-.-,8.607742347521707e-05"
R06414,"2.3.1,0.9978433847427368;2.5.1,0.0006057457067072392;6.2.1,0.0005918874521739781;3.1.2,0.00023141528072301298;5.3.3,0.00017075864889193326"
R02489,"4.1.1,0.9989625215530396;2.7.11,9.711979510029778e-05;1.13.11,9.125578799284995e-05;1.2.3,8.593200618634e-05;2.7.1,7.046599057503045e-05"
R09198,"1.14.13,0.9986293315887451;1.3.98,0.000702535966411233;1.14.14,0.0005347104743123055;1.6.99,2.478985334164463e-05;1.13.12,2.0159181076451205e-05"
R00245,"1.2.1,0.8846319317817688;1.1.1,0.10598886758089066;1.5.1,0.004948852118104696;1.4.1,0.0015652475412935019;1.2.3,0.0006812612409703434"
R04457,"2.5.1,0.9999996423721313;1.1.1,1.6706361805063352e-07;2.4.2,7.780687383274199e-08;4.4.1,4.311615242613698e-08;5.3.99,2.3323925901763687e-08"
R03540,"3.5.1,0.9999775886535645;4.2.1,7.82154529588297e-06;3.4.19,2.6079937924805563e-06;3.5.4,1.7279097619393724e-06;3.5.3,1.2870159480371512e-06"
R11161,"1.14.14,0.9999964237213135;1.14.13,2.51665528594458e-06;5.4.4,5.232841431279667e-07;1.13.11,1.8409934909868753e-07;1.14.99,5.8609767705775084e-08"
R06185,"2.4.1,0.9756871461868286;1.1.3,0.01618313044309616;3.1.3,0.003184426808729768;1.14.11,0.0022528439294546843;3.2.1,0.0012449135538190603"
R01459,"1.1.3,0.9946923851966858;5.3.3,0.0027435787487775087;1.14.18,0.0009743100963532925;1.14.13,0.0004238436231389642;1.8.3,0.0003540832840371877"
R04345,"5.5.1,0.9999866485595703;3.1.1,7.579770226584515e-06;1.3.1,1.5557938013444073e-06;5.3.3,1.3046312687947648e-06;2.3.1,1.131259750764002e-06"
R02506,"1.2.1,0.9989715814590454;1.3.1,0.0008155922405421734;1.1.1,8.090904884738848e-05;1.8.1,6.884740287205204e-05;1.6.5,1.3391173524723854e-05"
R09298,"3.1.1,0.3579471707344055;3.8.1,0.29733502864837646;3.7.1,0.20377697050571442;1.14.-,0.09140496701002121;1.3.1,0.01588413491845131"
R04697,"1.1.1,0.999810516834259;1.14.13,7.435829320456833e-05;1.3.1,4.167273436905816e-05;1.11.1,1.3914916053181514e-05;1.8.1,1.3276237041282002e-05"
R05078,"4.2.1,0.9944232106208801;3.7.1,0.0026617231778800488;3.2.1,0.0009465104667469859;3.1.7,0.0005693223793059587;3.4.11,0.00019345703185535967"
R02817,"3.1.4,0.7647344470024109;3.1.3,0.22032207250595093;3.6.1,0.01471641194075346;3.4.11,7.756119885016233e-05;3.2.1,3.375876622158103e-05"
R11150,"1.14.13,0.9998132586479187;1.14.12,0.0001130219388869591;1.14.14,7.060049392748624e-05;1.14.-,9.850712103798287e-07;1.13.12,7.881726560299285e-07"
R10412,"1.1.1,0.9987747073173523;1.3.1,0.0005514019285328686;1.2.1,0.0005009353626519442;2.3.1,6.687216955469921e-05;1.5.1,2.3036707716528326e-05"
R09769,"5.3.1,0.9999696016311646;2.4.1,8.558165063732304e-06;1.1.3,6.059591214579996e-06;5.4.2,4.32830302088405e-06;3.2.1,3.4426918773533544e-06"
R01966,"3.2.1,0.9714319109916687;3.1.4,0.014433779753744602;3.5.1,0.00313542690128088;3.1.3,0.00210405676625669;3.6.1,0.001831382978707552"
R00640,"1.3.2,0.9999790191650391;1.10.2,1.54975859913975e-05;1.1.2,9.217140473083418e-07;1.8.99,5.992675937704917e-07;1.3.1,4.900066983282159e-07"
R07940,"2.3.1,0.9958851933479309;4.2.1,0.002366185886785388;1.14.14,0.0007836081786081195;1.14.13,0.00032948923762887716;3.5.1,0.00023846245312597603"
R13196,"4.2.2,0.7489230036735535;5.3.1,0.22010673582553864;5.5.1,0.012950079515576363;1.1.3,0.012006543576717377;2.4.1,0.002129962667822838"
R01109,"1.8.4,0.8216977715492249;1.11.1,0.08369283378124237;1.8.1,0.04631819576025009;5.3.4,0.010811993852257729;2.8.1,0.010177877731621265"
R11530,"2.4.1,0.9984337687492371;3.2.1,0.001505250227637589;2.4.2,1.5272771634045057e-05;5.4.99,1.5069307664816733e-05;5.1.3,3.5835810194839723e-06"
R04957,"2.3.1,0.9999263286590576;3.1.1,3.8689293432980776e-05;3.1.2,3.125863440800458e-05;6.2.1,9.776827027963009e-07;1.2.7,8.206606025851215e-07"
R11696,"1.1.1,0.9999773502349854;1.14.13,1.1155397260154132e-05;1.2.1,3.7667514334316365e-06;1.-.-,1.7004945220833179e-06;1.3.1,1.4156523775454843e-06"
R05282,"1.1.1,0.9811286926269531;1.3.1,0.008926132693886757;1.2.1,0.00615688506513834;1.-.-,0.0032912997994571924;1.1.99,0.00011024058039765805"
R00927,"2.3.1,0.9999274015426636;2.3.3,2.6274030460626818e-05;1.2.7,2.352627598156687e-05;3.1.2,8.803409400570672e-06;4.1.3,6.698430752294371e-06"
R10491,"2.1.1,0.9999988079071045;2.3.1,6.560934480148717e-07;2.5.1,1.642456481931731e-07;6.3.2,1.1213223416461915e-07;4.4.1,5.772259825675974e-08"
R10660,"1.8.98,0.1655845195055008;2.3.1,0.15342380106449127;1.3.4,0.15033769607543945;1.3.5,0.09602091461420059;1.3.98,0.09512922912836075"
R02571,"2.3.1,0.9905335903167725;2.5.1,0.00626807427033782;2.1.1,0.0015318752266466618;2.7.7,0.0007364014163613319;2.3.2,0.000284289795672521"
R06175,"3.1.1,0.3015800416469574;3.2.1,0.23365028202533722;3.1.4,0.1358986794948578;3.4.11,0.11752484738826752;3.6.1,0.044996097683906555"
R07515,"3.7.1,0.9849829077720642;4.2.1,0.014916006475687027;3.1.7,6.53896204312332e-05;1.1.1,8.693118616065476e-06;1.17.3,6.903217581566423e-06"
R10677,"6.3.1,0.9456047415733337;2.7.3,0.033525846898555756;2.3.2,0.007215658202767372;2.4.2,0.0036286949180066586;2.3.1,0.002889196155592799"
R08523,"1.11.1,0.6040650606155396;1.14.14,0.10653335601091385;1.4.3,0.07063135504722595;4.3.3,0.048072025179862976;1.14.18,0.03983621671795845"
R04304,"1.1.1,0.9999785423278809;1.2.1,6.80706125422148e-06;1.1.5,3.90900004276773e-06;1.-.-,2.4544524421798997e-06;1.3.1,2.1265839222905925e-06"
R10771,"6.2.1,0.9662432670593262;2.3.1,0.028232095763087273;2.8.3,0.0023729174863547087;2.7.2,0.0017591780051589012;2.7.1,0.0006017449777573347"
R04856,"3.1.6,0.8213561177253723;3.2.1,0.0981115996837616;3.5.1,0.08046522736549377;2.8.2,3.567186649888754e-05;3.5.3,7.34950708647375e-06"
R06927,"1.1.1,0.9811286926269531;1.3.1,0.008926132693886757;1.2.1,0.00615688506513834;1.-.-,0.0032912997994571924;1.1.99,0.00011024058039765805"
R08111,"1.3.1,0.9998819828033447;1.14.12,8.335559687111527e-05;1.-.-,1.81419472937705e-05;1.1.1,1.4572932741430122e-05;1.14.13,8.653808549752284e-07"
R09265,"4.2.1,0.9994877576828003;1.1.1,0.0002610012306831777;2.3.1,0.0002296245947945863;5.4.4,7.999878107511904e-06;1.-.-,7.019901204330381e-06"
R02349,"1.1.1,0.9899795055389404;1.3.1,0.006660068407654762;2.3.1,0.0011964223813265562;1.14.14,0.0005644472548738122;1.-.-,0.00040522607741877437"
R10098,"2.4.1,0.9941680431365967;2.4.2,0.004575085360556841;2.7.1,0.0012287081917747855;3.1.3,1.438497201888822e-05;2.7.3,1.2368624993541744e-05"
R07436,"1.14.13,0.6841015219688416;1.14.18,0.1580260694026947;1.14.-,0.04053124785423279;1.14.14,0.038477830588817596;2.1.1,0.017301257699728012"
R10975,"3.2.1,0.8814548850059509;3.4.11,0.029092630371451378;3.1.4,0.019690625369548798;3.1.1,0.011712104082107544;3.4.13,0.010398097336292267"
R07293,"3.1.1,0.9785970449447632;3.1.2,0.01754648983478546;2.5.1,0.002436157315969467;2.3.1,0.0004535145126283169;3.-.-,0.0003085342759732157"
R00008,"4.1.3,0.9268280863761902;2.3.1,0.019937187433242798;1.1.1,0.010991586372256279;2.3.3,0.008028596639633179;4.1.2,0.006799617316573858"
R08603,"3.7.1,0.9946194887161255;4.2.1,0.002900063991546631;1.1.1,0.0014012244064360857;1.2.3,0.0002330701390746981;1.11.1,0.00010809100785991177"
R08905,"6.2.1,0.5737186074256897;2.3.1,0.2726505994796753;1.2.1,0.03873852640390396;2.7.3,0.03757360577583313;2.7.1,0.03377951681613922"
R07321,"5.3.99,0.9999911785125732;5.99.1,8.393424650421366e-06;5.4.4,1.5440578238212765e-07;1.14.13,7.47671506928782e-08;1.1.1,4.329527314439474e-08"
R07483,"1.3.1,0.9997521042823792;1.14.13,7.537878263974562e-05;1.3.99,6.874347309349105e-05;1.1.1,3.803623258136213e-05;1.6.5,3.3132728276541457e-05"
R09644,"3.1.3,0.5092196464538574;3.6.1,0.4134410619735718;2.7.1,0.04367617517709732;2.4.1,0.018392961472272873;3.1.4,0.009883283637464046"
R06876,"2.3.1,0.3733780086040497;3.2.1,0.10254567116498947;3.1.1,0.09503453224897385;2.7.8,0.07438907772302628;1.3.1,0.04110527038574219"
R12332,"3.5.2,0.9998544454574585;3.5.1,7.680960698053241e-05;3.2.1,2.986435720231384e-05;1.14.14,1.3026282431383152e-05;3.5.4,1.0153067705687135e-05"
R12164,"2.8.5,0.9991148114204407;1.13.11,0.0008151702350005507;1.8.99,5.693685307051055e-05;4.4.1,1.8727237147686537e-06;1.7.3,1.7567529084772104e-06"
R10435,"2.4.2,0.9610376954078674;2.3.1,0.018280472606420517;5.1.3,0.010423308238387108;2.7.6,0.0021521705202758312;2.7.7,0.0013037973549216986"
R05701,"1.2.1,0.9996395111083984;1.1.1,0.0002449447347316891;1.11.1,6.309452874120325e-05;1.2.3,2.4646347810630687e-05;1.5.1,1.4012991414347198e-05"
R00943,"6.3.4,0.9968447685241699;3.5.4,0.0006945269997231662;2.1.2,0.000632362556643784;1.5.1,0.0006305787828750908;3.5.1,0.000549870019312948"
R00364,"1.4.2,0.9528627395629883;4.1.3,0.014426653273403645;1.7.2,0.008359035477042198;3.13.1,0.005160314030945301;1.10.2,0.004084788262844086"
R07524,"2.1.1,0.9999992847442627;2.3.1,3.5555419231059204e-07;4.2.1,2.4199678705372207e-07;2.5.1,7.392869605382657e-08;4.4.1,1.1580119085863316e-08"
R02971,"2.7.1,0.9967809915542603;2.7.4,0.0011579960118979216;2.1.1,0.0010138389188796282;3.1.3,0.0003639704664237797;3.6.1,0.00017166648467537016"
R10597,"4.1.3,0.8710681796073914;5.4.4,0.07552710920572281;2.7.9,0.04287334904074669;5.4.99,0.0020928336307406425;3.3.2,0.0017763680079951882"
R05291,"1.14.13,0.5036208033561707;1.14.12,0.47052833437919617;1.14.14,0.011167851276695728;1.14.-,0.006735540926456451;1.14.99,0.0023349577095359564"
R03809,"1.14.11,0.9471386075019836;1.4.11,0.022384339943528175;1.14.13,0.020004834979772568;1.14.15,0.005520039238035679;1.14.20,0.002986619947478175"
R01576,"2.7.1,0.43196922540664673;5.3.1,0.2561880052089691;1.1.1,0.13361914455890656;4.1.2,0.06782818585634232;1.1.3,0.053884655237197876"
R02132,"1.1.3,0.8563933968544006;1.4.3,0.03779233247041702;1.7.3,0.028976967558264732;1.11.1,0.02626791223883629;1.8.3,0.013720162212848663"
R01151,"1.4.3,0.9963870048522949;1.5.3,0.0016623593401163816;3.5.4,0.0013644155114889145;1.5.99,0.0002815714105963707;4.1.99,0.00014692734112031758"
R01216,"1.1.99,0.2614497244358063;1.1.2,0.23988771438598633;2.6.1,0.1970456838607788;1.1.1,0.09394773840904236;2.3.1,0.07234713435173035"
R06451,"2.4.1,0.9733437299728394;2.3.1,0.007449026219546795;2.7.1,0.005067518912255764;2.7.7,0.0042437100782990456;5.4.99,0.0011797980405390263"
R00656,"4.1.1,0.9969227910041809;2.3.1,0.0016884494107216597;6.2.1,0.0005522441351786256;2.6.1,0.0004390220274217427;2.5.1,0.00017505015421193093"
R10347,"3.5.3,0.9951254725456238;3.5.1,0.0006015923572704196;3.2.1,0.0005542624858208001;1.14.99,0.0005475337966345251;4.2.1,0.0005379268550314009"
R08973,"2.1.1,1.0;2.3.1,2.2899468987702676e-09;1.-.-,1.897721979560174e-10;2.5.1,9.200865069836084e-11;2.6.1,6.318544298888895e-11"
R02322,"3.5.1,0.9923898577690125;3.1.1,0.0014521012781187892;3.6.1,0.0012848253827542067;3.5.5,0.0009957823203876615;3.5.4,0.0007309607462957501"
R08164,"2.4.1,0.9999734163284302;2.6.1,1.3504390153684653e-05;1.1.3,5.4218976401898544e-06;2.7.7,4.510868166107684e-06;1.14.-,8.114156457850186e-07"
R10901,"2.7.1,0.6295978426933289;2.3.1,0.3353976309299469;6.2.1,0.02183099277317524;2.7.3,0.0029976749792695045;3.1.1,0.0024599318858236074"
R01660,"2.3.1,0.4580310583114624;3.1.3,0.294818252325058;3.1.1,0.08946559578180313;4.2.1,0.04194717854261398;5.4.2,0.021081596612930298"
