reaction,EC_number_predicted
287,3.5.5.6;3.5.1.4;3.5.99.8;3.1.1.1;3.5.2.16;3.4.13.22;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.11.1;2.3.2.2;4.2.1.48;3.4.19.13;3.4.17.8;3.4.14.13;3.5.4.1;3.13.1.6;3.5.3.21;1.2.7.12;3.8.1.8;2.1.2.3;4.3.2.4
302,
255,
298,2.6.1.105;2.7.8.29;2.6.99.2
301,
280,1.1.1.27;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.5;5.4.99.3;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
295,
284,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
269,
260,
303,
293,1.21.3.3;1.3.3.10;1.5.3.12;1.5.1.27;1.4.3.3;2.6.1.82;2.5.1.46
294,3.2.1.22;3.1.1.93;3.2.2.11;4.3.3.5
285,3.1.1.17;3.7.1.8;3.11.1.3;3.1.3.1;4.2.1.155;3.1.2.4;3.2.1.175;3.6.1.7;3.1.6.17;3.1.4.2;2.3.1.85;4.2.3.1;3.1.7.5;3.1.5.1;4.6.1.13;2.4.1.17;5.1.3.14
263,1.2.3.15;1.2.4.2;1.1.3.17;1.2.1.4;1.2.5.1;1.1.1.314;1.8.1.4;2.3.1.61;1.17.1.9;1.3.1.20
292,
265,
273,3.5.1.53;2.3.2.2;3.5.3.12;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.13.4;3.5.5.1;3.4.11.1;3.4.19.13;3.4.14.13;3.5.2.2;3.4.17.21;4.2.1.48;3.1.1.1;3.13.1.6;3.5.4.1;1.2.7.12;3.5.99.6;2.1.2.3;3.8.1.8;4.3.2.4
288,1.2.1.3;1.1.1.1;1.17.1.9;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.1.3.39;1.2.3.1;1.2.5.1
291,
272,4.3.1.31;4.3.3.1;4.3.2.6;4.2.1.87;3.5.99.5
257,
270,
281,
289,1.14.13.138;1.14.14.1;1.14.12.12;1.14.15.3;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.4;1.10.3.4;1.14.11.20;1.14.19.19
278,
268,
297,
