reaction_id,Stratified_ground_truth_REACTION_ID,Stratified_ground_truth_true_EC,merged_output_Stratified_ground_truth_REACTION_ID,merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_theia_Prediction,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_ec,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_CLAIRE_predictions,merged_output_theia_Prediction,merged_output_BEC-Pred_Prediction,merged_output_ec,SIMMER_SIMMER pred,SelenzymeRF_All ECs,CLAIRE_predictions,theia_Prediction,BEC-Pred_Prediction,ec
16234,,,,,,,,,,,,,,,,,,1.1.1,1.1.1.169,1.1.1,1.1.1,1.1.1.169,1.1.1,1.1.1,1.1.1.169,1.1.1,1.1.1.86,1.16.3;1.8.2;1.11.1;1.97.1,"1.1.1,0.996394693851471;1.4.1,0.0007837351295165718;1.17.1,0.0005399740766733885;1.2.1,0.0004951396258547902;1.18.1,0.00028556291363202035",1.1.1,1.1.1.169,1.1.1,1.1.1.86,1.16.3;1.8.2;1.11.1;1.97.1,1.1.1;1.4.1;1.17.1;1.2.1;1.18.1,1.1.1,1.1.1.169,1.1.1,1.1.1.86,1.3.1;2.4.1;1.1.1;1.5.1,1.1.1;1.4.1;1.17.1;1.2.1;1.18.1,1.1.1,1.1.1.169,1.1.1,1.1.1.86,1.3.1;2.4.1;1.1.1;1.5.1,1.1.1;1.4.1;1.17.1;1.2.1;1.18.1,1.1.1,1.1.1.169,1.1.1,1.1.1.86,1.3.1;2.4.1;1.1.1;1.5.1,1.1.1;1.4.1;1.17.1;1.2.1;1.18.1,1.1.1,1.1.1.169
16290,,,,,,,,,,,,,,,,,,1.1.1,1.5.1.18,1.3.1,1.1.1,1.5.1.18,1.3.1,1.1.1,1.5.1.18,1.3.1,1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.12.1.2|1.12.1.5;1.14.13.69,3.5.1;3.4.13;4.3.2;3.4.11,"1.5.1,0.6442019939422607;1.4.1,0.13165441155433655;1.7.1,0.05628349259495735;2.1.1,0.032017260789871216;1.2.1,0.019529901444911957",1.1.1,1.5.1.18,1.3.1,1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.12.1.2|1.12.1.5;1.14.13.69,3.5.1;3.4.13;4.3.2;3.4.11,1.5.1;1.4.1;1.7.1;2.1.1;1.2.1,1.1.1,1.5.1.18,1.3.1,1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.12.1.2|1.12.1.5;1.14.13.69,2.4.1;2.4.2;2.1.1;3.2.1,1.5.1;1.4.1;1.7.1;2.1.1;1.2.1,1.1.1,1.5.1.18,1.3.1,1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.12.1.2|1.12.1.5;1.14.13.69,2.4.1;2.4.2;2.1.1;3.2.1,1.5.1;1.4.1;1.7.1;2.1.1;1.2.1,1.1.1,1.5.1.18,1.3.1,1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.12.1.2|1.12.1.5;1.14.13.69,2.4.1;2.4.2;2.1.1;3.2.1,1.5.1;1.4.1;1.7.1;2.1.1;1.2.1,1.1.1,1.5.1.18
16318,,,,,,,,,,,,,,,,,,1.1.1,1.1.1.112,1.1.1,1.1.1,1.1.1.112,1.1.1,1.1.1,1.1.1.112,1.1.1,1.1.1.184;1.1.1.112|1.1.1.184;1.1.1.112|1.1.1.184|1.1.1.213|1.1.1.50|1.1.1.62|1.3.1.20;1.1.1.184|1.1.1.209|1.1.1.213|1.1.1.50;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,2.1.1;2.5.1;1.3.8;2.3.1,"1.1.1,0.9950946569442749;1.17.1,0.0011603734456002712;1.3.1,0.0005697975866496563;1.5.1,0.00040918009472079575;1.2.1,0.0004045564855914563",1.1.1,1.1.1.112,1.1.1,1.1.1.184;1.1.1.112|1.1.1.184;1.1.1.112|1.1.1.184|1.1.1.213|1.1.1.50|1.1.1.62|1.3.1.20;1.1.1.184|1.1.1.209|1.1.1.213|1.1.1.50;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,2.1.1;2.5.1;1.3.8;2.3.1,1.1.1;1.17.1;1.3.1;1.5.1;1.2.1,1.1.1,1.1.1.112,1.1.1,1.1.1.184;1.1.1.112|1.1.1.184;1.1.1.112|1.1.1.184|1.1.1.213|1.1.1.50|1.1.1.62|1.3.1.20;1.1.1.184|1.1.1.209|1.1.1.213|1.1.1.50;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,2.4.1;1.2.1;2.3.1;1.1.1,1.1.1;1.17.1;1.3.1;1.5.1;1.2.1,1.1.1,1.1.1.112,1.1.1,1.1.1.184;1.1.1.112|1.1.1.184;1.1.1.112|1.1.1.184|1.1.1.213|1.1.1.50|1.1.1.62|1.3.1.20;1.1.1.184|1.1.1.209|1.1.1.213|1.1.1.50;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,2.4.1;1.2.1;2.3.1;1.1.1,1.1.1;1.17.1;1.3.1;1.5.1;1.2.1,1.1.1,1.1.1.112,1.1.1,1.1.1.184;1.1.1.112|1.1.1.184;1.1.1.112|1.1.1.184|1.1.1.213|1.1.1.50|1.1.1.62|1.3.1.20;1.1.1.184|1.1.1.209|1.1.1.213|1.1.1.50;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,2.4.1;1.2.1;2.3.1;1.1.1,1.1.1;1.17.1;1.3.1;1.5.1;1.2.1,1.1.1,1.1.1.112
16366,,,,,,,,,,,,,,,,,,3.1.1,3.1.1.20,,3.1.1,3.1.1.20,,3.1.1,3.1.1.20,,1.13.11.24;2.1.1.-|2.1.1.341;1.21.3.6;3.1.1.35;3.1.1.20;3.5.2.6,2.4.2;2.7.8;3.1.1;2.7.7,"3.2.1,0.2270566076040268;3.6.1,0.1879616379737854;4.2.1,0.09585446119308472;3.1.1,0.08814126998186111;2.7.1,0.050790395587682724",3.1.1,3.1.1.20,,1.13.11.24;2.1.1.-|2.1.1.341;1.21.3.6;3.1.1.35;3.1.1.20;3.5.2.6,2.4.2;2.7.8;3.1.1;2.7.7,3.2.1;3.6.1;4.2.1;3.1.1;2.7.1,3.1.1,3.1.1.20,,1.13.11.24;2.1.1.-|2.1.1.341;1.21.3.6;3.1.1.35;3.1.1.20;3.5.2.6,3.1.1;3.1.2;3.5.1;3.5.5,3.2.1;3.6.1;4.2.1;3.1.1;2.7.1,3.1.1,3.1.1.20,,1.13.11.24;2.1.1.-|2.1.1.341;1.21.3.6;3.1.1.35;3.1.1.20;3.5.2.6,3.1.1;3.1.2;3.5.1;3.5.5,3.2.1;3.6.1;4.2.1;3.1.1;2.7.1,3.1.1,3.1.1.20,,1.13.11.24;2.1.1.-|2.1.1.341;1.21.3.6;3.1.1.35;3.1.1.20;3.5.2.6,3.1.1;3.1.2;3.5.1;3.5.5,3.2.1;3.6.1;4.2.1;3.1.1;2.7.1,3.1.1,3.1.1.20
16390,,,,,,,,,,,,,,,,,,1.14.13,1.14.13.64,1.14.13,1.14.13,1.14.13.64,1.14.13,1.14.13,1.14.13.64,1.14.13,1.14.13.64;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.1;1.14.12.13;1.14.13.2|1.14.13.33;1.14.13.114;1.14.12.10;1.6.5.2,1.1.1;1.2.1;1.3.1;2.4.1,"1.14.13,0.8887479305267334;1.2.1,0.05030501261353493;1.13.12,0.015915220603346825;1.17.1,0.01095433346927166;1.14.19,0.007420729845762253",1.14.13,1.14.13.64,1.14.13,1.14.13.64;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.1;1.14.12.13;1.14.13.2|1.14.13.33;1.14.13.114;1.14.12.10;1.6.5.2,1.1.1;1.2.1;1.3.1;2.4.1,1.14.13;1.2.1;1.13.12;1.17.1;1.14.19,1.14.13,1.14.13.64,1.14.13,1.14.13.64;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.1;1.14.12.13;1.14.13.2|1.14.13.33;1.14.13.114;1.14.12.10;1.6.5.2,1.14.13;1.14.19;1.21.3;1.14.14,1.14.13;1.2.1;1.13.12;1.17.1;1.14.19,1.14.13,1.14.13.64,1.14.13,1.14.13.64;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.1;1.14.12.13;1.14.13.2|1.14.13.33;1.14.13.114;1.14.12.10;1.6.5.2,1.14.13;1.14.19;1.21.3;1.14.14,1.14.13;1.2.1;1.13.12;1.17.1;1.14.19,1.14.13,1.14.13.64,1.14.13,1.14.13.64;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.1;1.14.12.13;1.14.13.2|1.14.13.33;1.14.13.114;1.14.12.10;1.6.5.2,1.14.13;1.14.19;1.21.3;1.14.14,1.14.13;1.2.1;1.13.12;1.17.1;1.14.19,1.14.13,1.14.13.64
16414,,,,,,,,,,,,,,,,,,4.4.1,2.3.1.200,5.1.3;5.1.1,4.4.1,2.3.1.200,5.1.3;5.1.1,4.4.1,2.3.1.200,5.1.3;5.1.1,2.3.1.200;2.3.1.204;6.3.1.20;2.3.2.26,1.15.1;1.7.3;1.14.18;1.10.3,"2.7.8,0.04521336778998375;2.3.1,0.04423636570572853;5.2.1,0.04294072464108467;2.7.4,0.040573928505182266;2.4.1,0.029396887868642807",2.8.3,2.3.1.200,5.1.3;5.1.1,2.3.1.200;2.3.1.204;6.3.1.20;2.3.2.26,1.15.1;1.7.3;1.14.18;1.10.3,2.7.8;2.3.1;5.2.1;2.7.4;2.4.1,2.8.3,2.3.1.200,5.1.3;5.1.1,2.3.1.200;2.3.1.204;6.3.1.20;2.3.2.26,6.2.1;1.8.4;2.7.4;2.7.1,2.7.8;2.3.1;5.2.1;2.7.4;2.4.1,2.8.3,2.3.1.200,5.1.3;5.1.1,2.3.1.200;2.3.1.204;6.3.1.20;2.3.2.26,6.2.1;1.8.4;2.7.4;2.7.1,2.7.8;2.3.1;5.2.1;2.7.4;2.4.1,1.8.4,2.3.1.200,5.1.3;5.1.1,2.3.1.200;2.3.1.204;6.3.1.20;2.3.2.26,6.2.1;1.8.4;2.7.4;2.7.1,2.7.8;2.3.1;5.2.1;2.7.4;2.4.1,1.8.4,2.3.1.200
16438,,,,,,,,,,,,,,,,,,2.5.1,2.5.1.18,,2.5.1,2.5.1.18,,2.5.1,2.5.1.18,,2.5.1.18,5.4.3;2.6.1;2.2.1;4.3.99,"2.8.1,0.2196810245513916;4.4.1,0.20979689061641693;1.8.4,0.19410842657089233;2.3.1,0.05775737389922142;2.8.4,0.034151773899793625",1.3.99,2.5.1.18,,2.5.1.18,5.4.3;2.6.1;2.2.1;4.3.99,2.8.1;4.4.1;1.8.4;2.3.1;2.8.4,1.3.99,2.5.1.18,,2.5.1.18,2.8.1;4.4.1;1.8.4;2.8.4,2.8.1;4.4.1;1.8.4;2.3.1;2.8.4,1.3.99,2.5.1.18,,2.5.1.18,2.8.1;4.4.1;1.8.4;2.8.4,2.8.1;4.4.1;1.8.4;2.3.1;2.8.4,1.8.4,2.5.1.18,,2.5.1.18,2.8.1;4.4.1;1.8.4;2.8.4,2.8.1;4.4.1;1.8.4;2.3.1;2.8.4,1.8.4,2.5.1.18
16446,,,,,,,,,,,,,,,,,,4.2.1,4.2.1.105,4.2.1,4.2.1,4.2.1.105,4.2.1,4.2.1,4.2.1.105,4.2.1,4.2.1.105;1.14.13.86;1.3.1.45;1.14.14.87;2.1.1.212;1.14.11.23;1.14.11.23|1.14.20.6;1.3.1.-|2.3.1.170|2.3.1.74,3.1.7;3.1.3;3.1.1;4.4.1,"1.3.1,0.3045053780078888;4.1.99,0.14060521125793457;1.13.11,0.12420519441366196;5.5.1,0.08517919480800629;5.2.1,0.066731758415699",4.2.1,4.2.1.105,4.2.1,4.2.1.105;1.14.13.86;1.3.1.45;1.14.14.87;2.1.1.212;1.14.11.23;1.14.11.23|1.14.20.6;1.3.1.-|2.3.1.170|2.3.1.74,3.1.7;3.1.3;3.1.1;4.4.1,1.3.1;4.1.99;1.13.11;5.5.1;5.2.1,4.2.1,4.2.1.105,4.2.1,4.2.1.105;1.14.13.86;1.3.1.45;1.14.14.87;2.1.1.212;1.14.11.23;1.14.11.23|1.14.20.6;1.3.1.-|2.3.1.170|2.3.1.74,1.11.2;1.8.3;4.2.1;1.5.3,1.3.1;4.1.99;1.13.11;5.5.1;5.2.1,4.2.1,4.2.1.105,4.2.1,4.2.1.105;1.14.13.86;1.3.1.45;1.14.14.87;2.1.1.212;1.14.11.23;1.14.11.23|1.14.20.6;1.3.1.-|2.3.1.170|2.3.1.74,1.11.2;1.8.3;4.2.1;1.5.3,1.3.1;4.1.99;1.13.11;5.5.1;5.2.1,4.2.1,4.2.1.105,4.2.1,4.2.1.105;1.14.13.86;1.3.1.45;1.14.14.87;2.1.1.212;1.14.11.23;1.14.11.23|1.14.20.6;1.3.1.-|2.3.1.170|2.3.1.74,1.11.2;1.8.3;4.2.1;1.5.3,1.3.1;4.1.99;1.13.11;5.5.1;5.2.1,4.2.1,4.2.1.105
16514,,,,,,,,,,,,,,,,,,1.14.99,1.13.12.4,,1.14.99,1.13.12.4,,1.14.99,1.13.12.4,,1.2.2.4;1.1.3.15|1.1.3.2;1.2.3.3;1.2.3.4;1.14.18.12;1.14.14.38;1.13.12.24;1.13|1.13.12.19;1.14.11.44;1.14.11.43;1.14.14.42;1.14.11.21;1.14.14.40;1.14.14.36;1.13.11.46;1.13.11.27;1.14.19.52;1.14.14.156;1.13.12.6;1.14.11.18;1.14.14.117;2.6.1.114;1.14.11.9;1.14.11.6;1.14.11.17,1.16.3;1.12.7;7.1.1;1.7.7,"4.2.1,0.8016398549079895;4.1.3,0.02683466114103794;1.14.15,0.02677455171942711;1.13.11,0.025996090844273567;1.14.11,0.016054116189479828",1.13.11,1.13.12.4,,1.2.2.4;1.1.3.15|1.1.3.2;1.2.3.3;1.2.3.4;1.14.18.12;1.14.14.38;1.13.12.24;1.13|1.13.12.19;1.14.11.44;1.14.11.43;1.14.14.42;1.14.11.21;1.14.14.40;1.14.14.36;1.13.11.46;1.13.11.27;1.14.19.52;1.14.14.156;1.13.12.6;1.14.11.18;1.14.14.117;2.6.1.114;1.14.11.9;1.14.11.6;1.14.11.17,1.16.3;1.12.7;7.1.1;1.7.7,4.2.1;4.1.3;1.14.15;1.13.11;1.14.11,1.13.11,1.13.12.4,,1.2.2.4;1.1.3.15|1.1.3.2;1.2.3.3;1.2.3.4;1.14.18.12;1.14.14.38;1.13.12.24;1.13|1.13.12.19;1.14.11.44;1.14.11.43;1.14.14.42;1.14.11.21;1.14.14.40;1.14.14.36;1.13.11.46;1.13.11.27;1.14.19.52;1.14.14.156;1.13.12.6;1.14.11.18;1.14.14.117;2.6.1.114;1.14.11.9;1.14.11.6;1.14.11.17,1.21.3;1.3.3;1.13.12;1.1.3,4.2.1;4.1.3;1.14.15;1.13.11;1.14.11,1.13.11,1.13.12.4,,1.2.2.4;1.1.3.15|1.1.3.2;1.2.3.3;1.2.3.4;1.14.18.12;1.14.14.38;1.13.12.24;1.13|1.13.12.19;1.14.11.44;1.14.11.43;1.14.14.42;1.14.11.21;1.14.14.40;1.14.14.36;1.13.11.46;1.13.11.27;1.14.19.52;1.14.14.156;1.13.12.6;1.14.11.18;1.14.14.117;2.6.1.114;1.14.11.9;1.14.11.6;1.14.11.17,1.21.3;1.3.3;1.13.12;1.1.3,4.2.1;4.1.3;1.14.15;1.13.11;1.14.11,1.1.3,1.13.12.4,,1.2.2.4;1.1.3.15|1.1.3.2;1.2.3.3;1.2.3.4;1.14.18.12;1.14.14.38;1.13.12.24;1.13|1.13.12.19;1.14.11.44;1.14.11.43;1.14.14.42;1.14.11.21;1.14.14.40;1.14.14.36;1.13.11.46;1.13.11.27;1.14.19.52;1.14.14.156;1.13.12.6;1.14.11.18;1.14.14.117;2.6.1.114;1.14.11.9;1.14.11.6;1.14.11.17,1.21.3;1.3.3;1.13.12;1.1.3,4.2.1;4.1.3;1.14.15;1.13.11;1.14.11,1.1.3,1.13.12.4
16534,,,,,,,,,,,,,,,,,,2.4.1,2.4.1.94,2.4.1,2.4.1,2.4.1.94,2.4.1,2.4.1,2.4.1.94,2.4.1,3.2.1.183;2.4.1.255;2.4.1.41;2.4.1.229;3.2.1.184;2.4.1.147;2.4.1.-|2.4.1.291;2.4.1.227,4.1.3;5.4.99;5.3.3;4.2.99,"2.4.1,0.9656011462211609;2.4.2,0.023290568962693214;3.2.1,0.0031310173217207193;3.6.1,0.001993973506614566;2.7.8,0.001532946014776826",2.4.1,2.4.1.94,2.4.1,3.2.1.183;2.4.1.255;2.4.1.41;2.4.1.229;3.2.1.184;2.4.1.147;2.4.1.-|2.4.1.291;2.4.1.227,4.1.3;5.4.99;5.3.3;4.2.99,2.4.1;2.4.2;3.2.1;3.6.1;2.7.8,2.4.1,2.4.1.94,2.4.1,3.2.1.183;2.4.1.255;2.4.1.41;2.4.1.229;3.2.1.184;2.4.1.147;2.4.1.-|2.4.1.291;2.4.1.227,2.1.1;2.5.1;2.4.1;1.17.7,2.4.1;2.4.2;3.2.1;3.6.1;2.7.8,2.4.1,2.4.1.94,2.4.1,3.2.1.183;2.4.1.255;2.4.1.41;2.4.1.229;3.2.1.184;2.4.1.147;2.4.1.-|2.4.1.291;2.4.1.227,2.1.1;2.5.1;2.4.1;1.17.7,2.4.1;2.4.2;3.2.1;3.6.1;2.7.8,2.4.1,2.4.1.94,2.4.1,3.2.1.183;2.4.1.255;2.4.1.41;2.4.1.229;3.2.1.184;2.4.1.147;2.4.1.-|2.4.1.291;2.4.1.227,2.1.1;2.5.1;2.4.1;1.17.7,2.4.1;2.4.2;3.2.1;3.6.1;2.7.8,2.4.1,2.4.1.94
16538,,,,,,,,,,,,,,,,,,3.1.3,3.1.3.76,3.1.4,3.1.3,3.1.3.76,3.1.4,3.1.3,3.1.3.76,3.1.4,2.4.1.230;2.4.1|2.4.1.320;2.4.1.1;3.1.4.57;1.2.1.13;2.4.1.282;2.4.1.281;2.4.1.279;3.1.3.-|3.1.3.4;2.4.1.329;2.4.1.20;2.4.1.8;2.5.1.54,3.6.5;3.6.4;5.6.2;6.5.1,"3.1.3,0.9899857044219971;3.1.4,0.0022319320123642683;3.6.1,0.0012372636701911688;4.2.3,0.001124131609685719;3.6.4,0.0009668585262261331",3.1.3,3.1.3.76,3.1.4,2.4.1.230;2.4.1|2.4.1.320;2.4.1.1;3.1.4.57;1.2.1.13;2.4.1.282;2.4.1.281;2.4.1.279;3.1.3.-|3.1.3.4;2.4.1.329;2.4.1.20;2.4.1.8;2.5.1.54,3.6.5;3.6.4;5.6.2;6.5.1,3.1.3;3.1.4;3.6.1;4.2.3;3.6.4,3.1.3,3.1.3.76,3.1.4,2.4.1.230;2.4.1|2.4.1.320;2.4.1.1;3.1.4.57;1.2.1.13;2.4.1.282;2.4.1.281;2.4.1.279;3.1.3.-|3.1.3.4;2.4.1.329;2.4.1.20;2.4.1.8;2.5.1.54,3.1.3;3.1.7;3.1.1;2.9.1,3.1.3;3.1.4;3.6.1;4.2.3;3.6.4,3.1.3,3.1.3.76,3.1.4,2.4.1.230;2.4.1|2.4.1.320;2.4.1.1;3.1.4.57;1.2.1.13;2.4.1.282;2.4.1.281;2.4.1.279;3.1.3.-|3.1.3.4;2.4.1.329;2.4.1.20;2.4.1.8;2.5.1.54,3.1.3;3.1.7;3.1.1;2.9.1,3.1.3;3.1.4;3.6.1;4.2.3;3.6.4,3.1.3,3.1.3.76,3.1.4,2.4.1.230;2.4.1|2.4.1.320;2.4.1.1;3.1.4.57;1.2.1.13;2.4.1.282;2.4.1.281;2.4.1.279;3.1.3.-|3.1.3.4;2.4.1.329;2.4.1.20;2.4.1.8;2.5.1.54,3.1.3;3.1.7;3.1.1;2.9.1,3.1.3;3.1.4;3.6.1;4.2.3;3.6.4,3.1.3,3.1.3.76
16542,,,,,,,,,,,,,,,,,,1.13.11,1.13.11.51,1.13.11,1.13.11,1.13.11.51,1.13.11,1.13.11,1.13.11.51,1.13.11,1.13.11.51;1.13.11.71|1.14.99.-;1.13.11.84|1.14.99.42;1.13.11.59;1.13.11.65;1.13.11.63;1.13.11.75|1.14.99.41;1.14.13.90;1.14.99.44;1.13.11.-|1.13.11.29;1.13.11.-|1.13.11.66;1.13.11.8;1.2.99.-|1.2.99.10;1.1.99.8;1.8.3.5;1.4.3.13;1.13.11.2,1.3.1;2.4.1;1.17.1;3.7.1,"1.13.11,0.9947062134742737;1.1.3,0.0012248234124854207;1.2.3,0.0007425493677146733;2.3.1,0.00038482050877064466;1.14.15,0.0003550759283825755",1.13.11,1.13.11.51,1.13.11,1.13.11.51;1.13.11.71|1.14.99.-;1.13.11.84|1.14.99.42;1.13.11.59;1.13.11.65;1.13.11.63;1.13.11.75|1.14.99.41;1.14.13.90;1.14.99.44;1.13.11.-|1.13.11.29;1.13.11.-|1.13.11.66;1.13.11.8;1.2.99.-|1.2.99.10;1.1.99.8;1.8.3.5;1.4.3.13;1.13.11.2,1.3.1;2.4.1;1.17.1;3.7.1,1.13.11;1.1.3;1.2.3;2.3.1;1.14.15,1.13.11,1.13.11.51,1.13.11,1.13.11.51;1.13.11.71|1.14.99.-;1.13.11.84|1.14.99.42;1.13.11.59;1.13.11.65;1.13.11.63;1.13.11.75|1.14.99.41;1.14.13.90;1.14.99.44;1.13.11.-|1.13.11.29;1.13.11.-|1.13.11.66;1.13.11.8;1.2.99.-|1.2.99.10;1.1.99.8;1.8.3.5;1.4.3.13;1.13.11.2,1.14.11;1.13.12;1.14.20;1.13.11,1.13.11;1.1.3;1.2.3;2.3.1;1.14.15,1.13.11,1.13.11.51,1.13.11,1.13.11.51;1.13.11.71|1.14.99.-;1.13.11.84|1.14.99.42;1.13.11.59;1.13.11.65;1.13.11.63;1.13.11.75|1.14.99.41;1.14.13.90;1.14.99.44;1.13.11.-|1.13.11.29;1.13.11.-|1.13.11.66;1.13.11.8;1.2.99.-|1.2.99.10;1.1.99.8;1.8.3.5;1.4.3.13;1.13.11.2,1.14.11;1.13.12;1.14.20;1.13.11,1.13.11;1.1.3;1.2.3;2.3.1;1.14.15,1.13.11,1.13.11.51,1.13.11,1.13.11.51;1.13.11.71|1.14.99.-;1.13.11.84|1.14.99.42;1.13.11.59;1.13.11.65;1.13.11.63;1.13.11.75|1.14.99.41;1.14.13.90;1.14.99.44;1.13.11.-|1.13.11.29;1.13.11.-|1.13.11.66;1.13.11.8;1.2.99.-|1.2.99.10;1.1.99.8;1.8.3.5;1.4.3.13;1.13.11.2,1.14.11;1.13.12;1.14.20;1.13.11,1.13.11;1.1.3;1.2.3;2.3.1;1.14.15,1.13.11,1.13.11.51
16622,,,,,,,,,,,,,,,,,,1.1.3,1.5.3.12,1.5.3,1.1.3,1.5.3.12,1.5.3,1.1.3,1.5.3.12,1.5.3,1.6.3.1;1.1.3.15;1.4.3.3;1.3.3.6;1.8.3.5;1.3.3.16;1.4.3.13;1.2.3.1,1.1.2;1.4.2;4.3.99;1.17.9,"1.3.3,0.43584248423576355;1.3.1,0.4026246964931488;1.1.3,0.0374116450548172;1.8.3,0.011426692828536034;1.13.11,0.011128098703920841",1.1.3,1.5.3.12,1.5.3,1.6.3.1;1.1.3.15;1.4.3.3;1.3.3.6;1.8.3.5;1.3.3.16;1.4.3.13;1.2.3.1,1.1.2;1.4.2;4.3.99;1.17.9,1.3.3;1.3.1;1.1.3;1.8.3;1.13.11,1.1.3,1.5.3.12,1.5.3,1.6.3.1;1.1.3.15;1.4.3.3;1.3.3.6;1.8.3.5;1.3.3.16;1.4.3.13;1.2.3.1,1.5.3;1.3.3;4.3.1;4.2.1,1.3.3;1.3.1;1.1.3;1.8.3;1.13.11,1.1.3,1.5.3.12,1.5.3,1.6.3.1;1.1.3.15;1.4.3.3;1.3.3.6;1.8.3.5;1.3.3.16;1.4.3.13;1.2.3.1,1.5.3;1.3.3;4.3.1;4.2.1,1.3.3;1.3.1;1.1.3;1.8.3;1.13.11,1.21.3,1.5.3.12,1.5.3,1.6.3.1;1.1.3.15;1.4.3.3;1.3.3.6;1.8.3.5;1.3.3.16;1.4.3.13;1.2.3.1,1.5.3;1.3.3;4.3.1;4.2.1,1.3.3;1.3.1;1.1.3;1.8.3;1.13.11,1.21.3,1.5.3.12
