Reaction ID,Theia
R09087,"2.7.4,0.9838788509368896;2.7.1,0.014560949057340622;2.1.1,0.000783788796979934;6.3.2,0.00010656096128514037;1.6.1,9.912360837915912e-05"
R07640,"2.7.4,0.5206859707832336;2.7.1,0.34403854608535767;6.2.1,0.06660380214452744;5.1.99,0.022509653121232986;2.7.2,0.009342830628156662"
R04178,"1.3.3,0.9997437596321106;1.3.5,6.952954572625458e-05;1.3.99,6.452164961956441e-05;1.7.3,4.75820415886119e-05;4.99.1,2.6809144401340745e-05"
R09965,"4.2.3,0.9999719858169556;5.5.1,2.7976771889370866e-05;4.3.2,1.176841912808868e-08;3.1.7,7.326171225230382e-09;2.5.1,1.836088059370411e-09"
R06866,"4.1.1,0.9990288019180298;1.14.13,0.0007806735811755061;2.5.1,0.00010513143934076652;1.14.-,4.817102671950124e-05;1.1.1,1.1280618309683632e-05"
R08235,"1.17.3,0.9997263550758362;1.2.3,0.0001358453300781548;2.4.2,0.00011100428673671558;1.13.12,6.262821443669964e-06;1.14.13,5.741456334362738e-06"
R11263,"4.2.1,0.9787756204605103;3.4.11,0.013874134980142117;2.3.3,0.0026545266155153513;5.4.4,0.001603884855285287;3.2.1,0.0009209387353621423"
R07395,"3.1.3,0.999866247177124;3.6.1,4.82076320622582e-05;5.3.2,2.195321212639101e-05;2.7.1,1.3290012248035055e-05;2.5.1,1.2291826351429336e-05"
R07797,"2.8.2,0.9999995231628418;1.8.4,1.6525571311376552e-07;2.7.8,8.36025222383796e-08;1.14.11,6.825573706237265e-08;2.3.1,2.632914153366528e-08"
R12345,"3.1.3,0.7385655045509338;3.1.4,0.1884147673845291;3.2.1,0.04804321750998497;3.6.1,0.018387338146567345;3.4.11,0.0021685545798391104"
R00605,"1.1.1,0.9860399961471558;1.2.1,0.009246968664228916;1.1.2,0.0017910669557750225;1.3.1,0.001279946998693049;1.1.5,0.0004281532601453364"
R02333,"3.2.1,0.9963254332542419;3.5.1,0.003584346966817975;3.1.1,4.072484080097638e-05;3.5.-,2.865500755433459e-05;3.2.2,6.275196483329637e-06"
R12411,"1.14.11,0.9947585463523865;6.3.2,0.004241332411766052;4.1.1,0.0007297660922631621;1.14.20,0.00013454037252813578;2.3.1,0.00010775153350550681"
R12392,"3.1.1,0.5454538464546204;3.5.1,0.23575519025325775;3.1.2,0.1746567040681839;4.2.1,0.027172518894076347;3.4.11,0.005099144764244556"
R07172,"1.6.3,0.7714453339576721;1.11.1,0.10587368160486221;1.6.99,0.08430808782577515;1.14.12,0.009566043503582478;1.3.1,0.006506816949695349"
R06972,"3.5.4,0.6201711893081665;1.1.1,0.13627882301807404;3.8.1,0.056075774133205414;1.14.14,0.05200020596385002;4.2.1,0.04771420732140541"
R07122,"3.3.2,0.8779830932617188;5.4.4,0.071500763297081;4.2.1,0.04911162704229355;1.11.2,0.00046999636106193066;1.14.13,0.00041393833816982806"
R01620,"2.7.1,0.3880200684070587;2.3.1,0.3069005310535431;6.2.1,0.22737005352973938;2.7.2,0.036000169813632965;6.3.1,0.022449320182204247"
R01485,"6.3.1,0.8209384679794312;2.3.2,0.16125357151031494;6.3.4,0.01440963614732027;3.5.1,0.0016021061455830932;2.4.2,0.0003630219725891948"
R02734,"3.5.1,0.82598477602005;3.4.11,0.08923936635255814;3.4.13,0.05553136393427849;3.4.17,0.009923454374074936;2.3.2,0.005420622415840626"
R02430,"2.7.1,0.9978252649307251;2.7.2,0.0008844862459227443;2.1.1,0.00046578911133110523;3.6.1,0.00016982709348667413;3.1.3,0.0001420000771759078"
R02196,"1.4.1,0.9997305274009705;1.5.1,9.669447899796069e-05;1.5.99,4.237575922161341e-05;2.6.1,2.6752884878078476e-05;1.7.1,2.3122991478885524e-05"
R09607,"4.2.3,0.9009364247322083;5.5.1,0.09548961371183395;1.1.3,0.0008755410090088844;1.1.99,0.0008083411375992;1.1.1,0.0006617482285946608"
R11566,"4.2.1,0.999862790107727;2.3.1,4.507310222834349e-05;3.1.2,2.8902712074341252e-05;3.1.1,1.845410770329181e-05;3.2.1,6.300653694779612e-06"
R07108,"3.3.2,0.9896948337554932;1.14.14,0.007625032216310501;1.14.13,0.00123885041102767;5.4.4,0.0005691300611943007;3.4.11,0.00016532778681721538"
R09064,"2.3.1,0.5150439739227295;2.5.1,0.42190244793891907;3.1.1,0.05380872264504433;5.3.3,0.0054185898043215275;2.3.2,0.001414744881913066"
R02603,"3.7.1,0.9989621639251709;5.2.1,0.0005245900829322636;3.1.1,0.0003140348708257079;4.2.1,6.0284746723482385e-05;1.14.19,4.284836904844269e-05"
R09607,"4.2.3,0.9009364247322083;5.5.1,0.09548961371183395;1.1.3,0.0008755410090088844;1.1.99,0.0008083411375992;1.1.1,0.0006617482285946608"
R11246,"2.7.1,0.5991008877754211;2.7.4,0.3426414728164673;6.2.1,0.020196635276079178;2.1.1,0.008959753438830376;2.7.2,0.007100958842784166"
R12841,"2.3.1,0.9342045783996582;6.2.1,0.05020412057638168;3.1.2,0.0067737954668700695;1.14.19,0.004769491031765938;1.2.7,0.001033768872730434"
R00376,"2.7.4,0.28653791546821594;2.1.1,0.25426509976387024;2.6.99,0.21723653376102448;1.1.98,0.11514130979776382;2.7.1,0.04604564979672432"
R06498,"2.4.1,0.9999995231628418;2.4.2,2.2253223619372875e-07;2.7.7,1.3560300260451186e-07;2.3.1,4.2378282216759544e-08;3.2.1,1.75066698915316e-08"
R10311,"1.1.1,0.9842958450317383;2.3.1,0.004212736617773771;1.8.1,0.0032025971449911594;1.14.13,0.002083714585751295;1.1.99,0.0010485125239938498"
R11584,"2.3.1,0.9996727705001831;4.1.1,0.00023419597710017115;1.3.1,3.306034341221675e-05;1.2.1,1.0582160030025989e-05;1.2.4,8.242291187343653e-06"
R11541,"3.1.1,0.983428418636322;3.2.1,0.00880503561347723;3.7.1,0.002303024986758828;2.3.1,0.0011458167573437095;3.1.4,0.0009023176389746368"
R01085,"3.7.1,0.9952623844146729;4.4.1,0.004271834623068571;1.1.1,0.00010584937990643084;5.2.1,6.131644477136433e-05;4.1.99,5.80245723540429e-05"
R05781,"3.5.1,0.6651644706726074;1.3.1,0.14590933918952942;3.5.2,0.12213292717933655;1.2.1,0.04435446858406067;1.5.1,0.01223787572234869"
R10392,"4.2.1,0.9994499087333679;5.4.4,0.0004636152880266309;1.14.14,1.585133941262029e-05;2.3.3,1.3542345186579041e-05;4.1.3,1.0694563570723403e-05"
R00009,"1.14.18,0.37858104705810547;1.11.1,0.28877580165863037;1.6.3,0.050177354365587234;1.2.3,0.04106741398572922;1.5.3,0.034613970667123795"
R02453,"2.3.1,0.9999268054962158;6.3.1,2.811383455991745e-05;3.1.2,1.2225814316479955e-05;2.8.3,1.0637562809279189e-05;3.5.1,9.169417353405152e-06"
R11250,"2.5.1,0.999869704246521;4.2.99,3.233307143091224e-05;2.3.1,1.375306510453811e-05;1.14.13,1.2789228094334248e-05;1.5.1,1.2439668353181332e-05"
R04091,"2.5.1,0.7149258852005005;3.5.1,0.25961339473724365;4.2.1,0.011785459704697132;4.3.1,0.009308593347668648;1.14.13,0.0017088602762669325"
R00373,"2.6.1,0.9745879769325256;4.1.3,0.025046812370419502;4.1.1,0.0003534750721883029;4.3.2,4.451241693459451e-06;2.1.3,1.8834914499166189e-06"
R04518,"1.1.1,0.9998481273651123;1.3.1,6.278275395743549e-05;1.-.-,3.454753095866181e-05;1.8.1,1.0001278496929444e-05;1.14.13,8.85786266735522e-06"
R04306,"4.99.1,0.45663514733314514;1.14.14,0.3887157142162323;4.3.1,0.14349476993083954;4.2.1,0.005666515324264765;1.14.13,0.0029207635670900345"
R00511,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R09572,"2.6.1,0.5552453398704529;1.14.11,0.43573102355003357;4.1.1,0.005839573219418526;2.3.1,0.0016843668418005109;5.1.1,0.000613771378993988"
R07359,"2.1.1,0.9821187257766724;2.5.1,0.009048166684806347;1.3.1,0.005542554892599583;4.2.1,0.001160376355983317;4.3.1,0.0007482485380023718"
R05441,"1.14.13,0.8227276802062988;1.14.14,0.16004522144794464;1.14.18,0.00991262961179018;1.14.-,0.0017789126140996814;1.14.99,0.0013693185755982995"
R00074,"1.10.3,0.9979623556137085;3.2.1,0.0011372598819434643;1.14.14,0.00030704858363606036;1.14.18,0.00023319738102145493;1.14.16,5.876085197087377e-05"
R01297,"1.14.13,0.8829095363616943;1.2.3,0.07065650820732117;1.2.1,0.025291932746767998;1.14.14,0.0036990938242524862;1.14.12,0.002657179953530431"
R05532,"2.1.1,1.0;2.3.1,4.265678088533065e-12;1.-.-,2.6262428646714464e-13;2.5.1,2.32453542092087e-13;3.3.1,7.538490231356887e-14"
R11845,"4.2.3,0.9999486207962036;4.3.2,4.317260754760355e-05;2.5.1,2.9685982099181274e-06;4.1.99,2.7110506835015258e-06;3.1.7,8.814790817268658e-07"
R00428,"3.5.4,0.999350368976593;4.3.2,0.00022888403327669948;2.1.2,0.000150869891513139;3.2.2,6.112384289735928e-05;2.4.2,4.903926674160175e-05"
R10765,"5.3.1,0.9997374415397644;1.1.2,0.0001800921163521707;1.1.3,6.048812065273523e-05;2.2.1,1.1241114407312125e-05;1.1.1,3.4779473025992047e-06"
R02742,"1.8.1,0.9061387181282043;1.6.4,0.08452276885509491;1.11.1,0.0023544018622487783;1.8.4,0.0019823273178189993;1.3.1,0.0009731981554068625"
R05672,"2.3.-,0.9982638955116272;2.3.1,0.0016124441754072905;6.2.1,3.262701284256764e-05;2.6.1,2.247193879156839e-05;2.3.3,1.3191081961849704e-05"
R12806,"2.7.4,0.7698882818222046;2.7.1,0.03573542833328247;2.3.1,0.029178129509091377;3.1.3,0.02378293126821518;2.7.7,0.01893908530473709"
R01569,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R10514,"2.3.1,0.9897655844688416;2.6.1,0.010156547650694847;2.7.2,1.2697349120571744e-05;3.1.1,1.2435442840796895e-05;6.2.1,1.133425575972069e-05"
R01956,"2.6.1,0.9999974966049194;5.1.1,1.4695140180265298e-06;2.7.8,5.652070171890955e-07;5.1.99,2.5305385520368873e-07;2.3.1,1.332107046891906e-07"
R10943,"6.3.2,0.7828407287597656;2.7.3,0.1995072364807129;6.3.-,0.005368007812649012;2.7.1,0.004419292788952589;2.1.1,0.0034842693712562323"
R05412,"1.13.11,0.8679941296577454;1.14.-,0.13060185313224792;1.14.12,0.00045849845628254116;1.14.14,0.0003115725121460855;1.14.13,0.0002277905005030334"
R13302,"2.5.1,0.9639918804168701;5.3.3,0.035863567143678665;2.3.2,3.455492696957663e-05;4.2.99,2.1844081857125275e-05;4.1.1,1.9615297787822783e-05"
R10039,"3.2.1,0.9999599456787109;2.4.1,9.529738235869445e-06;3.4.13,7.1615872911934275e-06;4.1.2,5.507752121047815e-06;2.3.1,2.745622168731643e-06"
R13224,"2.1.1,0.9636226892471313;3.8.1,0.02894681878387928;2.5.1,0.0037007182836532593;4.3.1,0.0028648003935813904;4.2.1,0.0004022610082756728"
R13199,"5.3.1,0.9992893934249878;2.2.1,0.0002516397216822952;1.1.2,0.00011496122897369787;1.1.1,6.310256867436692e-05;2.3.1,5.6089538702508435e-05"
R09649,"3.5.1,0.9996343851089478;4.2.1,0.00017950002802535892;3.1.1,7.133538747439161e-05;3.4.11,1.991063982131891e-05;3.5.3,1.3083169505989645e-05"
R12406,"1.1.1,0.9999539852142334;1.1.5,2.1364790882216766e-05;4.1.1,6.910817319294438e-06;1.14.13,3.70382736036845e-06;1.2.1,3.245627112846705e-06"
R07069,"2.5.1,0.9979507327079773;5.3.3,0.000931276474148035;4.4.1,0.0006688263383693993;2.3.1,0.0001590667961863801;4.2.99,5.919748218730092e-05"
R12702,"4.1.1,0.828502357006073;2.5.1,0.08071322739124298;4.2.1,0.03757086023688316;4.1.2,0.013304244726896286;1.13.12,0.008813156746327877"
R12982,"2.3.1,0.4245779812335968;2.8.3,0.3807649314403534;2.7.4,0.035919588059186935;3.2.1,0.02145387977361679;2.4.1,0.016591746360063553"
R06633,"1.1.3,0.9999704360961914;2.1.1,9.552084520692006e-06;1.8.3,6.074025804991834e-06;1.11.2,4.558125056064455e-06;1.4.3,2.2895048914506333e-06"
R00306,"3.2.1,0.9999024868011475;3.7.1,4.7033365262905136e-05;3.4.11,1.594054810993839e-05;3.5.1,5.56876966584241e-06;3.4.17,5.518539637705544e-06"
R05111,"2.7.7,0.8630102276802063;5.1.3,0.05245530232787132;2.4.2,0.04198169708251953;2.3.1,0.036159295588731766;2.7.4,0.001824928098358214"
R00998,"2.3.3,0.9998283386230469;4.2.1,8.399900980293751e-05;2.3.1,4.896409882348962e-05;3.1.2,1.9147299099131487e-05;4.1.3,6.197092716320185e-06"
R10633,"2.3.1,0.9981117248535156;3.1.1,0.0009712952887639403;3.2.2,0.0008020171080715954;3.5.1,0.00010644213762134314;6.3.4,4.0010986595007125e-06"
R10264,"2.4.1,0.9999196529388428;2.7.7,6.68476423015818e-05;2.7.1,4.9682466851663776e-06;3.1.1,2.8401425424817717e-06;1.1.1,1.7149067161881248e-06"
R11866,"5.4.4,0.9825776219367981;4.2.1,0.005169106647372246;1.1.1,0.003319019917398691;1.14.13,0.0017377787735313177;5.4.99,0.0010194199858233333"
R06543,"1.3.1,0.9999889135360718;1.1.1,3.2015968827181496e-06;1.2.1,1.4105585250945296e-06;1.6.5,1.1178630074937246e-06;1.6.2,9.185798717226135e-07"
R03574,"2.4.1,0.9999890327453613;3.2.1,7.875782102928497e-06;2.7.7,1.6750350368965883e-06;2.4.2,5.144179340277333e-07;5.1.3,2.776693861505919e-07"
R02330,"3.6.1,0.8364036083221436;3.1.3,0.05007956176996231;3.6.4,0.03177787736058235;3.1.4,0.025153227150440216;2.7.3,0.015497368760406971"
R01829,"4.1.2,0.9790605902671814;5.3.1,0.018349438905715942;2.2.1,0.002163361757993698;1.1.99,9.48154556681402e-05;2.7.6,7.132210157578811e-05"
R06862,"2.2.1,0.941088855266571;1.1.99,0.03627966344356537;1.1.2,0.01036237832158804;1.1.5,0.006581391207873821;1.2.4,0.004018027801066637"
R05564,"1.14.15,0.9657701253890991;1.14.13,0.014373007230460644;1.14.99,0.008457105606794357;1.13.12,0.0023142676800489426;1.14.14,0.002276073209941387"
R01053,"2.4.2,0.9459642171859741;2.7.1,0.027943814173340797;3.5.1,0.010345238260924816;2.7.3,0.005246712826192379;6.3.1,0.004668259061872959"
R11595,"2.1.1,1.0;2.3.1,1.572326446819261e-08;2.5.1,6.1939990914083864e-09;4.2.1,1.5059421765162284e-10;1.3.98,9.112614829387411e-11"
R12090,"1.3.1,0.6350734829902649;1.1.1,0.3070639669895172;1.2.1,0.05276517570018768;1.14.13,0.0013519314816221595;1.6.5,0.0013412623666226864"
R08936,"2.1.3,0.9499865174293518;4.3.99,0.02333858422935009;6.3.4,0.021346237510442734;6.4.1,0.0010764981852844357;3.5.2,0.0009625458624213934"
R04486,"3.5.1,0.9955755472183228;3.4.11,0.0029673664830625057;3.4.13,0.0008385329274460673;3.1.1,0.0003662339295260608;4.2.1,4.7436195018235594e-05"
R09623,"4.2.3,0.9965671300888062;3.1.7,0.0023676773998886347;5.5.1,0.0004922896041534841;2.5.1,0.0003121796762570739;5.3.3,0.00013571509043686092"
R07297,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R09904,"5.3.2,0.9884849190711975;1.1.1,0.004754180088639259;5.3.3,0.002120167948305607;5.-.-,0.0006533787818625569;5.3.99,0.0006104816566221416"
R02858,"2.1.1,0.9999998807907104;2.3.1,1.489167686941073e-07;2.5.1,3.721052266314473e-08;6.3.2,1.276635330782483e-08;2.6.1,7.819962455357654e-09"
R12671,"3.5.1,0.5702543258666992;3.1.1,0.16395406424999237;3.2.1,0.11658632010221481;3.1.2,0.04481891170144081;3.4.11,0.029823118820786476"
R07597,"3.3.2,0.9999681711196899;3.4.11,9.91703291219892e-06;1.14.13,8.690338290762156e-06;3.7.1,7.198760158644291e-06;1.14.-,9.026526299749094e-07"
R10578,"1.13.11,0.9985955357551575;1.14.12,0.0008095310186035931;1.14.18,0.00035572604974731803;1.14.99,9.560495527694002e-05;3.3.2,3.2351916161132976e-05"
R09660,"3.5.4,0.9997425675392151;3.5.99,0.00010668826871551573;3.3.1,2.5677174562588334e-05;3.4.17,2.2250964320846833e-05;1.11.1,1.3485072486218996e-05"
R10751,"2.8.2,0.9999756813049316;2.7.8,8.62210708874045e-06;1.8.4,4.3288700908306055e-06;2.7.7,3.573159347070032e-06;2.3.1,3.369662408658769e-06"
R10824,"2.1.1,1.0;1.-.-,1.499253721171101e-09;2.3.1,3.5298906159164645e-11;2.5.1,1.2776030233752067e-11;3.3.1,7.615686727080462e-12"
R13356,"2.1.1,0.9999996423721313;2.3.1,4.1566332242837234e-07;6.3.2,1.6546586323329393e-08;3.1.1,1.0773560710219954e-08;5.3.3,4.6778465545571635e-09"
R08113,"1.3.1,0.996637225151062;1.14.12,0.0033582833129912615;1.1.1,2.0493982901825802e-06;1.-.-,1.8793372191794333e-06;1.6.2,1.388822283843183e-07"
R05413,"1.13.11,0.9999916553497314;5.3.2,2.6276784410583787e-06;1.14.99,1.5664793409086997e-06;1.14.12,1.0041734412880032e-06;1.14.-,8.188840183720458e-07"
R05037,"1.14.20,0.9424915909767151;1.14.11,0.04815330356359482;2.6.1,0.007243109401315451;4.2.1,0.0007995404885150492;1.13.12,0.00018289814761374146"
R09359,"2.3.2,0.667717456817627;2.5.1,0.12509772181510925;4.1.2,0.0955299660563469;1.5.99,0.022471316158771515;2.3.1,0.015288541093468666"
R00104,"2.7.1,0.8932654857635498;2.7.4,0.10148745030164719;2.1.1,0.003230377333238721;2.7.2,0.0010571014136075974;6.2.1,0.0002663539198692888"
R12077,"1.14.13,0.7734999656677246;1.14.14,0.10571548342704773;4.2.1,0.06940531730651855;1.14.-,0.014184423722326756;4.1.2,0.008432887494564056"
R13125,"2.4.1,0.8412156701087952;2.4.2,0.09342099726200104;2.3.1,0.06385490298271179;2.7.1,0.0005601379671134055;4.2.2,0.00045666430378332734"
R07649,"4.2.3,0.9977290034294128;5.5.1,0.0013909632107242942;5.3.3,0.0005990668432787061;3.1.7,0.00023862411035224795;4.3.2,2.1893421944696456e-05"
R10290,"2.4.2,0.9999837875366211;2.3.1,1.4307441233540885e-05;2.7.6,9.913107987813419e-07;5.1.3,5.289082878334739e-07;2.4.-,2.4869800085980387e-07"
R11825,"5.5.1,0.6192469596862793;4.2.3,0.3805948793888092;5.3.3,8.521891868440434e-05;4.3.2,5.580085053225048e-05;2.5.1,7.079379429342225e-06"
R01262,"2.3.2,0.8258950114250183;3.4.19,0.11250583827495575;4.3.2,0.043789204210042953;3.4.22,0.011694940738379955;3.4.21,0.0018340816022828221"
R04171,"2.6.1,0.9999974966049194;5.1.1,1.4695140180265298e-06;2.7.8,5.652070171890955e-07;5.1.99,2.5305385520368873e-07;2.3.1,1.332107046891906e-07"
R00899,"3.4.11,0.9891265034675598;3.4.13,0.008389133028686047;3.4.19,0.0014427907299250364;3.4.21,0.00042699158075265586;3.4.18,0.00010167137224925682"
R08628,"4.2.1,0.5505096912384033;5.4.4,0.43912985920906067;1.1.1,0.009576789103448391;1.-.-,0.0002929953334387392;4.1.3,9.94475994957611e-05"
R02018,"1.17.4,0.9987269043922424;1.8.4,0.0004134206392336637;1.11.1,0.00035250996006652713;1.8.1,0.00019267234893050045;5.3.4,9.423976007383317e-05"
R09746,"1.3.8,0.8129104375839233;1.14.14,0.13707944750785828;1.3.5,0.01155055221170187;1.3.99,0.006879154592752457;1.14.99,0.004416285548359156"
R09448,"1.1.-,0.4586796164512634;1.1.2,0.3032236397266388;1.1.1,0.07058223336935043;1.14.15,0.04629566892981529;1.1.5,0.03629465028643608"
R10751,"2.8.2,0.9999756813049316;2.7.8,8.62210708874045e-06;1.8.4,4.3288700908306055e-06;2.7.7,3.573159347070032e-06;2.3.1,3.369662408658769e-06"
R00203,"1.2.1,0.9806298613548279;1.1.1,0.018072959035634995;1.4.1,0.0005024389829486609;1.2.3,0.00017285744252149016;1.2.4,0.00014929662575013936"
R00997,"3.5.99,0.46012136340141296;4.4.1,0.21523417532444;4.3.1,0.21029458940029144;3.5.1,0.06267525255680084;1.4.1,0.01938611827790737"
R12625,"3.5.1,0.9999923706054688;3.5.3,2.444642177579226e-06;1.14.99,2.1566527266259072e-06;3.4.19,1.4900592759659048e-06;3.1.1,7.691073165005946e-07"
R10238,"2.3.1,0.9997871518135071;3.1.2,7.471994467778131e-05;4.2.1,4.459710908122361e-05;3.1.1,3.623869633884169e-05;1.2.1,2.2506228560814634e-05"
R13277,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R07171,"1.6.3,0.7714453339576721;1.11.1,0.10587368160486221;1.6.99,0.08430808782577515;1.14.12,0.009566043503582478;1.3.1,0.006506816949695349"
R05834,"2.1.1,1.0;2.3.1,4.738548789462449e-11;2.5.1,3.397530303969609e-12;6.3.2,1.0757547196788009e-12;3.3.1,2.068474650460464e-13"
R03645,"1.6.5,0.6146880388259888;1.97.1,0.1730392873287201;1.1.4,0.0946517363190651;1.14.12,0.03807668387889862;1.5.5,0.011354542337357998"
R03582,"1.1.1,0.9998438358306885;1.3.1,7.066388207022101e-05;1.-.-,1.7671178284217604e-05;4.2.1,1.2951697499374859e-05;1.2.1,1.0959075552818831e-05"
R03182,"6.3.3,0.9996911287307739;2.7.3,0.0002921510022133589;2.7.1,1.1679921954055317e-05;4.1.1,2.0066606793989195e-06;1.3.3,5.458574605654576e-07"
R07960,"1.13.12,0.9882142543792725;1.14.14,0.00787752028554678;1.14.13,0.00326342461630702;4.1.99,0.0001679459383012727;1.7.3,0.00010273155203321949"
R08750,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R12521,"5.5.1,0.9999207258224487;1.3.1,4.9235350161325186e-05;2.3.1,8.187075763999019e-06;1.13.11,7.312983598239953e-06;1.3.-,6.9534189606201835e-06"
R08365,"5.3.1,0.9304776787757874;3.5.99,0.053903017193078995;2.6.1,0.01381439808756113;4.3.1,0.0005923289572820067;3.2.1,0.00023390553542412817"
R01684,"2.6.1,0.9999997615814209;1.4.1,2.697953789265739e-07;4.1.1,1.563325113806968e-08;4.1.2,2.8257221007521593e-09;4.1.3,2.5221571497979767e-09"
R03115,"3.2.1,0.979421854019165;5.3.1,0.006649529095739126;3.7.1,0.00568430358543992;3.6.1,0.005011244677007198;3.1.3,0.0020472616888582706"
R02852,"2.6.1,0.9738790988922119;2.3.1,0.017807601019740105;5.1.1,0.0021472887601703405;2.4.2,0.0008811833686195314;2.8.1,0.0006345530273392797"
R06067,"2.5.1,0.6174846291542053;1.1.3,0.37937167286872864;2.6.1,0.0015066965715959668;1.1.1,0.0005338634364306927;1.1.2,0.00026450472068972886"
R06824,"2.1.1,1.0;1.-.-,8.335893607325229e-12;2.5.1,1.5743398338458059e-12;2.3.1,1.3759322457437828e-12;6.3.2,9.639049541182443e-13"
R12361,"1.1.1,0.9998652935028076;1.3.1,4.758723662234843e-05;5.3.3,2.7303893148200586e-05;2.3.1,1.3123834833095316e-05;4.1.1,1.31000751935062e-05"
R07920,"2.1.1,0.9999990463256836;2.3.1,5.596410233010829e-07;2.5.1,1.7985247779961355e-07;2.6.1,1.232016018093418e-07;4.3.3,4.283015542227986e-08"
R02576,"2.3.1,0.9999758005142212;6.2.1,9.639053132559638e-06;6.3.2,6.220413979463046e-06;1.8.4,2.4843541268637637e-06;6.3.-,7.250333737829351e-07"
R04188,"2.6.1,0.9998692274093628;1.4.1,0.00010103237582370639;4.1.3,7.943393939058296e-06;1.4.11,7.883855687396135e-06;4.1.1,3.5534305879991734e-06"
R03775,"5.5.1,0.9976327419281006;5.3.3,0.00128088123165071;4.4.1,0.0008349618874490261;5.-.-,3.648497659014538e-05;4.2.3,3.149565964122303e-05"
R02161,"1.10.2,0.9975276589393616;1.1.2,0.001161392661742866;1.1.5,0.0005724280490539968;1.6.5,0.0003509107627905905;1.7.3,8.892116602510214e-05"
R04657,"2.7.1,0.9662572741508484;2.7.4,0.029139982536435127;2.1.1,0.0015934177208691835;6.2.1,0.0014065757859498262;2.7.2,0.0006271810852922499"
R04397,"3.5.1,0.9546740055084229;1.17.99,0.02100183628499508;4.1.1,0.013540162704885006;1.2.1,0.0021618090104311705;1.2.2,0.0018392180791124701"
R12981,"3.1.1,0.8116588592529297;2.3.1,0.10879658907651901;2.8.3,0.06969505548477173;3.5.1,0.00469971401616931;2.4.1,0.0005092753563076258"
R02017,"1.17.4,0.9987269043922424;1.8.4,0.0004134206392336637;1.11.1,0.00035250996006652713;1.8.1,0.00019267234893050045;5.3.4,9.423976007383317e-05"
R02859,"2.1.1,1.0;2.3.1,1.1828118345880156e-11;2.5.1,1.3237479688787968e-13;6.3.2,1.2417709005160815e-13;3.3.1,1.2330901002968048e-13"
R00673,"4.1.99,0.9289309978485107;4.4.1,0.049406979233026505;4.2.1,0.01974770985543728;4.3.3,0.0009258446516469121;4.3.1,0.0006707267020829022"
R12754,"2.3.1,0.2772391736507416;4.1.1,0.2759581208229065;1.12.1,0.1729166954755783;1.14.99,0.08919576555490494;1.17.1,0.042899977415800095"
R03962,"1.3.1,0.9999794960021973;4.2.1,1.1230537893425208e-05;1.3.99,2.2151809844217496e-06;1.14.14,1.791379759197298e-06;1.14.13,1.5958592030074215e-06"
R04024,"2.3.1,0.9999911785125732;2.4.1,3.4487566153984517e-06;6.2.1,2.3164325284597e-06;3.1.2,1.442533857698436e-06;3.1.1,1.025678102450911e-06"
R04653,"2.7.7,0.7416996359825134;2.4.1,0.24882380664348602;6.2.1,0.0022852818947285414;2.7.4,0.0012783365091308951;2.7.1,0.000834431906696409"
R11528,"2.8.1,0.9772770404815674;1.13.11,0.022182464599609375;4.4.1,0.00037780089769512415;1.8.5,7.796556019457057e-05;5.3.3,5.5848213378340006e-05"
R13366,"3.5.1,0.9716793894767761;3.4.-,0.02052021399140358;3.5.3,0.0013270608615130186;3.1.4,0.0011177599662914872;4.2.1,0.0010829450329765677"
R00041,"1.1.3,0.9991338849067688;4.1.99,0.00038740067975595593;3.1.7,9.743873670231551e-05;1.14.15,8.947434980655089e-05;1.21.3,6.429040513467044e-05"
R04880,"1.1.1,0.9999715089797974;1.2.1,2.008614865189884e-05;1.8.1,2.8201816348882858e-06;1.13.99,1.2483011460062698e-06;1.-.-,1.1038555385312065e-06"
R05249,"1.14.13,0.9598839282989502;1.14.14,0.026722194626927376;1.14.12,0.00633472902700305;1.14.18,0.0017600279534235597;1.14.15,0.0011185050243511796"
R09539,"4.1.1,0.996614396572113;2.7.11,0.0005667805671691895;2.7.1,0.00030073741800151765;1.2.3,0.00028880126774311066;1.2.4,0.0002579617721494287"
R02024,"1.17.4,0.9987269043922424;1.8.4,0.0004134206392336637;1.11.1,0.00035250996006652713;1.8.1,0.00019267234893050045;5.3.4,9.423976007383317e-05"
R09653,"1.3.5,0.9984152317047119;5.5.1,0.0005619613220915198;1.3.8,0.0003546186489984393;1.13.11,0.0002582835149951279;1.1.5,0.00010441469930810854"
R04206,"4.2.1,0.9998898506164551;5.4.4,1.5155247638176661e-05;3.1.1,1.0475331691850442e-05;3.1.2,1.0292882507201284e-05;3.1.4,9.967113328457344e-06"
