Reaction name,SIMMER
MNXR144326,3.4.11
MNXR172672,1.1.1
MNXR119260,3.1.2|2.3.1
MNXR186179,1.14.19
MNXR173367,2.7.1
MNXR132129,2.7.4
MNXR192581,1.3.3|1.3.2|1.1.3
MNXR112411,1.4.3|2.6.1
MNXR115206,2.7.11|2.7.1
MNXR121867,3.4.11
MNXR189106,2.3.1
MNXR115533,3.4.22
MNXR150205,1.14.14
MNXR117096,3.4.11|3.4.21
MNXR149911,1.4.1|1.1.1
MNXR174602,2.7.3|6.3.4|2.7.11|3.6.3
MNXR190167,2.4.2
MNXR107924,2.3.1
MNXR111696,6.2.1
MNXR164483,2.3.1
MNXR133872,2.7.4|2.7.7
MNXR141644,4.1.3|4.1.1
MNXR148038,2.7.4
MNXR151237,1.1.1|1|1.1.1
MNXR109800,6.2.1
MNXR148274,2.1.1
MNXR115228,1.4.1|1.1.1
MNXR130379,1.1.1
MNXR146698,2.4.1
MNXR101478,2.6.1
MNXR170507,1.14.14
MNXR135176,1.3.99
MNXR175184,2.7.3|6.3.4|2.7.11|3.6.3
MNXR173604,2.6.1
MNXR111784,3.1.1
MNXR121175,1.8.5|1.1.5
MNXR121958,No Significant EC
MNXR165419,1.1.1
MNXR188609,6.2.1|2.3.1
MNXR135478,3.2.1
MNXR193038,2.3.1
MNXR189499,1.3.99
MNXR145993,2.7.8|2.3.1
MNXR172693,1.8.1|1.1.1
MNXR195268,2.8.2
MNXR182047,1.6.5
MNXR170257,2.1.1|2|2.1.1
MNXR119588,1.2.1
MNXR148716,2.3.1
MNXR123103,1.8.1
MNXR132544,1.15.1
MNXR194957,1.14.14
MNXR107058,2.4.99
MNXR166735,3.1.1
MNXR193508,2.4.1
MNXR150009,1.8.4
MNXR169904,3.1.1
MNXR151624,1.14.14
MNXR130857,1.14.12
MNXR100566,2.5.1
MNXR147236,2.3.1
MNXR100482,4.2.1
MNXR195231,No Significant EC
MNXR193406,6.2.1
MNXR180198,2.7.8
MNXR151778,1.15.1
MNXR130254,No Significant EC
MNXR146841,1.14.-
MNXR172619,2.3.1
MNXR107574,3.5.1
MNXR189263,2.7.11|2.7.1
MNXR110276,5.4.99
MNXR168020,No Significant EC
MNXR117381,1.1.1
MNXR176223,1.14.13
MNXR131486,1.3.1|1.1.1
MNXR174179,2.7.1|3.1.3
MNXR168967,2.1.1
MNXR171054,4.2.3
MNXR110476,2.1.1|2|2.1.1
MNXR192384,3.2.1
MNXR163694,5.5.1
MNXR181668,1.2.1
MNXR174522,2.7.3|6.3.4|2.7.11|3.6.3
MNXR175671,1.17.3|5.4.4
MNXR122725,2.1.1
MNXR189539,1.3.1|1.14.13
MNXR152389,2.4.1
MNXR164423,2.4.1
MNXR110293,2.4.1
MNXR136350,6.2.1|2.3.1
MNXR131992,1.1.99
MNXR134913,1.8.1
MNXR132613,No Significant EC
MNXR172799,1.14.-
MNXR130274,1.2.1|1.1.1
MNXR120394,1.14.99|1.7.3
MNXR172237,2.1.1|2|2.1.1
MNXR151183,2.3.1
MNXR111703,2.7.1
MNXR122246,1.14.99|1.14.19
MNXR111385,1.3.-
MNXR144598,1.1.5
MNXR106710,1.14.12|1.14.13
MNXR117633,1.1.1
MNXR189319,2.3.1
MNXR185554,4.2.2
MNXR146980,2.1.1
MNXR189253,2.1.2
MNXR193926,1.14.11
MNXR175813,6.1.1
MNXR113135,2.3.1|3.2.1
MNXR95718,1.1.1
MNXR143558,3.3.2
MNXR107072,No Significant EC
MNXR172928,1.10.3
MNXR106413,2.7.4
MNXR114148,2.4.1
MNXR191416,1.5.1
MNXR119074,1.14.13
MNXR145495,No Significant EC
MNXR131171,3.1.4|3|3.2.1
MNXR112105,1.1.1
MNXR191574,1.1.1
MNXR110884,1.1.1
MNXR120553,1.14.20|1.14.11
MNXR115504,3.4.11
MNXR175047,2.7.3|6.3.4|2.7.11|3.6.3
MNXR107378,1.14.99
MNXR130681,1.1.-
MNXR189490,2.3.1
MNXR149743,5.4.4|1.13.11
MNXR120600,2.3.1
MNXR195184,1.5.99
MNXR129745,1.8.1|1.1.1
MNXR114059,1.14.11
MNXR115029,1.14.13
MNXR133433,4.1.3
MNXR192740,1.3.1
MNXR191882,1.14.13
MNXR121236,1.-.-|1.1.1
MNXR163626,4.4.1|2.5.1
MNXR174697,2.7.3|6.3.4|2.7.11|3.6.3
MNXR138148,2.8.1
MNXR137689,1.4.5
MNXR165477,1.3.1
MNXR172569,1.1.1
MNXR170301,4.2.3
MNXR113167,2.5.1|2|2.5.1
MNXR113763,1.1.1
MNXR131062,3.4.24|3.4.13|3.4.11
MNXR121073,1.14.15
MNXR193589,1.5.1
MNXR152644,1.14.12
MNXR119365,1.1.99
MNXR176487,1.14.13|1|1.14.13|1.1.1
MNXR182134,1.1.5
MNXR187603,1.7.1|1.3.1
MNXR168392,2.1.1|2|2.1.1
MNXR189058,1.1.1
MNXR151818,1.1.99
MNXR186081,3.2.2
MNXR177286,No Significant EC
MNXR135279,2.4.1
MNXR144392,1.1.1|1.6.5
MNXR106897,2.6.1
MNXR133507,1.1.1
MNXR153232,2.1.1
MNXR148265,1.15.1
MNXR133009,1.13.12
MNXR131379,2.3.1
MNXR175085,2.7.3|6.3.4|2.7.11|3.6.3
MNXR164035,No Significant EC
MNXR172711,1.8.1|1.1.1
MNXR191811,1.13.11
MNXR168549,2.7.4
MNXR130941,3.5.4
MNXR102253,1.14.99|1.14.11|1.14.13
MNXR147340,3.2.1
MNXR140613,2.7.8
MNXR195010,2.3.1
MNXR151411,1.13.11
MNXR113682,1.3.1
MNXR139684,No Significant EC
MNXR134546,4.5.1|4
MNXR119379,1.1.99
MNXR131855,2.4.1
MNXR122114,1.14.99|1.14.13
MNXR109829,3.1.3
MNXR131535,6.2.1
MNXR180083,2.8.1
MNXR114299,1.1.1
MNXR144570,2.8.1
MNXR189497,1.3.99|1.3.8
MNXR119894,2.3.1
MNXR131240,2.1.1
MNXR105303,1.14.13
MNXR102257,1.1.1|1|1.14.13
MNXR183537,2.4.99|2.4.1
MNXR107167,1.1.1
MNXR170997,1.14.-
MNXR165995,5.1.3
MNXR174236,4.1.2
MNXR101715,1.1.5
MNXR164842,No Significant EC
MNXR120245,2.3.1
MNXR152403,2.4.1
MNXR117570,2.1.1
MNXR191520,5.1.3
MNXR129473,1.1.1
MNXR151521,1.14.11
MNXR122638,2.4.2|2.4.1
MNXR120525,1.13.11
MNXR148499,4.1.1
MNXR163458,1.14.14|2.5.1
MNXR191469,2.4.2|2.4.1
MNXR194285,2.7.1
MNXR120511,1.14.13
MNXR132866,No Significant EC
MNXR148006,1.21.1|1.1.1
MNXR144069,2.3.1|2|2.3.1
MNXR110738,2.5.1
MNXR164308,2.4.1
MNXR107136,1.1.1|1|1.14.12
MNXR134003,3.4.11
MNXR108408,2.7.1
MNXR180293,2.4.1
MNXR175153,2.7.3|6.3.4|2.7.11|3.6.3
MNXR192453,4.2.3
MNXR191124,4.1.3
MNXR164120,1.1.99|1.14.14
MNXR152197,3.4.16|3.4.17
MNXR190029,2.5.1
MNXR145678,No Significant EC
MNXR195413,5.5.1
MNXR192707,2.7.7
MNXR123061,5.5.1
MNXR130888,1.1.3
MNXR135174,1.1.2
MNXR180520,2.7.7
MNXR173568,No Significant EC
MNXR149850,2.6.1
MNXR169242,2.7.4
MNXR166682,3.2.1
MNXR182578,1.6.5
MNXR163603,1.5.99
MNXR133195,1.14.12
MNXR151353,4.2.1
MNXR103400,No Significant EC
MNXR184327,1.1.99|1.14.14
MNXR150282,2.1.1
MNXR148160,3.2.2
MNXR101420,2.1.1
MNXR117277,2.4.-|2.4.1
MNXR171204,1.1.1
MNXR151772,1.1.1
MNXR167116,1.14.19|1.21.99
MNXR148726,1.8.1
MNXR107340,1.5.5|1.1.5
MNXR152905,2.4.1|3.2.1
MNXR102035,3.1.3
MNXR186139,1.3.1
MNXR122135,1.2.3
MNXR122040,2.7.1
MNXR181779,1.2.1
MNXR173130,5.3.1
MNXR191748,1.10.3
MNXR165743,3.5.1
MNXR178187,2.7.8
MNXR117029,2.1.1
MNXR111055,1.1.3|1.1.99
MNXR132221,1.3.1|1.1.1
MNXR130914,3.4.21
MNXR193922,5.1.3
MNXR147130,2.7.8
MNXR134557,1.1.1
MNXR129781,1.7.1|1
MNXR184126,No Significant EC
MNXR175530,2.3.1
MNXR115748,5.1.3
MNXR134117,1.1.1
MNXR173616,2.4.1
MNXR152486,1.3.1|1|1.1.1
MNXR191371,2.5.1
MNXR165162,2.3.1
MNXR163713,No Significant EC
MNXR166381,1.14.15|1.14.-
MNXR176115,1.-.-|1.14.15
MNXR122526,4.1.1|4|1.13.11
MNXR148124,1.13.11
MNXR173395,1.17.99
MNXR163684,1.14.19
MNXR113998,6.3.2
MNXR114826,2.1.1|2|2.1.1
MNXR149871,1.8.1|1.1.1
MNXR122031,2.5.1|2|2.5.1
MNXR131881,2.7.4|2.7.11|3.6.3
MNXR131288,3.4.11|3
MNXR135177,1.3.99
MNXR181816,1.1.1
MNXR188237,4.1.2|4|2.3.1
MNXR108047,3.5.3
MNXR116461,4.1.1
MNXR189448,3.4.14
MNXR172715,1.8.1|1.1.1
MNXR108964,1.3.1|1.1.1
MNXR117040,2.1.1
MNXR146117,2.5.1|2|2.5.1
MNXR120237,1.1.1
MNXR150123,2.1.1
MNXR146856,1.8.1
MNXR165322,2.4.2|2.4.1
MNXR124089,1.8.3
MNXR149340,3.1.1|3.1.3
MNXR111503,2.1.1
MNXR144419,4.3.1
MNXR116844,2.5.1|2.7.1|3.1.3
MNXR176827,2.3.1|6.2.1
MNXR178360,1.1.5
MNXR118275,2.3.1
MNXR166395,2.7.1
MNXR192382,3.2.2
MNXR165888,2.1.1
MNXR120276,2.3.1
MNXR108108,1.14.-
MNXR149537,1.14.14|1.1.99
MNXR170337,5.4.99
MNXR133164,1.14.12
MNXR113997,2.7.1|6.3.2
MNXR106629,4.1.1
MNXR130951,1.1.1
MNXR172117,1.17.3
MNXR182074,1.6.5|1.1.1
MNXR135844,4.1.2
MNXR188800,1.1.1
MNXR163454,5.3.1
MNXR148821,3.2.1|2.4.1
MNXR150608,2.4.1
MNXR169922,6.3.4
MNXR116785,1.2.1
MNXR136205,2.3.1|6.2.1
MNXR190147,1.3.8
MNXR130542,2.4.1
MNXR104531,1.3.1|1.1.1
MNXR195140,1.1.3
MNXR174989,2.7.3|6.3.4|2.7.11|3.6.3
MNXR153099,3.2.1
MNXR181804,1.2.1
MNXR181815,1.1.1
MNXR131129,3.6.1|2.4.1
MNXR177049,1.14.20
MNXR131869,3.4.21
MNXR149767,4.1.1
MNXR121817,2.4.1
MNXR192575,No Significant EC
MNXR129842,3.4.11|3.4.13
MNXR136239,3.1.3
MNXR139522,4.1.1
MNXR172093,No Significant EC
MNXR122653,2.5.1
MNXR131251,3.2.1
MNXR163494,2.1.1
MNXR146326,1.17.4
MNXR122314,3.1.1
MNXR181336,1.1.1
MNXR181533,1.1.1
MNXR112222,5.1.3
MNXR146315,1.17.4
MNXR173165,3.2.1
MNXR186732,1.2.7
MNXR130295,1.1.1
MNXR171426,3.5.1
MNXR149778,4.99.1
MNXR130723,2.4.1
MNXR115104,2.4.1
MNXR148573,3.4.14
MNXR123878,4.4.1|2.8.1
MNXR150657,2.5.1|4.2.3
MNXR188121,2.7.4
MNXR130660,3.4|3.4
MNXR121046,1.14.99|1.7.3
MNXR163400,6.3.3
MNXR146316,1.17.4
MNXR109577,1.14.12
MNXR194055,3.1.1
MNXR173121,3.2.1
MNXR183975,1.14.18
MNXR184372,2.1.1
MNXR166030,2.7.4|2.7.11|3.6.3
MNXR168866,1.14.19
MNXR120067,5.3.3
MNXR177488,1.3.1|1.1.1
MNXR116003,1.1.1
MNXR133050,1.8.1|1.1.1
MNXR151929,1.8.3|4.4.1
MNXR189543,1.1.1
MNXR112666,5.5.1
MNXR192794,No Significant EC
MNXR131955,1.14.99
MNXR123842,2.8.2
MNXR192215,1.14.13
MNXR116442,4.2.1
MNXR184659,3.4.11
MNXR120766,1.1.1
MNXR184983,1.14.13|1.1.1
MNXR114167,1.1.3
MNXR135463,3.2.1
MNXR185277,1.3.5
MNXR167070,1.14.19
MNXR113004,6.3.2|2.7.1
MNXR163534,5.4.4
MNXR132251,3.4.21
MNXR174963,2.7.3|6.3.4|2.7.11|3.6.3
MNXR149205,4.1.1
MNXR149770,1.2.7
MNXR179762,1.1.1
MNXR138943,1.1.1
MNXR147301,2.7.1
MNXR150812,No Significant EC
MNXR182454,1.14.13|1.1.1
MNXR129777,3.8.1
MNXR119705,2.7.6
MNXR146964,3.5.1
MNXR133266,3.1.3
MNXR147290,1.1.1|1.3.1
MNXR115827,2.7.4|2.7.11|3.6.3
MNXR182109,4.1.1
MNXR146019,3.1.3
MNXR190307,1.15.1|1.13.11
MNXR132531,2.4.1
MNXR184444,3.2.1
MNXR120663,4.2.1
MNXR192121,1.14.11|1|1.14.11
MNXR133446,2.6.1
MNXR133976,2.3.1
MNXR181925,1.2.1
MNXR123063,1.14.13
MNXR193368,1.14.13
MNXR173933,4.3.99
MNXR183816,2.3.1
MNXR149441,4.2.1
MNXR120175,1.14.19
MNXR114511,4.1.2
MNXR149833,2.3.1
MNXR146658,2.7.7|2.4.1
MNXR183860,3.5.1
MNXR120038,1.14.19
MNXR177433,No Significant EC
MNXR149698,5.5.1
MNXR147095,5.3.1
MNXR174364,3.2.1
MNXR134116,2.4.1
MNXR113653,2.4.1
MNXR193019,No Significant EC
MNXR117789,2.1.1
MNXR131920,1.8.99|2.8.2
MNXR148000,5.1.3
MNXR164046,5.1.3
MNXR130715,1.1.1
MNXR120520,4.2.1
MNXR193125,3.2.1
MNXR170978,4.1.1
MNXR121665,2.4.1|2|2.4.1
MNXR188579,2.3.1
MNXR182513,2.7.3|6.3.4|2.7.11|3.6.3
MNXR143939,2.3.1
MNXR144387,2.4.1
MNXR188337,2.3.3|2.3.1
MNXR173737,1.11.1|1.17.4
MNXR190200,2.7.7|2.7.8
MNXR151296,1.14.13
MNXR192525,1.14.20
MNXR193110,5.1.3
MNXR119202,1.1.1
MNXR180223,4.1.1
MNXR187325,1.14.14|1.13.12
MNXR129753,2.7.3
MNXR163482,1.1.99
MNXR144099,2.4.1|2|2.4.1
MNXR181476,1.1.1|1.2.1
MNXR120430,4.2.1
MNXR173586,2.1.1
MNXR193491,2.4.1
MNXR191426,2.7.3|6.3.4|2.7.11|3.6.3
MNXR151045,1.14.15
MNXR133482,1.1.1
MNXR167263,2.8.4|2.1.1
MNXR129584,No Significant EC
MNXR163571,1.14.14
MNXR176987,4.2.1|4|4.2.1
MNXR121459,1.21.98
MNXR182108,4.1.1
MNXR109554,1.13.11
MNXR149498,1.14.11
MNXR192678,1.1.1
MNXR107071,3.5.1
MNXR135238,1.1.3
MNXR144065,1.14.13
MNXR195244,3.6.1
MNXR171913,2.5.1|2|2.5.1|4.2.3
MNXR151401,4.1.2
MNXR108059,5.1.3
MNXR146915,1.3.3|1.3.8
MNXR119333,1.1.99
MNXR172476,1.8.1|1.1.1
MNXR146186,2.4.1
MNXR121865,2.3.2
MNXR165289,1.3.1|1.1.1
MNXR147958,1.14.13
MNXR174382,5.1.3
MNXR104316,4.4.1
MNXR129536,3.5.1
MNXR169698,2.4.1
MNXR114741,1.14.14
MNXR135078,1.8.7
MNXR118813,3.2.1
MNXR118050,1.8.1
MNXR182077,1.6.5
MNXR166238,2.4.2|2.4.1
MNXR131872,3.4.23
MNXR181064,1.1.1
MNXR97842,1.1.1|1|1.1.1
MNXR181035,1.3.3
MNXR168238,2.1.1|2|2.1.1
MNXR107466,1.8.1
MNXR170252,1.14.11
MNXR152444,2.4.1
MNXR150929,1.17.7
MNXR107395,2.6.1
MNXR139935,2.3.1
MNXR186885,1.1.1
MNXR168600,No Significant EC
MNXR130569,1.1.1
MNXR176627,1.14.13|1.3.1
MNXR114778,1.14.19
MNXR176103,2.1.1
MNXR169740,2.5.1
MNXR147788,3.1.1
MNXR109123,1.3.99|1.3.5
MNXR174106,2.4.1
MNXR122568,1.3.8
MNXR152666,1.1.1
MNXR170670,4.2.2|3.2.1
MNXR190714,2.5.1|2.1.1
MNXR116286,3.5.1
MNXR148859,3.2.1|2.4.99
MNXR193050,1.3.1|1.1.1
MNXR179750,No Significant EC
MNXR117547,3.2.1
MNXR131915,6.3.2
MNXR165518,2.1.3
MNXR146160,2.7.8
MNXR166056,1.1.2
MNXR120723,2.1.1
MNXR131601,1.1.3
MNXR173533,1.14.13
MNXR132977,2.3.2
MNXR139683,4.2.1
MNXR193319,1.3.1
MNXR166550,No Significant EC
MNXR185208,2.5.1
MNXR122007,1.1.1
MNXR144146,2.4.1
MNXR176648,1.2.1
MNXR181885,1.2.1
MNXR133704,3.5.1
MNXR120189,2.3.1
MNXR121382,5.1.3
MNXR152771,2.5.1
MNXR174055,No Significant EC
MNXR102303,1.5.1
MNXR107236,2.7.8
MNXR115468,3.4.22
MNXR173146,1.1.1
MNXR120800,2.3.1
MNXR168019,1.14.11
MNXR178094,2.7.3|6.3.4|2.7.11|3.6.3
MNXR152012,No Significant EC
MNXR109876,2.6.1
MNXR119522,3.6.1|3|2.4.1
MNXR135554,1.14.-
MNXR166567,1.1.99
MNXR119336,1.1.99
MNXR111876,1.17.1|1.1.1
MNXR101505,2.7.3|6.3.4|2.7.11|3.6.3
MNXR149435,4.3.1
MNXR148075,3.2.1
MNXR137864,1.6.5|1.1.1
MNXR165060,5.5.1
MNXR191334,1.14.13|1.1.1
MNXR181004,1.17.5
MNXR178267,1.13.11
MNXR193250,2.7.7
MNXR117493,3.5.1
MNXR95148,6.2.1
MNXR111421,1.1.1
MNXR150766,2.1.1
MNXR117206,5.5.1
MNXR111306,4.1.2|4.2.1
MNXR150313,1.13.11
MNXR193853,2.3.1
MNXR134613,4.2.3|4|4.2.3
MNXR180448,2.6.1
MNXR192824,3.5.1|2.3.1
MNXR129988,3.2.1
MNXR166977,1.3.1
MNXR133274,6.3.2
MNXR132184,2.4.1|3.2.1
MNXR177540,1.3.1
MNXR131277,1.14.13
MNXR133148,1.2.1|1.1.1
MNXR147900,2.4.1
MNXR153417,No Significant EC
MNXR134788,2.3.1
MNXR108044,4.1.1
MNXR185916,1.14.14
MNXR172723,1.1.1|1.14.12
MNXR107034,No Significant EC
MNXR187838,1.1.5
MNXR189171,4.3.2|4.3.2|4
MNXR188417,3.1.3
MNXR166366,2.7.8
MNXR109999,2.4.99
MNXR185644,1.1.1
MNXR133954,5.1.3
MNXR130709,3.4.21
MNXR168323,2.8.4|2.1.1
MNXR132976,2.3.2
MNXR191306,1.1.1|1|1.1.1
MNXR149194,2.3.1|3.1.1
MNXR130945,4.1.1
MNXR119642,2.5.1
MNXR163623,2.8.1
MNXR116516,2.4.1
MNXR177059,1.14.13
MNXR135676,1.3.99|1.3.8
MNXR134426,5.5.1
MNXR151576,2.2.1
MNXR153221,1.14.19
MNXR181982,1.1.5
MNXR130442,1.1.99
MNXR133752,2.3.1
MNXR121735,4.3.2|1.14.19
MNXR120405,1.1.1
MNXR172995,2.4.1
MNXR191716,1.13.99
MNXR185330,1.14.19
MNXR119422,2.1.1
MNXR193276,1.3.1
MNXR130373,3.4.13
MNXR149885,1.13.11
MNXR108852,1.1.1
MNXR176308,2.7.9
MNXR120155,1.3.7
MNXR175377,1.3.8
MNXR130626,4.3.1
MNXR132370,1.14.14|1.14.13
MNXR106683,5.1.3
MNXR95554,3.5.3
MNXR174048,2.3.1
MNXR117911,1.5.1
MNXR134687,1.14.14
MNXR121327,2.7.8
MNXR117922,1.8.1|1.1.1
MNXR174799,2.7.3|6.3.4|2.7.11|3.6.3
MNXR123580,1.3.1
MNXR114935,1.2.99|1.1.99
MNXR174611,2.7.3|6.3.4|2.7.11|3.6.3
MNXR172544,1.8.1|1.1.1
MNXR152425,2.4.1|2|2.4.1
MNXR173879,2.4.1|3.2.1
MNXR112073,2.3.1
MNXR181198,1.1.1
MNXR164529,1.14.14
MNXR172996,2.4.1
MNXR183854,3.4.22
MNXR129570,3.2.1|3.4.21
MNXR111513,2.3.1
MNXR166130,3.1.16|3.1.3
MNXR165198,7.1.1
MNXR175998,2.1.1
MNXR130946,3.1.1
MNXR113838,1.1.1
MNXR153395,2.5.1
MNXR148605,2.5.1
MNXR147131,2.4.1
MNXR116561,2.8.2
MNXR133146,2.5.1|2.7.7
MNXR112822,2.8.4
MNXR135483,2.7.7
MNXR121030,1.1.1
MNXR148501,2.3.2
MNXR136702,1.3.99
MNXR147326,2.7.7|2.4.1
MNXR121226,3.4.11
MNXR120253,2.4.1|3.2.1
MNXR181773,1.2.1
MNXR147349,2.3.1
MNXR173578,3.2.1
MNXR123867,3.2.1
MNXR119246,2.4.1|3.2.1
MNXR101802,2.7.3|6.3.4|2.7.11|3.6.3
MNXR146113,1.14.12
MNXR123016,1.14.-|1.14.12
MNXR169743,2.5.1
MNXR104964,2.7.3|6.3.4|2.7.11|3.6.3
MNXR175329,3.2.1
MNXR174904,2.7.3|6.3.4|2.7.11|3.6.3
MNXR150881,2.7.1|4.6.1
MNXR148244,1.1.1|1|1.1.1
MNXR135312,2.7.4|2.7.1
MNXR147897,3.1.3
MNXR119810,1.14.99|1.3.99
MNXR142049,1.8.99|2.8.2
MNXR166156,2.4.99|2.4.1
MNXR147966,No Significant EC
MNXR151570,1.14.13
MNXR188139,2.3.1
MNXR175741,2.1.1|2.3.1
MNXR147949,1.1.1
MNXR144135,1.12.5|7.1.1
MNXR173564,1.1.1
MNXR144332,2.8.3
MNXR142228,No Significant EC
MNXR176048,2.6.1
MNXR186794,2.7.11
MNXR132555,3.4.21
MNXR146950,2.7.1|2.3.1
MNXR171279,No Significant EC
MNXR103600,3.1.3
MNXR109266,1.14.13
MNXR180464,No Significant EC
MNXR172171,1.1.99
MNXR177798,2.3.1
MNXR106739,No Significant EC
MNXR170071,1.1.1
MNXR116426,5.5.1
MNXR173408,3.2.1
MNXR122243,1.14.99|1.14.19
MNXR113302,5.4.4|1.13.11
MNXR117798,2.1.1
MNXR108280,No Significant EC
MNXR119453,2.3.2
MNXR181684,1.1.1|1.2.1
MNXR131280,1.14.12
MNXR104834,4.1.2
MNXR143881,2.4.1
MNXR133325,3.2.1
MNXR134135,1.14.14
MNXR130349,2.7.1
MNXR188041,6.1.1
MNXR177773,4.2.1
MNXR131613,4.1.1
MNXR99856,2.3.1
MNXR115492,3.4.22
MNXR189264,2.7.11|2.7.1
MNXR146852,1.8.1|1.1.1
MNXR192640,2.7.1
MNXR121523,1.14.15
MNXR182626,2.4.1
MNXR121137,3.1.1
MNXR109534,4.5.1
MNXR114265,2.1.1
MNXR147611,3.6.1
MNXR108186,4.1.1
MNXR152549,2.4.1|2|2.4.1
MNXR146320,1.17.4
MNXR111520,2.3.1
MNXR182152,1.3.5
MNXR150054,1.14.21|1.14.19
MNXR180465,No Significant EC
MNXR139829,No Significant EC
MNXR119496,2.5.1
MNXR147238,2.7.8
MNXR188722,2.3.1
MNXR120874,6.3.4|6.3.2
MNXR168246,2.1.1|2|2.1.1
MNXR134323,2.8.1|2.4.2
MNXR165227,No Significant EC
MNXR187131,4.2.1
MNXR144918,1.1.3|5.3.1
MNXR101969,3.5.4
MNXR109654,1.14.13
MNXR185245,1.11.-|1.14.18
MNXR114447,4.2.1|1.14.14
MNXR136347,6.2.1|2.3.1
MNXR113637,5.1.3
MNXR164652,1.14.18
MNXR96436,5.1.3
MNXR149784,1.14.14
MNXR109637,1.21.99
MNXR194154,1.14.11
MNXR148026,1.14.13
MNXR118821,1.1.1
MNXR183956,6.1.3
MNXR108233,1.1.3
MNXR150670,1.1.99
MNXR149419,2.4.1
MNXR188179,2.7.1
MNXR132240,2.7.4|2.7.11|3.6.3
MNXR194277,2.1.1|2|2.1.1
MNXR143846,2.4.1
MNXR181406,1.1.1
MNXR153432,4.2.1
MNXR182091,2.7.8
MNXR184330,1.14.15
MNXR119971,2.4.1|3.2.1
MNXR122029,2.5.1|2|2.5.1
MNXR152937,1.2.4
MNXR152453,1.3.8
MNXR192760,2.1.1
MNXR192939,2.7.11|2.7.1
MNXR147039,4.1.1
MNXR115774,1.1.99
MNXR131699,No Significant EC
MNXR164254,3.1.1
MNXR122523,1.14.11
MNXR168280,2.1.1|2|2.1.1
MNXR119722,6.3.2
MNXR119611,6.2.1
MNXR151928,1.14.13
MNXR150824,No Significant EC
MNXR130894,1.13.12
MNXR131389,1.3.3
MNXR184721,1.14.20|1.14.11
MNXR148950,2.3.1
MNXR133503,5.5.1
MNXR191382,1.14.15|1.14.14
MNXR145871,1.14.14
MNXR173735,1.3.5
MNXR108130,2.7.7|2|2.7.7
MNXR134027,4.1.1|2.7.1
MNXR190503,2.3.1
MNXR191346,4.2.1
MNXR134454,2.3.2
MNXR132445,3.1.1|3.2.1
MNXR123890,1.14.99|1.14.19
MNXR100782,1.1.1
MNXR187651,3.4.11|3.4.21
MNXR132444,3.2.1
MNXR146082,3.1.1
MNXR187487,1.14.17
MNXR108128,1.1.1
MNXR182428,1.8.1
MNXR119289,2.4.1
MNXR164229,1.10.99
MNXR135968,3.1.3|3.1.1
MNXR129200,No Significant EC
MNXR191391,4.2.1|5.4.99
MNXR113179,6.3.2
MNXR149945,1.14.18|1.1.1
MNXR163802,1.14.14
MNXR149469,1.1.1
MNXR149787,1.14.14
MNXR192839,2.1.1
MNXR112513,2.5.1
MNXR123104,2.3.1
MNXR113845,1.14.14
MNXR179759,1.1.1
MNXR192020,4.1.1
MNXR135216,2.3.1
MNXR129785,3.4.21
MNXR147193,4.1.1
MNXR117017,3.1.6
MNXR96988,4.99.1|1.13.12
MNXR174735,2.7.3|6.3.4|2.7.11|3.6.3
MNXR185081,3.2.1
MNXR175128,2.7.3|6.3.4|2.7.11|3.6.3
MNXR183419,1.14.99
MNXR109446,1.2.1|1.14.12
MNXR184488,3.1.3|3.1.1
MNXR107793,1.1.3
MNXR134939,1.8.1|1.1.1
MNXR120390,1.14.12|1|1.14.12
MNXR114882,1.1.1
MNXR166532,1.3.7
MNXR108502,2.8.3
MNXR175455,1.3.2
MNXR175540,2.7.1
MNXR147923,1.1.1
MNXR118480,2.4.1
MNXR148367,3.2.1
MNXR152500,2.4.1|2|2.4.1
MNXR145229,1.8.1|1.1.1
MNXR134173,2.6.1
MNXR189103,2.7.7|2.7.1
MNXR106401,No Significant EC
MNXR113749,2.7.1
MNXR193969,2.3.1
MNXR191285,1.14.13
MNXR189424,1.14.99|1.14.14
MNXR183678,3.4.11|3.4.21
MNXR163550,2.4.1|2|2.4.1
MNXR116661,1.13.12
MNXR175335,6.2.1
MNXR116256,2.7.1|2|6.2.1
MNXR163724,1.14.14
MNXR172037,2.7.7|2.4.1
MNXR181409,1.1.1
MNXR102070,4.2.1
MNXR180407,2.4.1
MNXR174006,2.1.1
MNXR185768,2.5.1|4.2.3
MNXR112492,2.5.1
MNXR109153,1.1.1
MNXR193541,2.4.1
MNXR108478,5.1.3
MNXR163815,2.3.1
MNXR165987,1.14.11
MNXR100949,No Significant EC
MNXR120836,2.3.1
MNXR167182,2.3.1
MNXR166151,5.3.3
MNXR193614,2.1.2
MNXR148843,2.4.1
MNXR150879,1.14.14
MNXR189989,2.4.99
MNXR175489,No Significant EC
MNXR110107,2.4.1
MNXR113254,No Significant EC
MNXR113071,No Significant EC
MNXR173666,1.14.-|1.21.99
MNXR120640,1.14.18|1.11.1
MNXR174934,2.7.3|6.3.4|2.7.11|3.6.3
MNXR164072,2.4.1
MNXR193272,1.3.1
MNXR145834,4.1.2
MNXR101164,3.1.1
MNXR105348,1.14.12
MNXR151163,2.7.1
MNXR107110,2.5.1|4.2.3
MNXR175542,2.3.2
MNXR174658,2.7.3|6.3.4|2.7.11|3.6.3
