Reaction,SelenzymeRF
MNXR122006,4.1.1.1|4.1.1.7;1.13|1.13.12.19;2.6.1.19;4.1.1.71;4.1.1.-|4.1.1.75;4.1.1.1|4.1.1.72;4.1.1.82;4.1.1.79;2.2.1.9
MNXR122007,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.1.1|1.1.1.-|1.1.1.1|1.1.1.2|1.1.1.21
MNXR122017,2.1.1.42;2.1.1.6;2.1.1.-|2.1.1.267|2.1.1.42;2.1.1.68;2.1.1.128;2.1.1.231;2.1.1.104;2.1.1.232;2.1.1.116;2.1.1.155;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.336;2.1.1.65;2.1.1.283;2.1.1.-|2.1.1.291;2.1.1.109;2.1.1.338;2.1.1.114;2.1.1.146|2.1.1.279;2.1.1.330;2.1.1.110;2.1.1.323;2.1.1.118;2.1.1.89;2.1.1.222
MNXR122029,2.5.1|2.5.1.-|2.5.1.1;2.5.1.-|2.5.1.136;2.5.1.137;2.5.1.75
MNXR122031,2.5.1|2.5.1.-|2.5.1.1;2.5.1.35;2.5.1.136;2.5.1.137;2.5.1.75
MNXR122040,2.7.1.138;6.3.4.14|6.4.1.1;6.3.4.14;6.3.2.43;6.3.2.60|6.3.2.M4;6.3.1.14|6.3.2.22;6.2.1.39;6.3.2.29;6.3.4.3
MNXR122056,1.3.1.34;1.3.1.124;1.3.1.93;1.3.1.38;1.3.1.8;1.1.1.330|1.1.1.36;2.3.1.111;1.2.1.50;1.2.1.84;2.3.1.86;1.3.1.10|1.3.1.39;2.3.1.295;2.3.1.252;2.3.1.165
MNXR122075,1.13.11.71|1.14.99.-;1.14.13.90;1.13.11.-|1.13.11.68;1.13.11.75;1.13.11.84|1.14.99.42;1.13.11.70;1.13.11.67|1.13.12.12;1.13.11.65;1.13.11.6;1.13.11.39;1.13.11.63;1.13.11.2;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39
MNXR122111,1.3.5.6|1.3.99.26|1.3.99.28|1.3.99.30|1.3.99.31;1.3.5.6;5.5.1.-|5.5.1.19;5.5.1.-|5.5.1.18;4.2.1.131;5.2.1.12;1.3.99.27;1.14.15.9;1.3.5.5;1.3.8.2;5.2.1.-|5.2.1.13;2.5.1.150;2.1.1.210;1.3.5.5|1.3.99.28|1.3.99.29|1.3.99.30;1.2.1.5;2.5.1.149;1.1.1.71
MNXR122114,1.14.14.158;1.14.13.129;1.14.13.90;1.13.11.75;1.14.15.24;1.3.3.6;1.13.12.24;1.1.99.8;1.14.12.17;1.6.3.1;1.14.13.242;1.8.3.5;1.4.3.13
MNXR122135,1.8.3.5;1.4.3.13;1.2.3.1;1.4.3.2;1.4.3.3
MNXR122144,2.1.1.246;2.1.1.251;2.1.1.247;2.1.1.247|2.1.1.248;2.1.1.86;2.1.1.-|2.1.1.247|2.1.1.250;2.1.1.247|2.1.1.249;2.1.1.90;1.8.98.4;2.3.1.169;2.1.1.258;4.4.1.23;1.8.98.5;1.8.7.3;1.8.98.1;1.8.1.5;2.1.1.14
MNXR122151,2.1.1.247;2.1.1.246;2.1.1.251;2.1.1.90;2.3.1.169;2.8.3.9;2.1.1.258;2.1.1.14
MNXR122187,2.1.1.99;2.1.1.343;2.1.1|2.1.1.163
MNXR122226,2.4.1.67;2.4.1.82;2.7.8.11;2.4.1.123;1.13.99.1;3.2.1.20|3.2.1.70;2.4.1.25;3.2.1.198
MNXR122234,1.14.19.35;1.14.19.25;1.14.19.23;1.14.19.36;1.14.19.42;1.14.19.13;1.14.19.45;1.14.19.28;1.14.19.27;1.14.19.11;1.14.19.2;1.14.19.26;1.14.19.43;1.14.15.4;1.14.15.36;1.14.15.38;1.14.15.14;2.4.1.241;1.14.19.3
MNXR122236,1.14.19.35;1.14.19.25;1.14.19.36;1.14.19.23;1.14.19.13;1.14.19.42;1.14.19.45;1.14.19.28;1.14.19.27;1.14.19.11;1.14.19.2;1.14.19.26;1.14.19.43;1.14.15.4;1.14.15.36;1.14.15.38;1.14.15.14;2.4.1.241;1.14.19.3
MNXR122243,1.14.19.35;1.14.19.36;1.14.19.23;1.14.19.45;1.14.19.42;1.14.19.28;1.14.19.27;1.14.19.11;1.14.19.2;1.14.19.26;1.14.19.43;1.14.15.4;1.14.15.36;1.14.15.38;1.14.15.14;1.14.19.25;1.2.7.11;1.2.7.12;2.4.1.241;1.14.19.22
MNXR122246,1.14.19.35;1.14.19.25;1.14.19.36;1.14.19.23;1.14.19.13;1.14.19.42;1.14.19.45;1.14.19.28;1.14.19.27;1.14.19.11;1.14.19.2;1.14.19.26;1.14.19.43;1.14.15.4;1.14.15.36;1.14.15.38;1.14.15.14;2.4.1.241;1.14.19.3
MNXR122274,1.14.19.30;1.14.19.44;1.14.19.25;1.14.19.31;1.14.19.38;1.14.19.3;1.14.19.33;1.14.19.47;1.14.19.4;1.14.19.12;1.14.19.16;1.14.19.39;1.14.19.22;1.14.19.6;1.14.19.34;1.14.18.4;1.14.19.19;1.14.19.18;1.14.19.29
MNXR122275,1.14.19.47;1.14.19.12;1.14.19.3;1.14.19.4;1.14.19.25;1.14.19.30;1.14.19.44;1.14.19.22;1.14.19.31;1.14.19.6;1.14.19.33;1.14.19.16;1.14.19.39;1.14.19.34;1.14.18.4;1.14.19.19;1.14.19.18;1.14.19.29
MNXR122289,1.14.19.35;1.14.19.25;1.14.19.13;1.14.19.42;1.14.19.36;1.14.19.23;1.14.19.28;1.14.19.27;1.14.19.45;1.14.19.43;1.14.19.11;1.14.19.26;1.14.19.2;1.14.15.4;1.14.15.36;1.14.15.38;1.14.15.14;2.4.1.241;1.14.19.3
MNXR122314,1.1.2.7;1.1.99.37;3.1.1.100;3.4.21.62;3.1.1.82;3.1.1.97;1.14.14.117;3.1.1.61
MNXR122335,2.1.1.69;2.1.1.137;2.1.1.46;2.1.1.150;2.1.1.267;2.1.1.267|2.1.1.42;2.1.1.6;2.1.1.231;2.1.1.88;2.1.1.76;2.1.1.169;2.1.1.64
MNXR122371,4.2.3|4.2.3.-|4.2.3.56;4.2.3.80;4.2.3.76;4.2.3.56|4.2.3.58;4.2.3.84;4.2.3.198|4.2.3.66;4.2.3.182;4.2.3.136;4.2.3.79;4.2.3.160;4.2.3.161;4.2.3.6;4.2.3.13;4.2.3.97;4.2.3.135;4.2.3.169;4.2.3.88;4.2.3.74;4.2.3.37;4.2.3.181;4.2.3.-|4.2.3.129;4.2.3.172;4.2.3.73;4.2.3.7;4.2.3.204;4.2.3.-|4.2.3.133;4.2.3.90;4.2.3.96;4.2.3.87;4.2.3.72;2.5.1|2.5.1.31|2.5.1.M1;4.2.3.61;4.2.3.9;4.2.3.-|4.2.3.127;4.2.3.21
MNXR122372,4.2.3|4.2.3.-|4.2.3.56;4.2.3.-|4.2.3.125;4.2.3.160;4.2.3.80;4.2.3.69;4.2.3.7;4.2.3.62;4.2.3.85;4.2.3.169;4.2.3.204;4.2.3.79;4.2.3.73;4.2.3.133;4.2.3.6;4.2.3.136;4.2.3.76;4.2.3.37;4.2.3.-|4.2.3.129;4.2.3.90;4.2.3.24;4.2.3.198;4.2.3.74;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.67;4.2.3.-|4.2.3.104;4.2.3.96;4.2.3.198|4.2.3.66;4.2.3.81;4.2.3.54;2.5.1.87
MNXR122373,4.2.3.-|4.2.3.128;4.2.3.133;4.2.3.170;4.2.3.175;4.2.3.7;4.2.3.80;4.2.3.62;4.2.3.67;4.2.3.204;4.2.3.24;4.2.3.-|4.2.3.127;4.2.3.96;4.2.3.160;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.79;4.2.3.172;2.5.1.87;4.2.3.37;4.2.3.87;4.2.3.136;4.2.3.64;4.2.3.76;4.2.3.184;4.2.3.68;4.2.3.163;4.2.3.101|4.2.3.102;4.2.3.165;4.2.3.73;4.2.3.74;4.2.3.56|4.2.3.58;4.2.3.98;4.2.3.157;2.5.1.86;4.2.3.169;4.2.3.39;4.2.3.-|4.2.3.104;4.2.3.54;4.2.3.81;4.2.3.181;4.2.3.6
MNXR122396,4.2.3.-|4.2.3.127;4.2.3.133;4.2.3.-|4.2.3.128;4.2.3.62;4.2.3.172;4.2.3.96;4.2.3.204;4.2.3.67;4.2.3.56|4.2.3.58;4.2.3.24;4.2.3.68;4.2.3.165;4.2.3.80;4.2.3.175;4.2.3.170;4.2.3.87;4.2.3.160;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.171;4.2.3.37;2.5.1.87;4.2.3.74;4.2.3.184;4.2.3.7;4.2.3.78;4.2.3.136;4.2.3.98;4.2.3.181;4.2.3.198|4.2.3.66;4.2.3.-|4.2.3.126;4.2.3.76;4.2.3.157;4.2.3.39;4.2.3.73;4.2.3.64;4.2.3.79;4.2.3.82;4.2.3.6
MNXR122397,4.2.3.133;4.2.3.-|4.2.3.127;4.2.3.80;4.2.3.160;4.2.3.96;4.2.3.62;4.2.3.67;4.2.3.204;4.2.3.7;4.2.3.-|4.2.3.128;4.2.3.172;4.2.3.24;4.2.3.79;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;2.5.1.87;4.2.3.170;4.2.3.175;4.2.3.136;4.2.3.37;4.2.3.87;4.2.3.163;4.2.3.74;4.2.3.68;4.2.3.98;4.2.3.76;4.2.3.81;4.2.3.54;4.2.3.184;4.2.3.56|4.2.3.58;4.2.3.169;4.2.3.165;4.2.3.73;4.2.3.157;4.2.3.82;4.2.3.64;2.5.1.86;4.2.3.181;4.2.3.-|4.2.3.104;4.2.3.198|4.2.3.66
MNXR122406,1.14.14.1
MNXR122447,1.14.17.1;1.14.14.18;1.14.13.122;1.14.13.81;1.1.1.170|1.1.1.270|1.14.13.72|1.14.18.9;1.14.99.9
MNXR122460,1.14.13.-|1.14.13.167;1.14.13.2|1.14.13.33;1.14.13.84;1.14.12.10;1.14.14.91;1.14.13.8;1.14.13.240;1.14.14.43|1.14.14.45;1.14.13.87;1.14.14.1
MNXR122476,1.1.1.376;1.1.1.179|1.3.1.20;1.1.1.113;1.1.1.117;1.1.1.359|1.1.1.376|1.1.1.46;1.1.1.116;1.1.1.119|1.1.1.47;1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.1.1.292;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.121;1.1.1.363|1.1.1.49;1.1.1.122|1.1.1.316;1.1.1.-|1.1.1.377|1.1.1.378;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5
MNXR122502,1.14.12.23;1.14.12.-|1.14.12.24;1.14.13.223;1.14.12.-|1.14.12.10;1.14.13.87;1.14.13.25;1.14.13.113;1.14.13.26;1.14.13.246;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.225;1.14.13.240;1.14.13.84;1.14.13.2|1.14.13.33
MNXR122522,2.3.1.71;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
MNXR122523,1.14.11.15;1.14.11.58;1.14.11.4;1.14.11.63;1.14.11.7;1.14.11.2;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67
MNXR122526,1.1.1.318;4.1.2.61;2.3.1.187;3.5.1.114|3.5.1.14;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
MNXR122552,2.3.1.244;2.3.1.252;2.3.1.261;2.3.1.111;2.3.1.292;2.3.1.287;2.3.1.41;2.3.1.86;2.3.1.85;2.3.1.161;2.3.1.295;2.3.1.165;2.3.1.239;2.3.1.237;2.3.1.236;2.3.1.289;2.3.1.290;2.3.1.94;2.3.1.300;2.3.1.119;1.3.1.-|2.3.1.170|2.3.1.74
MNXR122568,1.3.8.5;1.3.8.8;1.3.8.-|1.3.99.3;1.3.8.7;1.3.8.9;1.3.8.12;1.3.8.14;1.3.8.3;1.3.8.-|1.3.8.4;1.5.1.39;1.3.8.11;1.5.8.4;1.14.14.-|1.14.14.13;1.5.5.1;1.14.19.56;1.3.8.1|1.3.8.4|1.3.8.7;1.14.14.15;1.2.7.1;1.14.14.3;1.14.14.28;1.3.8.10;1.14.14.46;2.1.1.74
MNXR122572,4.1.1.108;4.1.1.107;1.4.3.3;1.4.3.2;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.4.3.13;1.4.3.21
MNXR122589,2.1.1.6;2.1.1.240;2.1.1.303;2.1.1.232;2.1.1.302;2.1.1.231;2.1.1.155;2.1.1.146;2.1.1.279;2.1.1.155|2.1.1.75;2.1.1.212;2.1.1.212|2.1.1.46;2.1.1.42;2.1.1.270;2.1.1.241;2.1.1.339;2.1.1.94;2.1.1.293;2.1.1.38;2.1.1.132;2.1.1.6|2.1.1.68;2.1.1.169|2.1.1.68;2.1.1.267;2.1.1.128;2.1.1.76;2.1.1.-|2.1.1.169|2.1.1.175;2.1.1.114;2.1.1.336;2.1.1.283;2.1.1.88;2.1.1.104;2.1.1.116
MNXR122638,2.4.2.39;2.4.2.38;2.4.2.61;2.4.2.41;2.4.2.62;2.4.2.51;2.4.2.26;2.4.2.63;2.4.2.40;2.4.1.271;2.4.2.24;2.4.2.42;2.4.1.309;2.4.1.293;2.4.1.264;2.4.1.44|2.4.1.73;2.4.1.58;2.4.1.287;2.4.1.17;2.4.1.43;2.4.1.351;2.4.1.-|2.4.1.292;2.4.1.14
MNXR122644,2.7.7.61;2.7.7.66;2.7.7.85;3.6.1.19;2.7.7.91;2.3.1.15|2.3.1.51|2.7.7.41|2.7.8.8|4.1.1.65
MNXR122653,2.5.1.88;2.5.1.86;2.5.1.31;2.5.1.83;2.5.1.142;2.5.1.89;2.5.1.85;2.5.1.82;2.5.1.81;2.5.1.-|2.5.1.84|2.5.1.85;2.5.1.142|2.5.1.92;2.5.1.91;2.5.1.10
MNXR122692,2.1.1.163
MNXR122709,1.14.19.48;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.11.1.2;1.6.5.4;1.1.1.219;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
MNXR122725,2.1.1.-|2.1.1.222
MNXR122737,1.3.1.107;1.1.1.318;1.3.1.77;1.5.1.40;1.1.1|1.8.1.9;1.5.1.5
MNXR122775,2.5.1.74;2.5.1.-|2.5.1.117;2.5.1.116;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.-|2.5.1.115;2.4.1.129
MNXR122780,2.5.1.88;2.5.1.86;2.5.1.31;2.5.1.83;2.5.1.142;2.5.1.82;2.5.1.85;2.5.1.89;2.5.1.81;2.5.1.-|2.5.1.84|2.5.1.85;2.5.1.142|2.5.1.92;2.5.1.91;2.5.1.90;2.5.1.87;2.5.1.10
MNXR122842,4.1.99.16;4.1.99.16|4.2.3.-|4.2.3.22;1.1.1.71;1.14.14.154;1.14.15.36;1.2.1.5;4.2.3.68;2.3.1.26;4.2.3.136;3.1.7.7|4.2.3.194;3.1.1.88;4.2.3.6;4.2.3.74;1.1.1.1
MNXR122852,1.1.1.100|2.3.1.86;1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.10|1.3.1.39|2.3.1.85|2.3.1.86;1.1.1.330;1.1.1.36;1.3.1.10|1.3.1.104|1.3.1.39;1.2.1.50
MNXR122903,2.1.1.6;2.1.1.240;2.1.1.232;2.1.1.303;2.1.1.302;2.1.1.132;2.1.1.146;2.1.1.231;2.1.1.155|2.1.1.75;2.1.1.212|2.1.1.46;2.1.1.42;2.1.1.339;2.1.1.94;2.1.1.270;2.1.1.279;2.1.1.293;2.1.1.38;2.1.1.241;2.1.1.334;2.1.1.128;2.1.1.336;2.1.1.79;2.1.1.68;2.1.1.116;2.1.1.-|2.1.1.291;2.1.1.222
MNXR122909,1.14.14.154;1.14.14.19;1.14.14.17;1.14.14.16;1.14.14.48;1.14.14.43;1.14.14.55;1.14.14.103;1.14.14.80;1.14.14.177;1.14.14.42;1.14.14.98;1.14.14.140;1.14.14.81
MNXR122933,2.3.1.23;2.3.1.250;2.3.1.15
MNXR122950,2.4.1.236;2.4.1.273;2.4.1.159;2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.254;2.4.1.351;2.4.1.22;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.284;2.4.1.338;2.4.1.87;2.4.1.-|2.4.1.301;2.4.1.69;2.4.2.50;2.4.1.122|2.4.1.307;2.4.1.13;2.4.1.245;2.4.1.85
MNXR122962,1.6.5.4;1.6.99.1;1.14.12.23;1.14.13.31;1.7.1.-|1.7.1.16;1.7.6.1;1.7.5.1|1.7.99.4;1.13.12.16;1.14.12.17;3.5.99.9;1.9.6.1;1.7.1.2
MNXR123016,1.14.12.12;1.14.14.37;1.13.11.46;1.14.17.1;5.1.2.2;1.1.1.2|1.1.1.21;1.14.13.84;1.1.5.4;1.10.99.2;1.8.5.2;1.1.5.8
MNXR123046,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.6.5.4;1.14.13.223;1.14.12.-|1.14.12.10;1.14.13.25;1.14.12.-|1.14.12.26;1.14.13.246;1.14.13.87;1.14.13.26;1.14.18.9
MNXR123048,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.26;1.14.12.10;1.6.5.4;1.14.13.223;1.14.13.25;1.3.1.119;1.14.13.87;1.14.13.26;1.14.13.246;1.14.18.9
MNXR123057,1.1.1.272;1.1.1.375;1.1.1.346;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
MNXR123061,5.5.1.7;5.5.1.2;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
MNXR123063,1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.240;1.14.13.20;1.14.13.84;1.14.13.2|1.14.13.33;1.14.14.91;1.14.14.1
MNXR123087,2.5.1.88;2.5.1.31;2.5.1.91;2.5.1.84;2.5.1.89;2.5.1.86;2.5.1.87;2.5.1.-|2.5.1.30;2.5.1.85;2.5.1.90;2.5.1.83;2.5.1.82;2.5.1.142;2.5.1.29
MNXR123094,2.4.1.373;2.4.1.13;2.4.1.4;2.4.1.125|2.4.1.5;2.4.1.372;3.2.1.26
MNXR123095,3.2.1.-|5.1.3.14;3.2.1.183|5.1.3.14|5.1.3.7;2.4.1.141;2.4.1.187;2.4.1.212;2.4.1.-|2.4.1.291;2.4.1.227
MNXR123103,1.8.1.4;2.5.1.46;1.6.2.6|1.8.1|1.8.1.4;1.3.1.9
MNXR123104,2.3.1.180
MNXR123123,2.3.1.251;2.7.8.43;2.3.1.243;2.3.1.241;2.3.1.242;2.7.8.42;2.4.2.43;2.3.1.62;2.3.1.135;3.1.1.32
MNXR123144,3.2.2.27
MNXR123196,1.6.99.1;1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.3.1.10;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86
MNXR123213,2.7.1.12;4.2.3.152;4.2.3.154;4.1.99.25;3.1.3.29|3.1.3.50;3.1.3.50;3.1.3.22|3.1.3.23;2.7.1.14;3.1.3.2
MNXR123242,1.14.99.39;1.10.3.17;1.10.3.11
MNXR123251,5.1.3.21|5.1.3.3;5.1.3.11;2.4.1.25;3.2.1.18
MNXR123254,2.7.4.29;2.4.2.43;3.6.1.27
MNXR123331,1.6.5.11|1.6.5.2|1.6.5.9
MNXR123333,6.3.2.42;6.3.2.32;6.3.2.17;6.3.2.9
MNXR123410,2.7.1.28;4.1.99.25;2.7.1.121;4.1.99.24;4.1.2.13|4.1.2.40
MNXR123415,1.17.4.1;1.17.4.2
MNXR123460,1.1.1.100|1.1.1.M9;1.3.1.10|1.3.1.118|1.3.1.al;4.2.1.134|4.2.1.17
MNXR123481,3.1.3.12;6.3.5.9;1.14.11.49;4.1.99.23;4.2.3.152;2.6.99.2
MNXR123511,1.3.1.10|1.3.1.118;2.3.1.86;1.3.1.9;1.1.1.100|1.1.1.M9
MNXR123569,1.1.1.100|1.1.1.M9;4.2.1.17
MNXR123571,1.1.1.100|1.1.1.M9;1.3.1.10|1.3.1.118;2.3.1.179;2.3.1.294;5.3.3.14
MNXR123580,1.3.1.10|1.3.1.118;2.3.1.86;1.3.1.9|2.3.1.-;1.1.1.100|1.1.1.M9
MNXR123595,2.3.1.252;2.3.1.261;2.3.1.244;2.3.1.119;2.3.1.111;2.3.1.292;2.3.1.86;2.3.1.41;2.3.1.287;2.3.1.179|2.3.1.41;1.2.1.84;2.3.1.293;2.3.1.51
MNXR123600,1.1.1.100|1.1.1.M9;2.3.1.86;1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.10|1.3.1.118;1.3.1.10|1.3.1.39|2.3.1.85|2.3.1.86;1.1.1.330;1.2.1|1.2.1.50;1.3.1.10|1.3.1.104|1.3.1.39
MNXR123610,1.1.1.100|1.1.1.M9;2.3.1.86;1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.10|1.3.1.39|2.3.1.85|2.3.1.86;1.3.1.10|1.3.1.104|1.3.1.39;1.1.1.-|1.1.1.330;1.2.1|1.2.1.50
MNXR123619,1.3.1.10|1.3.1.118;2.3.1.86;1.3.1.9|2.3.1.-;1.1.1.100|1.1.1.M9
MNXR123622,3.1.3.12;2.3.1.279;2.7.1.201|2.7.1.69;3.2.1.141;2.3.1.79;2.3.1.273;2.7.1.207;3.1.1.6;2.4.1.245;2.3.1|2.3.1.-|2.3.1.215;2.3.1.153;2.7.1.195;5.4.99.16;3.2.1.70;2.7.1.211;6.1.2.2;2.3.1.172;2.3.1.116;4.2.99.23;2.3.1.171;4.2.99.22;2.3.1.115;3.2.1.26
MNXR123624,2.3.1.294;2.3.1.293;2.3.1.41;2.3.1.179|2.3.1.41;2.3.1.199;2.3.1.301;2.3.1.86;2.3.1.-|2.3.1.218;2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.262;2.3.1.208;2.3.1.47
MNXR123627,1.1.1.100|1.1.1.M9;4.2.1.134|4.2.1.17
MNXR123641,2.3.1.86;1.3.1.10|1.3.1.39|2.3.1.85|2.3.1.86;1.3.1.9;1.1.1.100|2.3.1.-
MNXR123742,1.2.1.50;3.1.2.2;2.3.1.85;2.3.1.156;2.3.1.41;1.2.1.84;2.3.1.75
MNXR123744,6.2.1.16;6.2.1.36;6.2.1.1
MNXR123769,1.13.11.34;5.4.4.7;2.3.1.281|2.3.1.ci;3.3.2.6;1.2.1.84;2.3.1.161;2.3.1.85;1.14.13.90;1.3.8.2;2.3.1.119;1.14.99.9;2.1.1.342;2.3.1.211;2.3.1.146;2.4.1.271;2.3.1|2.3.1.-|2.3.1.206;2.3.1|2.3.1.-|2.3.1.74
MNXR123788,1.5.5.3;1.1.5.10;1.4.5.1;1.2.5.2;1.5.5.2;1.1.98.4;1.8.5.9;1.6.5.2
MNXR123789,1.5.1.12|1.5.1.2;1.1.1.412;1.1.1.272;1.1.1.375;1.1.1.346;1.4.1.1|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9
MNXR123799,1.14.14.42;1.14.14.55;1.14.14.48;1.14.14.103;1.14.14.43;1.14.14.154;1.14.14.140;1.14.14.19;1.14.14.16;1.14.14.80;1.14.14.89;1.14.14.98;1.14.14.17;1.14.14.177;1.14.14.81
MNXR123832,4.4.1.-|4.4.1.13;4.3.1.15|4.3.1.18;4.1.99.1|4.2.1.13|4.2.1.22|4.2.3.1|4.3.1.15|4.3.1.17|4.3.1.19
MNXR123842,2.8.2.-|2.8.2.38;1.8.4.8;2.8.2.15;2.8.2|2.8.2.14|2.8.2.15|2.8.2.2|2.8.2.4;2.8.2.-|2.8.2.39;2.8.2.11;2.8.2.1;2.8.2.25;2.8.2.27;2.8.2.36;2.8.2.5;2.8.2.35;2.8.2.17
MNXR123853,1.8.2.2;1.13.11.18;1.13.11.55;1.14.14.35;1.15.1.1
MNXR123860,3.2.1.147;6.2.1.13;4.2.1.84;2.6.1.7;1.8.5.6;6.1.1.2
MNXR123863,1.1.1.1
MNXR123867,3.2.1.147;3.2.1.62;2.4.1.195;3.2.1.144;3.2.1.74;5.1.3.9;1.13.99.1
MNXR123878,4.4.1.16;1.1.1.124|1.1.1.138|1.1.1.14|1.1.1.67|1.1.99.11|1.14.13.50|2.1.1.280|2.5.1.18|2.5.1.48|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8;2.1.1.-|2.1.1.280|2.1.1.9
MNXR123880,1.1.5.8;1.1.1.282;1.4.5.1;1.1.5.10;1.1.98.4;1.2.5.2;1.8.5.9;1.6.5.2
MNXR123890,1.14.99.24;1.4.3.13;1.8.3.3;1.8.3.5;1.3.3.6;1.14.18.1;1.3.5.2
MNXR123913,4.4.1.4;1.13.11.18;2.1.1.299;2.1.1.80;2.1.1.297|2.1.1.298;2.1.1.144|2.1.1.145
MNXR124089,1.14.14.1
MNXR124667,2.4.1.17;2.4.1.253;2.4.1.121;2.4.1.123;2.4.1.263;2.4.1.120|2.4.1.126;2.4.1.271;2.4.1.136;2.4.1.177;2.4.1.356;2.4.1.91;2.4.1.264;2.4.1.237;2.4.1.212
MNXR125036,5.3.3|5.3.3.8;1.3.8.7|1.3.8.8;1.3.1.124;1.3.1.34;1.3.1.109;1.3.1.95|1.3.8.7
MNXR125643,4.1.99.1|4.4.1.1|4.4.1.13|4.5.1.2;4.3.1.18|4.5.1.2
MNXR125790,4.1.99.5;1.1.1.71;2.3.1.85;1.2.1.84;2.3.1.119;2.3.1.86;2.3.1.41;1.3.1.10|1.3.1.39;2.4.99.13;2.4.2.43
MNXR125906,3.7.1.8;5.3.2.6;1.13.11.39;3.7.1.13;3.7.1.3;1.2.1.19|1.2.1.3|1.2.1.4|1.2.1.5|1.2.1.7
MNXR126013,1.14.99.24;1.4.3.13;1.8.3.3;1.8.3.5;1.3.3.6;1.14.18.1;1.3.5.2
MNXR126018,1.13.11.2;1.13.11.16;1.13.11.-|1.13.11.1|1.13.11.M6;1.13.11.39;1.13.11.25|1.13.11.39;1.13.11.15;1.13.11.37;1.13.11.3;1.13.11.57|1.13.11.8;1.13.11.-|1.13.11.29;1.13.11.66;1.13.11.64;1.13.11.4
MNXR126222,1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
MNXR126353,1.13.11.57|1.13.11.8;1.13.11.4;3.1.1.57;1.13.11|1.13.11.3;1.13.11.37;1.13.11.5;1.13.11.64;1.15.1.1
MNXR126407,3.2.1.20;3.2.1.74;2.4.1.25;3.2.1.20|3.2.1.3;3.2.1.21|3.2.1.25|3.2.1.58|3.2.1.74
MNXR126701,2.3.1.26;3.1.1.13;3.1.1.23;3.1.1.4
MNXR126814,2.7.7.85;4.6.1.1
MNXR128747,3.2.1.18
MNXR129131,1.3.1.48;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.3.1.10;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39|2.3.1.86;1.1.1.184
MNXR129200,1.4.3.21;1.4.3.21|1.4.3.4;1.4.9.2;1.4.3.10|1.4.3.12|1.4.3.22|1.4.3.4|1.4.3.5|1.4.3.8
MNXR129206,1.1.1.42;1.1.1.27|1.1.1.272|1.1.1.95|1.1.99.2
