Reaction ID,Theia
R06382,"1.1.1,0.9999997615814209;1.14.13,1.5014869347851345e-07;1.-.-,1.2844908781062259e-07;1.3.1,3.160172568072994e-08;1.1.5,2.477521121591053e-08"
R04099,"1.1.1,0.9992347955703735;1.3.1,0.0002669687382876873;1.14.14,0.00017401270451955497;1.2.1,0.0001429013500455767;2.3.1,0.00010257471876684576"
R11508,"2.1.1,0.9999997615814209;2.3.1,1.567121756806955e-07;2.5.1,3.691812722195209e-08;4.4.1,1.3077276150852413e-08;1.3.98,9.707257220270549e-09"
R13346,"1.3.1,0.6348098516464233;1.3.99,0.24459725618362427;1.-.-,0.11942771822214127;4.2.1,0.0003676175547298044;1.14.14,0.000303070672089234"
R04835,"1.1.1,0.9895690083503723;1.3.1,0.00986659899353981;2.3.1,0.00022475568403024226;1.-.-,7.214421930257231e-05;1.14.13,6.64907056489028e-05"
R01160,"2.3.1,0.9983853101730347;2.6.1,0.0011807805858552456;1.2.7,7.552092574769631e-05;1.2.1,7.099367212504148e-05;6.3.2,4.677735341829248e-05"
R03604,"3.2.1,0.9990177154541016;2.4.1,0.0007432806887663901;3.1.1,0.0001520341756986454;1.14.-,2.2810248992755078e-05;3.7.1,9.504890840617009e-06"
R12589,"3.6.1,0.8364036083221436;3.1.3,0.05007956176996231;3.6.4,0.03177787736058235;3.1.4,0.025153227150440216;2.7.3,0.015497368760406971"
R09988,"1.1.1,0.9996102452278137;1.14.13,0.00030848293681629;1.6.5,5.8366491430206224e-05;1.-.-,8.595291546953376e-06;1.8.1,4.530247679213062e-06"
R05219,"2.1.1,0.9999994039535522;4.4.1,1.9083280733411812e-07;3.13.1,1.5346969917118258e-07;4.2.1,8.987118604864008e-08;3.3.1,8.698610542978713e-08"
R01566,"3.5.3,0.9996815919876099;1.14.13,0.00012355914805084467;3.5.1,6.0157643019920215e-05;3.5.4,4.800569513463415e-05;6.3.4,1.8631953935255297e-05"
R12098,"3.13.1,0.902167022228241;3.3.1,0.07519625872373581;4.4.1,0.009103837423026562;2.5.1,0.004346510395407677;4.2.1,0.0020838382188230753"
R01738,"1.1.1,0.9998446702957153;1.1.5,5.3965759434504434e-05;2.7.1,3.541842306731269e-05;1.1.99,2.4589769964222796e-05;1.3.1,1.070993585017277e-05"
R03713,"1.3.1,0.769719660282135;1.3.99,0.22459305822849274;1.1.1,0.00513802096247673;1.3.3,0.00021926536282990128;1.3.8,0.00010118998761754483"
R04194,"2.4.1,0.9990787506103516;2.3.1,0.00033493852242827415;3.2.1,0.000290789088467136;5.4.99,0.0002536048705223948;5.4.1,3.0216624509193935e-05"
R00490,"4.3.1,0.9893677830696106;4.3.2,0.002424591453745961;3.5.5,0.0017107680905610323;2.3.1,0.0015845575835555792;1.3.5,0.0014944400172680616"
R02944,"1.1.1,0.9982439279556274;1.3.1,0.0015199126210063696;1.14.13,0.0001614328211871907;2.3.1,3.9848666347097605e-05;1.-.-,1.2727097782772034e-05"
R04463,"6.3.5,0.9911049008369446;6.3.1,0.003825709456577897;3.5.2,0.0021287088748067617;6.3.4,0.0009176835301332176;3.5.1,0.000494339328724891"
R07598,"1.4.3,0.9998928308486938;1.5.3,7.610672037117183e-05;3.5.4,2.581338230811525e-05;1.4.9,2.564616806921549e-06;1.5.99,1.1575806411201484e-06"
R04208,"2.7.3,0.7576484084129333;6.3.3,0.21790120005607605;2.1.2,0.006448771338909864;6.3.4,0.004834323655813932;1.5.99,0.003117976011708379"
R07264,"2.4.2,0.7739285230636597;2.4.1,0.22219549119472504;2.7.1,0.0037205347325652838;3.1.3,0.0001251216745004058;2.7.3,1.2703031643468421e-05"
R03465,"4.1.2,0.994500994682312;4.2.1,0.0035580922849476337;4.5.1,0.0008558613481000066;2.6.1,0.0006264236872084439;2.3.1,0.000150315448991023"
R03060,"3.1.3,0.669396698474884;3.1.4,0.23327648639678955;3.6.1,0.08342061191797256;3.6.2,0.003350780578330159;2.7.3,0.0024045947939157486"
R09943,"2.4.1,0.9992318153381348;2.7.3,0.0003735186473932117;3.1.3,0.00017696921713650227;2.7.1,0.00013356184354051948;2.4.-,3.467779970378615e-05"
R07907,"2.1.1,0.9999943971633911;1.-.-,1.464271917939186e-06;2.7.4,9.198471957461152e-07;2.3.1,6.818568181188311e-07;2.4.1,4.796272605744889e-07"
R01868,"2.1.1,0.9999641180038452;2.5.1,1.2590636288223322e-05;4.2.1,8.894444363249931e-06;4.3.1,6.627311904594535e-06;2.1.2,2.2933518266654573e-06"
R01158,"1.1.1,0.9981778860092163;1.2.1,0.0007815749850124121;1.14.13,0.0001690354256425053;1.3.1,0.00012191895802970976;1.5.1,0.00011375894246157259"
R02024,"1.17.4,0.9987269043922424;1.8.4,0.0004134206392336637;1.11.1,0.00035250996006652713;1.8.1,0.00019267234893050045;5.3.4,9.423976007383317e-05"
R10422,"1.1.1,0.9992032647132874;1.3.1,0.0005871293251402676;2.3.1,7.57325833546929e-05;1.14.13,4.3696101784007624e-05;1.-.-,2.9710981834796257e-05"
R03350,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R09780,"5.1.3,0.9916786551475525;5.-.-,0.004650781396776438;5.3.1,0.0014394607860594988;1.1.1,0.0006399867124855518;4.1.2,0.00046192097943276167"
R12561,"2.3.1,0.9792435765266418;6.2.1,0.01666475459933281;2.3.3,0.0008692262344993651;3.1.2,0.0006557864253409207;1.2.7,0.0005760907079093158"
R00631,"1.2.1,0.9988402724266052;1.1.1,0.0004272263322491199;3.1.1,0.0003608794941101223;1.4.1,0.00013526891416404396;1.17.1,7.464447116944939e-05"
R12313,"5.1.1,0.9996609687805176;3.4.13,0.00016416708240285516;2.6.1,7.198240928119048e-05;3.4.17,2.155414767912589e-05;1.5.99,1.3402586773736402e-05"
R01403,"1.3.1,0.9992208480834961;1.1.1,0.0002845985582098365;2.3.1,0.0002455862704664469;1.6.2,0.00012264607357792556;1.18.1,2.4794273485895246e-05"
R07288,"2.8.2,0.9626315236091614;1.1.1,0.017385300248861313;5.4.99,0.008636447601020336;5.-.-,0.004278117325156927;2.4.1,0.002373279770836234"
R11561,"3.5.1,0.9814985394477844;3.4.11,0.012688095681369305;2.3.2,0.004359050188213587;6.3.1,0.0003208091075066477;3.4.19,0.0002471683837939054"
R09837,"5.3.3,0.9991034865379333;1.-.-,0.000622947292868048;3.3.2,7.843114144634455e-05;5.4.99,7.34114510123618e-05;5.3.2,2.6580564735922962e-05"
R03114,"1.1.1,0.9993367791175842;1.3.1,0.00039049790939316154;1.14.13,0.00018149260722566396;1.6.5,2.24264931603102e-05;1.-.-,2.226973811048083e-05"
R11183,"2.7.1,0.9984022974967957;2.7.4,0.00062606978463009;2.7.7,0.0003774177166633308;3.1.3,0.0002230284153483808;2.1.1,9.494675759924576e-05"
R02287,"2.1.2,0.9980707764625549;4.3.1,0.0004962547100149095;2.6.1,0.0003446195332799107;5.3.1,0.000246991403400898;1.1.3,0.0001357794099021703"
R05649,"1.2.1,0.9974949359893799;1.1.1,0.0013186467112973332;1.2.3,0.0008536074310541153;1.17.1,9.095798304770142e-05;1.2.99,4.987281499779783e-05"
R11561,"3.5.1,0.9814985394477844;3.4.11,0.012688095681369305;2.3.2,0.004359050188213587;6.3.1,0.0003208091075066477;3.4.19,0.0002471683837939054"
R13220,"1.1.1,0.9801977872848511;1.3.1,0.01784098520874977;2.3.1,0.0005644718767143786;1.-.-,0.0003299711679574102;1.2.1,0.00032945864950306714"
R04180,"3.1.3,0.6309682726860046;3.1.4,0.2610345780849457;3.6.1,0.07156359404325485;3.2.1,0.03167608752846718;2.3.1,0.001207489985972643"
R06595,"1.1.1,0.7253060936927795;4.2.1,0.20914308726787567;1.2.1,0.05388714000582695;1.1.5,0.00803700927644968;1.1.-,0.0012336059007793665"
R05720,"1.13.11,0.999987006187439;2.3.1,1.0310654033673927e-05;1.14.12,1.3829790077579673e-06;1.14.13,4.880914161731198e-07;1.14.-,2.9899692322032934e-07"
R00102,"3.2.2,0.6599799394607544;3.5.1,0.2509453594684601;2.4.2,0.06811686605215073;2.3.1,0.019148267805576324;3.2.1,0.00046972959535196424"
R11290,"1.1.1,0.9958940744400024;1.3.1,0.002413530834019184;1.16.1,0.00036334537435323;1.8.1,0.0002545588940847665;1.6.5,0.00022462900960817933"
R07826,"1.14.13,0.6841015219688416;1.14.18,0.1580260694026947;1.14.-,0.04053124785423279;1.14.14,0.038477830588817596;2.1.1,0.017301257699728012"
R10368,"1.14.21,0.9999071359634399;1.14.19,3.622438453021459e-05;1.3.3,2.680815669009462e-05;1.6.99,8.264588359452318e-06;1.10.99,3.3897879347932758e-06"
R12822,"1.-.-,0.6603596806526184;2.1.1,0.1214619129896164;4.2.1,0.10422472655773163;4.2.3,0.037854764610528946;1.1.1,0.03537380322813988"
R08791,"2.1.1,1.0;2.3.1,1.2747904953869238e-09;2.5.1,2.2013949690924406e-11;1.14.21,7.93980712340131e-13;2.2.1,6.393360233586387e-13"
R10447,"2.1.1,1.0;2.3.1,1.7349725036633e-14;6.-.-,5.139631811305564e-16;2.5.1,3.8984236117170024e-16;6.3.2,2.483089260974598e-16"
R08093,"4.2.1,0.9886206984519958;2.3.1,0.00276494724676013;3.1.2,0.002287156879901886;1.14.14,0.0019910933915525675;3.1.3,0.0012505401391535997"
R08050,"1.14.11,0.9988214373588562;1.14.20,0.0011296061566099524;4.1.1,2.3013586542219855e-05;2.6.1,9.785653674043715e-06;1.1.99,7.4794456850213464e-06"
R04695,"1.5.1,0.9999927282333374;1.5.99,3.9426608964276966e-06;1.19.1,1.1626619880189537e-06;1.14.13,4.33090718843232e-07;1.4.1,4.212336648379278e-07"
R08889,"1.13.11,0.5959710478782654;1.13.12,0.34034472703933716;1.14.99,0.03941602632403374;1.14.19,0.0037901538889855146;1.5.3,0.002907410031184554"
R00512,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R03508,"4.1.1,0.999910831451416;1.2.4,3.3851760235847905e-05;1.2.2,2.098890945489984e-05;4.4.1,6.913214747328311e-06;1.17.98,6.397021024895366e-06"
R00509,"2.7.4,0.740511417388916;2.7.1,0.20748527348041534;2.1.1,0.0456983745098114;2.7.2,0.002086911117658019;1.6.2,0.0005935762892477214"
R00224,"4.1.1,0.992921769618988;1.2.7,0.003350617131218314;4.1.3,0.0017512491904199123;1.2.4,0.0014574133092537522;4.4.1,0.0001246520841959864"
R02454,"1.1.1,0.994526207447052;1.2.1,0.004655173048377037;2.3.1,0.0004866374656558037;5.1.2,0.000134744550450705;2.7.1,0.00012474913091864437"
R09399,"6.3.2,0.5103960633277893;2.7.3,0.47036752104759216;2.7.1,0.014361817389726639;6.3.3,0.0009638078045099974;1.13.11,0.0007754600956104696"
R04256,"1.14.13,0.5438625812530518;1.14.14,0.19472633302211761;1.14.-,0.1526217758655548;1.14.15,0.0804663747549057;1.1.1,0.021917222067713737"
R12466,"2.3.1,0.9979318380355835;3.1.1,0.0015693913446739316;1.2.1,0.00021323731925804168;3.1.2,0.00018665415700525045;6.2.1,4.4963151594856754e-05"
R07143,"1.1.1,0.9999969005584717;1.2.1,1.2865266398875974e-06;1.-.-,9.900944633045583e-07;2.3.1,2.656632602793252e-07;1.1.99,2.0740687034503935e-07"
R09914,"5.4.99,0.9997784495353699;5.5.1,0.0001699029962765053;5.4.4,3.95852948713582e-05;1.-.-,3.631468416642747e-06;4.2.1,3.414960929148947e-06"
R03991,"2.3.1,0.9989180564880371;3.1.2,0.0009578812750987709;2.8.3,4.0137801988748834e-05;3.1.1,2.483185744495131e-05;2.3.3,1.971525307453703e-05"
R07483,"1.3.1,0.9997521042823792;1.14.13,7.537878263974562e-05;1.3.99,6.874347309349105e-05;1.1.1,3.803623258136213e-05;1.6.5,3.3132728276541457e-05"
R08261,"2.4.1,0.9999693632125854;2.7.7,2.528407276258804e-05;2.4.2,4.561120476864744e-06;6.2.1,1.632309931665077e-07;2.4.99,9.794023014819686e-08"
R04248,"1.1.3,0.26689231395721436;1.15.1,0.1897139698266983;1.11.1,0.10220237076282501;1.1.5,0.09834969788789749;1.8.3,0.07729257643222809"
R02466,"4.1.1,0.9968069791793823;2.3.1,0.0008876511128619313;3.5.1,0.0005683600320480764;4.2.1,0.00033092653029598296;1.17.99,0.00016491841233801097"
R12393,"6.2.1,0.9617972373962402;2.7.2,0.03641350939869881;2.3.1,0.0009384452714584768;2.7.1,0.00021071828086860478;6.3.1,0.00016924554074648768"
R02561,"1.14.13,0.8942910432815552;1.2.1,0.0821416825056076;1.14.14,0.009248398244380951;1.2.3,0.0034845967311412096;1.14.12,0.0029274611733853817"
R01976,"1.1.1,0.9853934645652771;2.3.1,0.011437807232141495;4.2.1,0.0011776306200772524;1.-.-,0.0005608972278423607;1.2.1,0.0005360856303013861"
R07449,"1.14.-,0.9524828791618347;1.1.1,0.037533972412347794;1.1.99,0.0022677863016724586;1.1.3,0.0020545904990285635;2.3.1,0.001641764072701335"
R11566,"4.2.1,0.999862790107727;2.3.1,4.507310222834349e-05;3.1.2,2.8902712074341252e-05;3.1.1,1.845410770329181e-05;3.2.1,6.300653694779612e-06"
R01786,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R11367,"6.2.1,0.9999613761901855;2.7.2,1.5714826076873578e-05;3.1.2,1.5145163160923403e-05;2.3.1,2.632520136103267e-06;2.1.1,2.3749973934172885e-06"
R04188,"2.6.1,0.9998692274093628;1.4.1,0.00010103237582370639;4.1.3,7.943393939058296e-06;1.4.11,7.883855687396135e-06;4.1.1,3.5534305879991734e-06"
R10283,"4.1.3,0.9972852468490601;4.1.2,0.0017500888789072633;1.1.99,0.0006214496097527444;4.2.1,7.612579793203622e-05;1.1.3,5.932337080594152e-05"
R10156,"1.1.1,0.9985697269439697;1.3.1,0.0008504922152496874;1.14.13,0.0003320689429529011;1.6.5,6.816865789005533e-05;1.6.99,4.942533269058913e-05"
R12261,"5.5.1,0.6252032518386841;4.2.3,0.3743898272514343;5.3.3,0.00037467392394319177;5.4.99,1.0651227967173327e-05;4.3.2,6.68273787596263e-06"
R11921,"4.99.1,0.9999648332595825;4.1.99,1.4344029295898508e-05;4.4.1,4.957996225130046e-06;2.5.1,3.6524168081086827e-06;1.14.14,2.856836545106489e-06"
R05518,"4.2.1,0.992651641368866;1.1.1,0.003108745673671365;3.7.1,0.001441104686819017;2.6.1,0.0007209207396954298;5.3.1,0.0005828762077726424"
R13402,"1.1.1,0.9987747073173523;1.3.1,0.0005514019285328686;1.2.1,0.0005009353626519442;2.3.1,6.687216955469921e-05;1.5.1,2.3036707716528326e-05"
R13145,"2.3.1,0.9986995458602905;3.1.2,0.0008154891547746956;1.3.1,0.00012520285963546485;1.2.4,0.00011933731730096042;2.1.1,8.408288704231381e-05"
R13376,"1.3.7,0.45269232988357544;4.-.-,0.24423201382160187;1.18.-,0.17706194519996643;1.3.-,0.04829768091440201;1.4.99,0.026795808225870132"
R07970,"1.14.13,0.9906300902366638;1.13.12,0.008760097436606884;1.3.98,0.00010837711306521669;4.1.99,8.995932148536667e-05;1.14.15,8.625172631582245e-05"
R01814,"1.14.16,0.6898607611656189;1.14.14,0.1616445779800415;3.5.4,0.037966955453157425;1.14.13,0.03744487091898918;1.5.3,0.02974512241780758"
R02174,"2.1.1,0.9999974966049194;1.4.3,2.5029764856299153e-06;1.3.98,3.972840900701158e-08;2.3.1,1.7304920163496718e-08;4.3.3,8.393816308682744e-09"
R00847,"2.7.1,0.9997991919517517;4.6.1,0.00012204806989757344;3.1.3,1.5933188478811644e-05;2.7.2,1.5277693819371052e-05;2.7.7,1.5045383406686597e-05"
R07186,"1.14.11,0.9035834670066833;1.14.20,0.05880141630768776;4.1.1,0.02663487382233143;1.13.12,0.0029035548213869333;1.4.11,0.0018965993076562881"
R05248,"1.13.11,0.9999756813049316;4.1.1,1.5042716768220998e-05;1.3.5,3.4523329759394983e-06;1.13.12,1.0752979733297252e-06;1.14.17,8.930104513638071e-07"
R03229,"2.1.1,1.0;2.3.1,7.474496577231093e-09;1.-.-,3.760477707004384e-09;2.5.1,1.4331569264669497e-09;3.3.1,6.602686175583017e-10"
R03918,"1.1.1,0.9981780052185059;1.2.1,0.0016208711313083768;1.11.1,5.154065729584545e-05;1.8.1,4.661908678826876e-05;1.6.5,3.276236020610668e-05"
R08229,"2.4.2,0.9999957084655762;3.2.2,3.70969837604207e-06;6.3.4,1.3232212836555846e-07;3.1.3,8.509662308142651e-08;2.7.8,7.972084858920425e-08"
R11426,"1.3.1,0.9999802112579346;1.1.1,8.487007107760292e-06;1.6.5,3.357353762112325e-06;2.5.1,1.2360724213067442e-06;5.3.3,9.34319473344658e-07"
R05385,"4.5.1,0.9999122619628906;2.5.1,3.446020491537638e-05;1.97.1,2.5159408323816024e-05;5.5.1,1.0123825632035732e-05;4.2.1,5.097365828987677e-06"
R04862,"1.1.1,0.9999935626983643;2.3.1,3.2566169920755783e-06;1.-.-,2.037903641394223e-06;1.14.13,4.797110477738897e-07;1.2.1,2.7999075769002957e-07"
R07978,"1.17.3,0.7200378775596619;1.14.14,0.23998503386974335;1.14.13,0.016699228435754776;1.17.5,0.0076291668228805065;1.2.3,0.004499410279095173"
R04135,"4.1.1,0.5089553594589233;2.1.2,0.23898272216320038;2.3.1,0.17768150568008423;2.5.1,0.024162862449884415;1.14.11,0.020630301907658577"
R08272,"1.14.14,0.8994170427322388;3.5.1,0.030078265815973282;1.14.13,0.021167144179344177;1.4.3,0.009057228453457355;4.2.1,0.00675050588324666"
R02158,"2.4.1,0.9999979734420776;2.7.7,7.891712812124752e-07;3.2.1,5.879260811525455e-07;2.4.2,1.921329157994478e-07;2.7.8,8.827798581023671e-08"
R07604,"1.2.4,0.5213999152183533;3.4.22,0.2237187772989273;1.97.1,0.09403865039348602;1.14.12,0.05979980528354645;3.4.21,0.056437909603118896"
R07770,"6.2.1,0.9617972373962402;2.7.2,0.03641350939869881;2.3.1,0.0009384452714584768;2.7.1,0.00021071828086860478;6.3.1,0.00016924554074648768"
R09792,"2.1.1,1.0;1.-.-,5.16095187419463e-11;2.3.1,1.4920910644186658e-12;3.3.1,4.647158309209476e-13;2.5.1,3.0108128989091154e-13"
R12347,"3.1.1,0.99998939037323;3.5.1,6.072246833355166e-06;2.3.1,3.572904915927211e-06;4.2.1,4.727174882646068e-07;3.1.2,2.565981276347884e-07"
R01150,"6.3.2,0.6286914348602295;2.7.3,0.25672632455825806;2.7.1,0.11188183724880219;2.1.1,0.0008590861107222736;2.7.4,0.00027106006746180356"
R02324,"2.7.1,0.9980056881904602;3.1.1,0.0005016543436795473;2.7.2,0.00048103180597536266;3.6.1,0.00033674854785203934;3.1.3,0.0002123953599948436"
R10781,"4.1.1,0.9990143775939941;1.1.1,0.0005945993470959365;5.3.3,0.00031530510750599205;2.7.1,4.603397974278778e-05;1.1.5,1.3743974704993889e-05"
R01608,"1.1.1,0.9756622314453125;1.2.1,0.02424231357872486;1.1.-,3.705021663336083e-05;1.-.-,1.5591444025631063e-05;1.5.1,1.4281189578468911e-05"
R09510,"1.14.11,0.9854985475540161;1.14.20,0.007117611821740866;1.1.99,0.00295759248547256;1.13.12,0.0026176541578024626;4.1.1,0.0009615669841878116"
R04112,"3.5.1,0.889477014541626;2.6.1,0.05980057269334793;2.7.8,0.02963429130613804;2.3.1,0.006594470236450434;4.2.1,0.0053024678491055965"
R08115,"1.13.11,0.9999520778656006;5.5.1,3.68629080185201e-05;1.14.14,5.966349363006884e-06;1.14.12,1.6273164646918303e-06;1.3.1,1.5259475958373514e-06"
R07880,"2.3.1,0.9998350143432617;3.1.2,0.00012522908218670636;3.1.1,2.1850264602107927e-05;6.2.1,1.2366480405034963e-05;1.2.1,4.059004822920542e-06"
R00010,"3.2.1,0.9998657703399658;3.7.1,5.4610285587841645e-05;5.4.99,3.399905835976824e-05;3.1.1,1.4925963114365004e-05;2.3.1,1.09005786725902e-05"
R01335,"3.7.1,0.9988903403282166;3.1.1,0.0008707396336831152;4.4.1,0.00013758496788796037;1.1.1,6.269576260820031e-05;4.1.2,1.9992956367786974e-05"
R00005,"3.5.1,0.999771773815155;3.5.3,9.658842463977635e-05;3.2.1,4.80751768918708e-05;3.1.1,3.578652103897184e-05;3.5.2,3.395280509721488e-05"
R09134,"1.13.11,0.997904896736145;1.14.12,0.000864101923070848;1.14.13,0.0007951276493258774;6.2.1,0.00022813987743575126;1.13.12,6.88722066115588e-05"
R02115,"3.1.1,0.9999939203262329;2.3.1,4.4902644731337205e-06;3.1.-,5.768074515799526e-07;3.5.1,2.751548890955746e-07;3.-.-,1.961337829925469e-07"
R01769,"1.17.3,0.6034579277038574;3.5.4,0.3361210227012634;1.17.1,0.04626088961958885;1.2.3,0.003757704980671406;1.11.1,0.003054586239159107"
R07812,"2.5.1,0.990756094455719;3.1.7,0.004058418795466423;4.2.1,0.0015570110408589244;4.2.99,0.0005573985981754959;4.1.2,0.0005007658619433641"
R12106,"1.3.1,0.9996510744094849;4.2.1,0.00012672929733525962;1.1.1,0.00010194168862653896;1.2.1,6.169040716486052e-05;1.6.2,1.200276346935425e-05"
R06865,"1.14.13,0.5847362875938416;1.14.16,0.20039981603622437;1.14.18,0.10058023035526276;1.14.15,0.03230863809585571;1.14.-,0.02587663009762764"
R05226,"3.5.1,0.9997871518135071;3.4.11,4.148507650825195e-05;1.13.12,3.0013125069672242e-05;3.2.1,1.824380160542205e-05;4.2.1,1.7414218746125698e-05"
R10434,"2.4.1,0.9982632994651794;2.4.2,0.0007630368927493691;2.7.7,0.0005704226205125451;6.2.1,8.4469465946313e-05;5.1.3,4.0571274439571425e-05"
R07298,"3.1.3,0.9400359392166138;3.6.1,0.0575982928276062;2.7.1,0.0013929677661508322;3.1.4,0.0006919548031874001;4.2.3,0.00014079401444178075"
R04199,"1.17.1,0.9999436140060425;1.7.1,2.068338835670147e-05;1.17.98,8.115342097880784e-06;1.2.1,7.028623713267734e-06;1.4.1,3.900655883626314e-06"
R02396,"2.3.1,0.99989914894104;3.1.2,4.2384966945974156e-05;1.1.1,1.748901922837831e-05;3.1.1,1.6127150956890546e-05;1.14.13,1.3998489521327429e-05"
R08807,"2.3.1,0.9999983310699463;3.1.2,9.508038942840358e-07;3.1.1,4.1957895291488967e-07;4.2.1,2.228231039680395e-07;1.2.7,4.849272983165065e-08"
R02303,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R05409,"1.13.11,0.9999154806137085;6.2.1,4.879248081124388e-05;1.14.12,1.779006743163336e-05;2.7.7,1.463847092963988e-05;1.14.99,1.0350509001000319e-06"
R04108,"2.4.1,0.9999653100967407;2.7.7,2.0607227270375006e-05;3.2.1,6.967569333937718e-06;3.1.1,2.8629146981984377e-06;2.7.8,7.576996381430945e-07"
R10539,"1.14.11,0.9967619180679321;1.14.20,0.0029732463881373405;1.4.11,0.0001882012002170086;1.1.5,1.61281022883486e-05;1.2.4,9.894611139316112e-06"
R01218,"1.5.1,0.9956448078155518;3.5.4,0.0021122058387845755;6.3.3,0.0005721060442738235;1.8.1,0.0003073831903748214;1.5.99,0.0002626776695251465"
R11791,"3.2.1,0.9999372959136963;2.4.1,4.389239984448068e-05;3.2.2,3.6063004245079355e-06;3.6.1,2.8570141239470104e-06;5.1.3,2.8480806122388458e-06"
R09689,"5.4.99,0.9999979734420776;5.4.1,2.0290774500608677e-06;5.4.4,3.1246352172331626e-09;5.-.-,3.8773159682925495e-10;5.5.1,7.173913546543176e-11"
R01877,"3.1.3,0.669396698474884;3.1.4,0.23327648639678955;3.6.1,0.08342061191797256;3.6.2,0.003350780578330159;2.7.3,0.0024045947939157486"
R10039,"3.2.1,0.9999599456787109;2.4.1,9.529738235869445e-06;3.4.13,7.1615872911934275e-06;4.1.2,5.507752121047815e-06;2.3.1,2.745622168731643e-06"
R10834,"2.4.1,0.9995697140693665;3.2.1,0.00040758270188234746;5.1.3,1.1021327736671083e-05;2.7.7,1.0130534974450711e-05;2.4.2,9.19478509331384e-07"
R05304,"5.4.2,0.7947638630867004;2.7.1,0.0988226979970932;1.6.2,0.021750522777438164;2.3.1,0.010072034783661366;5.1.3,0.008968579582870007"
R10268,"4.2.1,0.9999933242797852;2.3.1,3.876935807056725e-06;5.4.4,6.359999247251835e-07;1.14.14,2.3278280991689826e-07;1.-.-,2.1579457154530246e-07"
R12881,"2.5.1,0.9182366728782654;1.14.14,0.052134834229946136;5.3.3,0.019542790949344635;5.3.99,0.004318417049944401;2.7.1,0.001084946095943451"
R08572,"2.7.4,0.5128358602523804;2.7.1,0.4819701313972473;2.1.1,0.0016623219707980752;6.2.1,0.0013565606204792857;2.7.2,0.000648972752969712"
R07255,"2.3.1,0.7730584740638733;1.14.13,0.22294890880584717;1.-.-,0.0027396546211093664;4.2.1,0.0007666719611734152;4.3.3,0.000387217674870044"
R02395,"1.1.1,0.9990584254264832;2.3.1,0.0009087707148864865;1.-.-,1.2649355085159186e-05;1.14.13,1.1172985978191718e-05;1.14.11,3.9108149394451175e-06"
R08146,"1.2.1,0.9974527955055237;1.1.1,0.0023312843404710293;1.5.1,6.227166159078479e-05;1.2.3,5.945296288700774e-05;1.3.1,3.851857763947919e-05"
R07625,"1.-.-,0.789663553237915;2.1.1,0.10052274167537689;2.3.1,0.09230645000934601;2.5.1,0.007917569018900394;1.14.14,0.004807912278920412"
R09306,"1.1.1,0.9995903372764587;1.14.13,0.00016948750999290496;1.3.1,0.00010862873023143038;1.1.-,6.561257760040462e-05;1.-.-,3.410613498999737e-05"
R12458,"2.1.1,1.0;2.3.1,2.9265091683328137e-08;2.5.1,3.995220154706658e-09;1.3.-,3.2946942951639357e-09;4.1.1,1.9445798304928985e-09"
R03183,"1.1.1,0.9989892840385437;1.3.1,0.0006051359814591706;1.2.1,0.0001398877357132733;1.-.-,6.237400521058589e-05;1.8.1,3.2210678909905255e-05"
R01016,"4.2.3,0.9672734141349792;4.1.2,0.031131496652960777;3.1.3,0.0008591960067860782;1.1.1,0.0001599186798557639;2.5.1,0.00013856659643352032"
R07300,"3.5.1,0.9282596111297607;3.1.1,0.06888900697231293;3.1.2,0.0011043320409953594;4.2.1,0.0006159581243991852;2.3.1,0.00025259432732127607"
R12405,"1.1.1,0.9996808767318726;1.14.-,0.00018735561752691865;1.3.1,6.956290599191561e-05;1.14.13,2.6929967134492472e-05;1.-.-,9.268210305890534e-06"
R10867,"3.2.1,0.9998250603675842;3.7.1,0.00012952263932675123;2.4.1,3.4377440897515044e-05;4.2.1,2.5301590085291537e-06;5.3.1,2.2396500298782485e-06"
R08006,"2.4.1,0.9999890327453613;3.2.1,7.875782102928497e-06;2.7.7,1.6750350368965883e-06;2.4.2,5.144179340277333e-07;5.1.3,2.776693861505919e-07"
R02136,"2.7.1,0.9167584180831909;4.6.1,0.06497018784284592;1.1.1,0.01787904091179371;1.1.99,0.00025490656844340265;5.1.3,3.7622001400450245e-05"
R00686,"3.4.17,0.6003260612487793;5.1.1,0.3689855933189392;3.4.11,0.01054998580366373;3.4.16,0.007980463095009327;3.4.13,0.005770031362771988"
R08654,"4.4.1,0.9857347011566162;4.1.99,0.007076449226588011;4.3.1,0.005996793508529663;2.5.1,0.00039193552220240235;1.14.-,0.00012953381519764662"
R06586,"2.6.1,0.9352604150772095;1.1.99,0.019160041585564613;4.3.1,0.015372528694570065;2.4.1,0.011152848601341248;1.4.1,0.005063146818429232"
