reaction,EC_number_predicted
147,4.2.1.98;1.14.13.197;3.1.7.12;4.2.3.141;4.3.3.3;4.2.99.20;3.7.1.21;1.1.1.394;2.3.1.85;3.2.1.186;5.5.1.6;4.1.1.56;4.3.1.9;1.2.1.31;1.4.1.18;3.3.1.1;2.5.1.119;3.5.5.4;1.17.98.2;1.3.8.6;1.1.3.47;3.5.1.110;2.7.8.23
136,
118,
148,3.1.3.25;3.1.4.44;4.6.1.13;4.2.3.1;3.6.1.20;3.1.7.3;3.1.1.42;3.2.1.42;3.1.5.1;2.4.1.17;3.1.6.1;5.1.3.14;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
150,1.5.3.7;1.3.3.10;2.6.1.82;1.4.3.3;1.21.3.3;1.5.1.1;2.5.1.46
152,
102,
140,2.5.1.39;1.3.1.96;2.4.1.192;2.4.2.34;2.1.3.12;4.4.1.20
115,6.2.1.25;3.1.2.23;4.2.1.155;2.3.1.85
103,
107,
135,
149,
109,
132,
279,1.14.13.69;1.14.14.1;1.14.15.3;1.14.12.12;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.11.28;1.10.3.4;1.14.16.4;1.14.19.18
256,
296,
262,2.7.4.14;2.7.1.82;2.7.2.6;6.3.5.5;2.7.3.8;2.7.11.15;2.7.14.1;2.7.7.14;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
274,6.2.1.2;3.1.2.18;4.2.1.155;2.3.1.85
276,
305,3.1.7.8;3.1.1.37;3.1.5.1;3.1.6.2;3.1.3.76;3.2.1.42;2.4.1.17;5.1.3.14;3.6.1.57;3.1.4.44;4.2.3.1;4.6.1.13;3.11.1.3;3.7.1.8;3.1.2.27;2.3.1.85;4.2.1.155
300,
299,2.7.1.40;2.7.3.10;2.7.14.1;2.7.2.14;6.3.5.5;2.7.11.7;2.7.7.4;2.7.4.26;2.7.6.3;2.7.10.1;2.7.12.1;2.7.99.1;2.7.8.28
283,
267,1.1.1.226;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;5.4.99.3;4.1.1.5;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
261,
286,3.1.7.3;3.1.3.75;3.6.1.7;3.11.1.1;4.2.3.1;3.1.4.46;3.1.5.1;3.1.1.64;3.2.1.42;2.4.1.17;3.1.2.16;3.1.6.1;5.1.3.14;4.2.1.155;3.7.1.8;2.3.1.85;4.6.1.13
259,1.2.1.22;1.1.1.2;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.56;1.1.3.39;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
258,
282,2.4.99.12;2.4.1.92;2.4.2.27
277,1.14.13.239;1.13.11.52;1.13.12.23;1.13.99.1
290,
264,1.1.1.254;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;1.1.99.9;4.1.1.3;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
304,1.1.1.392;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.4.3.5;4.2.1.155;1.1.5.4
271,
266,
275,
287,3.5.5.6;3.5.1.4;3.5.99.8;3.1.1.1;3.5.2.16;3.4.13.22;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.11.1;2.3.2.2;4.2.1.48;3.4.19.13;3.4.17.8;3.4.14.13;3.5.4.1;3.13.1.6;3.5.3.21;1.2.7.12;3.8.1.8;2.1.2.3;4.3.2.4
302,
255,
298,2.6.1.105;2.7.8.29;2.6.99.2
301,
280,1.1.1.27;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.5;5.4.99.3;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
295,
284,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
269,
260,
303,
293,1.21.3.3;1.3.3.10;1.5.3.12;1.5.1.27;1.4.3.3;2.6.1.82;2.5.1.46
294,3.2.1.22;3.1.1.93;3.2.2.11;4.3.3.5
285,3.1.1.17;3.7.1.8;3.11.1.3;3.1.3.1;4.2.1.155;3.1.2.4;3.2.1.175;3.6.1.7;3.1.6.17;3.1.4.2;2.3.1.85;4.2.3.1;3.1.7.5;3.1.5.1;4.6.1.13;2.4.1.17;5.1.3.14
263,1.2.3.15;1.2.4.2;1.1.3.17;1.2.1.4;1.2.5.1;1.1.1.314;1.8.1.4;2.3.1.61;1.17.1.9;1.3.1.20
292,
265,
273,3.5.1.53;2.3.2.2;3.5.3.12;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.13.4;3.5.5.1;3.4.11.1;3.4.19.13;3.4.14.13;3.5.2.2;3.4.17.21;4.2.1.48;3.1.1.1;3.13.1.6;3.5.4.1;1.2.7.12;3.5.99.6;2.1.2.3;3.8.1.8;4.3.2.4
288,1.2.1.3;1.1.1.1;1.17.1.9;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.1.3.39;1.2.3.1;1.2.5.1
291,
272,4.3.1.31;4.3.3.1;4.3.2.6;4.2.1.87;3.5.99.5
257,
270,
281,
289,1.14.13.138;1.14.14.1;1.14.12.12;1.14.15.3;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.4;1.10.3.4;1.14.11.20;1.14.19.19
278,
268,
297,
