Reaction ID,Theia
R03123,"1.1.1,0.98309326171875;1.6.5,0.0025641140528023243;1.3.1,0.002426831517368555;1.5.1,0.0021808359306305647;1.14.14,0.0014908361481502652"
R09956,"1.1.1,0.9955165982246399;1.3.1,0.0017859244253486395;1.14.-,0.0017190872458741069;1.14.13,0.000443544500740245;1.-.-,0.0001808441593311727"
R01181,"5.4.99,0.9879240393638611;2.3.1,0.005458056461066008;1.3.99,0.002922403858974576;5.4.1,0.002445570193231106;2.8.3,0.0006881847511976957"
R06895,"1.3.98,0.9976038336753845;4.1.1,0.001989647513255477;1.3.3,0.00017905430286191404;1.3.5,4.763471588375978e-05;1.3.4,3.327691592858173e-05"
R02584,"2.7.1,0.4711686372756958;2.7.9,0.29139411449432373;2.7.10,0.11293777823448181;2.7.12,0.0877697616815567;2.7.7,0.00894416868686676"
R12634,"3.2.1,0.9988757967948914;5.3.1,0.0005601616576313972;2.4.1,0.00033861404517665505;2.3.1,0.00013264843437355012;3.1.1,3.253782051615417e-05"
R00127,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R01231,"6.3.5,0.9946752786636353;3.5.1,0.003720017848536372;6.3.4,0.0012088214280083776;4.2.1,9.974374552257359e-05;3.5.4,8.69013529154472e-05"
R05559,"3.5.4,0.9977620840072632;6.3.4,0.0011252925032749772;3.5.99,0.0003232995222788304;1.14.15,0.0002908362657763064;3.3.1,0.00013479289191309363"
R13407,"4.1.2,0.8992027044296265;1.1.1,0.04700659587979317;2.7.1,0.02278149127960205;6.3.2,0.006543569732457399;4.1.1,0.0064570000395178795"
R11229,"2.7.4,0.47723376750946045;2.7.1,0.47656700015068054;2.7.7,0.031284939497709274;6.2.1,0.008054479025304317;2.1.1,0.0024282950907945633"
R05548,"3.1.8,0.9998229146003723;3.1.4,7.099792128428817e-05;3.1.1,7.078130875015631e-05;3.1.3,8.171541594492737e-06;3.1.2,5.220009825279703e-06"
R05052,"2.6.1,0.9808789491653442;2.3.1,0.006667222362011671;2.5.1,0.0023772146087139845;6.2.1,0.0014964606380090117;5.1.3,0.00112991314381361"
R03188,"3.5.3,0.9864338636398315;3.5.4,0.007939238101243973;2.1.2,0.004548021126538515;3.5.99,0.000501081405673176;1.4.3,0.00044004968367516994"
R13382,"5.3.1,0.3932127356529236;1.14.14,0.15048643946647644;2.3.1,0.09457751363515854;1.2.3,0.07006572932004929;4.1.1,0.058348894119262695"
R11298,"2.6.1,0.9999986886978149;5.1.99,1.1126124945803895e-06;5.1.1,1.1419420786751289e-07;2.8.1,2.5269565995245102e-08;1.4.7,1.7866794266296893e-08"
R09608,"4.2.3,0.679783284664154;1.14.13,0.3033379018306732;5.5.1,0.007434376981109381;4.3.2,0.0044667962938547134;1.1.1,0.0018329352606087923"
R08824,"2.4.1,0.9907076358795166;2.4.2,0.009199338033795357;2.3.1,4.865755545324646e-05;3.2.1,1.7736458175932057e-05;2.7.7,1.4682375876873266e-05"
R12364,"4.2.3,0.9941027760505676;4.2.1,0.005881444085389376;4.3.2,8.28714019007748e-06;4.1.99,1.4780575838813093e-06;5.4.4,1.1037396916435682e-06"
R08124,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R11193,"2.1.1,0.9999853372573853;2.5.1,1.1802290828200057e-05;2.3.1,7.87182955264143e-07;4.4.1,6.876921361254063e-07;6.3.2,2.7886653697350994e-07"
R04368,"2.1.1,0.9998453855514526;2.7.1,0.0001527354324935004;1.14.19,8.511130431543279e-07;2.7.2,3.2540899042032834e-07;2.3.1,1.544217127502634e-07"
R02976,"2.7.1,0.812363862991333;3.1.3,0.11025133728981018;2.7.11,0.04995720461010933;3.1.4,0.011682514101266861;3.6.1,0.00495277950540185"
R12452,"1.14.11,0.5394322872161865;1.13.11,0.4414162039756775;1.14.20,0.010092290118336678;1.4.11,0.003879568073898554;4.1.1,0.003591714659705758"
R02670,"1.11.1,0.9999911785125732;1.11.2,7.555368028988596e-06;1.14.21,4.2778526676556794e-07;1.3.1,3.604859557526652e-07;1.11.-,1.514278267222835e-07"
R11790,"3.2.1,0.7865961790084839;3.1.4,0.057127416133880615;3.4.11,0.041578587144613266;3.6.1,0.032747674733400345;3.4.17,0.02603428065776825"
R00081,"1.7.2,0.9320713877677917;1.9.3,0.045687925070524216;1.7.3,0.010252950713038445;1.8.2,0.0022921375930309296;1.11.1,0.00130974012427032"
R00256,"3.5.1,0.998700737953186;1.4.1,0.00048677725135348737;6.3.5,0.00012676829646807164;3.5.5,0.0001112280588131398;1.4.3,9.036424307851121e-05"
R04744,"4.2.1,0.9061460494995117;2.3.1,0.09357830137014389;3.1.1,0.00017096896772272885;3.1.2,1.868647086666897e-05;1.14.99,1.2841199350077659e-05"
R03417,"3.1.1,0.9999808073043823;3.-.-,7.191933946160134e-06;3.1.2,3.8058340123825474e-06;2.3.1,3.277634505138849e-06;3.3.2,2.411766217846889e-06"
R09250,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R06945,"1.14.15,0.6486998200416565;1.14.13,0.31639835238456726;1.6.3,0.012070988304913044;1.14.14,0.0070532201789319515;1.14.99,0.004132429137825966"
R07379,"3.1.1,0.9973700046539307;2.3.1,0.0017474122578278184;3.-.-,0.0005901981494389474;3.1.2,0.00028490947443060577;3.1.-,2.54127098742174e-06"
R11051,"1.1.1,0.9983515739440918;5.3.1,0.0009478338761255145;1.-.-,0.00019043197971768677;1.2.1,9.516565478406847e-05;4.2.1,8.161372534232214e-05"
R04859,"1.8.1,0.24089279770851135;1.8.4,0.1667158603668213;1.17.4,0.1660318523645401;1.11.1,0.11200322955846786;1.8.7,0.08631709963083267"
R01754,"2.7.1,0.975781261920929;2.7.7,0.009117260575294495;2.4.1,0.004660746548324823;2.1.1,0.003820854937657714;2.7.4,0.0033129574730992317"
R01416,"3.5.3,0.7052730321884155;3.5.1,0.29339149594306946;3.5.5,0.0004410862165968865;3.5.4,0.00013055205636192113;4.2.1,0.0001185271394206211"
R12258,"4.2.3,0.6501579284667969;5.5.1,0.34864160418510437;5.3.3,0.0003935312561225146;2.7.8,0.00019137762137688696;2.5.1,0.00011483811977086589"
R07499,"1.3.1,0.9707944989204407;1.1.1,0.02198295295238495;1.6.5,0.004601187538355589;2.3.1,0.000979250413365662;1.2.1,0.0002817366039380431"
R05676,"2.1.1,1.0;1.-.-,2.236841354502639e-12;2.3.1,5.878096945820255e-14;2.5.1,5.178940026937147e-14;3.3.1,1.1983332552710328e-14"
R12916,"2.4.1,0.9952419996261597;2.4.2,0.0032384535297751427;6.2.1,0.0003667536948341876;6.3.2,0.00033594778506085277;2.7.7,0.0002751375432126224"
R06951,"5.3.99,0.9999654293060303;4.2.1,8.888418960850686e-06;5.99.1,8.103384971036576e-06;5.1.3,2.803185907396255e-06;2.3.1,2.378211547693354e-06"
R08708,"5.1.3,0.9840158224105835;5.3.1,0.013296538963913918;1.1.99,0.0005112470244057477;5.1.2,0.0004716694529633969;4.2.1,0.0003877374401781708"
R01374,"4.3.1,0.755975604057312;4.2.1,0.13308089971542358;2.5.1,0.09101764112710953;2.1.1,0.013645324856042862;2.1.2,0.003634447231888771"
R02334,"3.2.1,0.9999954700469971;2.4.1,1.916654809974716e-06;3.7.1,1.8045617480311194e-06;3.1.1,5.565605079027591e-07;5.1.3,6.952327424869509e-08"
R12313,"5.1.1,0.9996609687805176;3.4.13,0.00016416708240285516;2.6.1,7.198240928119048e-05;3.4.17,2.155414767912589e-05;1.5.99,1.3402586773736402e-05"
R05716,"1.8.1,0.9994219541549683;1.1.1,0.0003514752315822989;1.8.4,5.6409367971355096e-05;1.6.4,4.4626543967751786e-05;1.8.5,3.475360063021071e-05"
R11100,"3.5.99,0.6588765978813171;4.3.1,0.19208791851997375;1.4.3,0.08111871033906937;1.5.99,0.03984212130308151;3.5.4,0.0059595112688839436"
R02584,"2.7.1,0.4711686372756958;2.7.9,0.29139411449432373;2.7.10,0.11293777823448181;2.7.12,0.0877697616815567;2.7.7,0.00894416868686676"
R04913,"2.6.1,0.9999960660934448;1.4.1,2.644105052240775e-06;4.3.1,1.3322048744157655e-06;1.4.3,1.0059951094376629e-08;4.1.1,3.5345018023491548e-09"
R10741,"1.14.20,0.9995167255401611;3.4.13,7.843889761716127e-05;3.4.17,5.43489441042766e-05;3.6.1,5.282873462419957e-05;1.13.12,4.9217851483263075e-05"
R10278,"4.4.1,0.997902512550354;2.3.1,0.0015627023531123996;1.13.11,0.00044329967931844294;3.7.1,1.835790135373827e-05;4.1.3,1.6801937817945145e-05"
R01764,"4.1.1,0.9998525381088257;1.1.1,0.00013973037130199373;5.3.2,2.8950730666110758e-06;1.1.3,7.089183213793149e-07;4.1.2,6.960424911994778e-07"
R13359,"2.3.1,0.8668457269668579;1.14.11,0.0633624792098999;1.1.1,0.023089027032256126;2.6.1,0.014468579553067684;4.1.2,0.007670776452869177"
R12640,"6.2.1,0.7729471921920776;3.6.1,0.11748269200325012;2.7.1,0.08339960128068924;3.-.-,0.008595782332122326;6.3.2,0.007123863790184259"
R11837,"4.2.3,0.9996240139007568;4.2.1,0.0003732200711965561;1.14.13,8.68438576162589e-07;4.3.2,8.194663791982748e-07;4.1.99,3.1582578685629414e-07"
R11242,"3.1.1,0.9994813799858093;3.1.2,0.0002120010176440701;3.5.1,0.00014601816656067967;4.2.1,6.935257988516241e-05;2.3.1,1.579524905537255e-05"
R01945,"2.3.1,0.9973594546318054;3.1.1,0.0025497395545244217;3.1.2,8.915834769140929e-05;2.5.1,6.198316100380907e-07;4.1.2,4.1941984818549827e-07"
R07177,"1.8.5,0.8221858143806458;1.6.5,0.12829409539699554;1.1.5,0.023383237421512604;1.11.1,0.009758605621755123;1.3.5,0.002035379409790039"
R12384,"2.4.1,0.9990177154541016;2.7.7,0.000741377763915807;3.2.1,7.995509804459289e-05;2.3.1,6.84451442793943e-05;5.4.99,2.9980274121044204e-05"
R12854,"2.1.1,1.0;1.-.-,1.499253721171101e-09;2.3.1,3.5298906159164645e-11;2.5.1,1.2776030233752067e-11;3.3.1,7.615686727080462e-12"
R07891,"2.3.1,0.9915733933448792;3.1.2,0.004672247916460037;2.8.3,0.003276666859164834;3.2.1,0.00014236042625270784;3.1.1,0.00012983009219169617"
R08373,"5.5.1,0.7342961430549622;4.2.3,0.20403622090816498;5.3.3,0.05942392349243164;2.5.1,0.0008288822136819363;4.2.1,0.0007611562614329159"
R01080,"3.2.2,0.9996378421783447;2.4.2,0.00023722938203718513;3.1.1,4.9412792577641085e-05;3.5.1,2.9612650905619375e-05;2.3.1,1.3250975825940259e-05"
R04495,"2.4.2,0.9554303884506226;2.3.1,0.03876255825161934;2.4.1,0.002421022392809391;2.7.6,0.001264936407096684;5.1.3,0.0005763787194155157"
R07001,"1.14.14,0.6545154452323914;1.14.13,0.3339366018772125;1.14.-,0.006432727444916964;1.14.12,0.004096540156751871;1.14.99,0.0007641867850907147"
R01533,"3.1.8,0.9613134860992432;3.1.4,0.01944117248058319;3.1.1,0.015443637035787106;3.2.1,0.002391755348071456;3.1.2,0.0007072064909152687"
R10040,"3.2.1,0.9999444484710693;4.1.2,1.0067202310892753e-05;2.4.1,8.262579285656102e-06;3.1.4,6.5794783949968405e-06;4.2.1,3.963589733757544e-06"
R06927,"1.1.1,0.9811286926269531;1.3.1,0.008926132693886757;1.2.1,0.00615688506513834;1.-.-,0.0032912997994571924;1.1.99,0.00011024058039765805"
R08540,"4.2.3,0.8544358015060425;5.5.1,0.09718626737594604;2.5.1,0.022546835243701935;4.2.1,0.01464955322444439;5.3.3,0.008149622939527035"
R04575,"2.4.1,0.9705668091773987;2.3.1,0.012004747055470943;2.7.7,0.011806164868175983;2.4.2,0.0018313773907721043;2.7.8,0.0008843567920848727"
R01669,"2.1.2,0.9929976463317871;3.5.4,0.00552619993686676;3.5.99,0.00032577087404206395;3.2.1,0.00026666856138035655;6.3.4,0.0002618456492200494"
R10874,"2.4.1,0.9733437299728394;2.3.1,0.007449026219546795;2.7.1,0.005067518912255764;2.7.7,0.0042437100782990456;5.4.99,0.0011797980405390263"
R07174,"1.7.2,0.9576670527458191;1.7.99,0.04178113490343094;1.7.3,0.0001337404828518629;1.10.2,0.00010207249579252675;1.1.2,8.564747258787975e-05"
R12873,"1.3.-,0.9989305138587952;4.3.1,0.00032837328035384417;6.3.3,0.00024353367916774005;2.-.-,0.00011082086712121964;1.14.11,5.5895186960697174e-05"
R03228,"5.1.99,0.9982283711433411;1.14.-,0.0006444136379286647;2.6.1,0.0006113219424150884;2.7.8,0.00014772046415600926;5.1.1,9.012368536787108e-05"
R08809,"2.3.1,0.9999983310699463;3.1.2,9.508038942840358e-07;3.1.1,4.1957895291488967e-07;4.2.1,2.228231039680395e-07;1.2.7,4.849272983165065e-08"
R05334,"1.4.3,0.9984392523765564;1.5.3,0.0005938326357863843;3.5.4,0.0005575579707510769;1.5.99,0.0002689922694116831;4.1.99,6.350097828544676e-05"
R07613,"1.4.3,0.5687416195869446;2.6.1,0.2633557915687561;1.5.99,0.1099942997097969;1.4.1,0.029846858233213425;3.5.99,0.01856798306107521"
R09000,"2.5.1,0.9996370077133179;5.3.3,0.00016175341443158686;2.4.1,6.365954322973266e-05;5.3.99,3.26711124216672e-05;1.1.99,1.2958975275978446e-05"
R09786,"1.14.13,0.986983060836792;4.1.99,0.004435341339558363;1.14.14,0.0018637721659615636;1.13.12,0.0013708050828427076;1.14.15,0.0008317632600665092"
R02191,"2.3.1,0.999397873878479;3.1.1,0.00031341053545475006;2.6.1,8.816324407234788e-05;6.2.1,5.779923958471045e-05;3.1.2,4.299315332900733e-05"
R05771,"4.2.1,0.9999192953109741;2.3.1,1.494359730713768e-05;4.1.99,1.3816416867484804e-05;1.14.14,1.1370440915925428e-05;2.1.2,1.0039088010671549e-05"
R00490,"4.3.1,0.9893677830696106;4.3.2,0.002424591453745961;3.5.5,0.0017107680905610323;2.3.1,0.0015845575835555792;1.3.5,0.0014944400172680616"
R00223,"4.3.1,0.995722770690918;4.4.1,0.0025787369813770056;2.5.1,0.000452555890660733;5.1.1,0.0002912920026574284;3.5.99,0.00025586140691302717"
R10586,"2.1.1,1.0;2.3.1,8.158821708514896e-12;3.4.19,5.280607548452387e-12;3.1.1,2.7785954960501957e-12;3.5.1,4.888681690365382e-13"
R00264,"1.2.1,0.8846319317817688;1.1.1,0.10598886758089066;1.5.1,0.004948852118104696;1.4.1,0.0015652475412935019;1.2.3,0.0006812612409703434"
R09089,"2.6.1,0.9999579191207886;1.1.1,4.025625821668655e-05;2.3.1,9.849073876466719e-07;1.1.2,4.288759782866691e-07;1.1.99,2.7831717375192966e-07"
R13080,"3.5.4,0.9997425675392151;3.5.99,0.00010668826871551573;3.3.1,2.5677174562588334e-05;3.4.17,2.2250964320846833e-05;1.11.1,1.3485072486218996e-05"
R09159,"1.14.12,0.9987138509750366;1.3.1,0.0011518328683450818;1.14.21,2.7606403818936087e-05;1.13.11,2.4491833755746484e-05;1.14.13,2.3969721951289102e-05"
R02030,"2.7.8,0.9965758919715881;2.7.1,0.0026107472367584705;3.6.1,0.00019814059487544;3.1.3,0.00014848624414298683;2.3.1,0.0001142863038694486"
R00624,"1.1.1,0.9999188184738159;1.3.1,2.3809612684999593e-05;1.1.98,1.751760828483384e-05;1.2.1,1.402369889547117e-05;1.-.-,5.006459105061367e-06"
R05835,"3.5.1,0.9955755472183228;3.4.11,0.0029673664830625057;3.4.13,0.0008385329274460673;3.1.1,0.0003662339295260608;4.2.1,4.7436195018235594e-05"
R05381,"4.3.3,0.657788872718811;2.5.1,0.16614718735218048;4.1.2,0.09609182924032211;4.1.1,0.035074979066848755;4.2.1,0.02094879187643528"
R06366,"1.2.1,0.9214553833007812;1.1.1,0.07844823598861694;1.14.14,2.4319644580828026e-05;1.11.1,1.374855673930142e-05;4.2.1,1.2337343832768966e-05"
R02665,"1.13.11,0.9997527003288269;1.14.12,0.0002331096475245431;1.14.13,3.2493835533387028e-06;1.14.-,2.7124485768581508e-06;1.13.12,1.7704254560158006e-06"
R09724,"3.1.1,0.9935221076011658;3.5.1,0.0025003438349813223;3.2.1,0.0014927444281056523;4.2.1,0.000969983811955899;3.4.11,0.0005495972000062466"
R03238,"2.7.1,0.9992071986198425;2.3.1,0.0005405024276115;2.7.4,7.397148146992549e-05;2.1.1,6.495016714325175e-05;2.7.2,4.700841964222491e-05"
R02456,"1.1.1,0.998387336730957;1.2.1,0.001073294784873724;2.3.1,0.0004922747611999512;1.4.1,1.8545859347796068e-05;2.7.1,7.807394467818085e-06"
R07145,"1.1.1,0.9730554819107056;2.3.1,0.01872451789677143;1.3.1,0.005064793396741152;2.7.1,0.0015937909483909607;1.2.1,0.0005626480560749769"
R09892,"4.2.3,0.9999842643737793;5.5.1,1.2927785064675845e-05;4.3.2,2.3728396172373323e-06;3.1.7,1.4523293145884963e-07;1.3.-,1.0126311877911576e-07"
R01496,"2.3.1,0.9999978542327881;6.2.1,1.2589601965373731e-06;1.2.1,4.996129518985981e-07;4.1.2,1.764721986319273e-07;2.4.1,8.421535113711798e-08"
R08274,"1.14.14,0.5591974854469299;1.14.13,0.4397432804107666;1.14.99,0.0009137470624409616;1.13.12,5.440392851596698e-05;1.14.-,3.9504993765149266e-05"
R00113,"1.11.1,0.9052639007568359;1.2.1,0.06413355469703674;1.17.1,0.009129000827670097;1.6.99,0.005770484451204538;1.8.1,0.0037173288874328136"
R02815,"3.5.4,0.9882277846336365;3.5.99,0.0026655099354684353;1.7.1,0.002359464531764388;3.5.1,0.0016462013591080904;1.7.2,0.0013887122040614486"
R04072,"2.4.1,0.728925883769989;3.1.4,0.2326853722333908;2.4.2,0.01989256776869297;3.6.1,0.00868841353803873;3.1.3,0.00575865525752306"
R10804,"2.3.1,0.6061767935752869;5.1.3,0.24835534393787384;2.4.2,0.11844004690647125;2.7.7,0.02507340908050537;2.4.1,0.0006291820900514722"
R10407,"2.7.1,0.9999960660934448;2.7.3,2.1339044451451628e-06;2.7.13,1.3273781860334566e-06;2.7.11,2.8639405513786187e-07;2.3.1,5.886574072633266e-08"
R11718,"4.1.2,0.999924898147583;4.2.1,2.3767606762703508e-05;2.3.1,1.0019498404290061e-05;4.1.3,8.826522389426827e-06;4.2.3,7.479850410163635e-06"
R07081,"1.14.14,0.8034565448760986;1.14.13,0.1933462768793106;1.14.-,0.0022688936442136765;1.14.12,0.000868375354912132;1.14.99,3.058547372347675e-05"
R03577,"1.1.1,0.9999721050262451;1.3.1,1.435667036275845e-05;1.-.-,4.185335001238855e-06;1.6.5,1.6924028614084818e-06;2.4.1,1.4682719893244212e-06"
R12761,"4.2.1,0.9914284348487854;1.1.1,0.0024877781979739666;3.1.2,0.001088568358682096;5.3.99,0.0009593375725671649;3.7.1,0.0007254845695570111"
R12724,"1.17.98,0.3399633467197418;1.3.98,0.14556124806404114;4.1.1,0.14353513717651367;1.17.1,0.1422925591468811;1.17.99,0.12221954762935638"
R11106,"1.14.19,0.9999918937683105;1.14.14,4.216052730043884e-06;1.9.3,1.980166643988923e-06;1.3.3,6.014269047227572e-07;1.14.99,3.727239459294651e-07"
R01207,"5.1.3,0.9997033476829529;2.7.8,0.00011990078928647563;5.4.99,2.9657327104359865e-05;5.-.-,2.4101511371554807e-05;2.3.1,1.3410686733550392e-05"
R05625,"3.6.1,0.9847708344459534;2.7.9,0.00929159577935934;3.-.-,0.002889783587306738;3.1.4,0.0018049689242616296;3.1.3,0.0011725124204531312"
R01709,"1.2.3,0.6196463704109192;1.17.3,0.37161749601364136;1.1.3,0.005274536088109016;1.5.3,0.0008570177596993744;1.14.18,0.0006455357070080936"
R01420,"1.2.1,0.9968921542167664;1.1.1,0.0015995773719623685;1.2.3,0.001412539160810411;1.17.1,2.5112474759225734e-05;1.5.1,1.5089306543814018e-05"
R09185,"4.1.3,0.9823477268218994;1.14.11,0.011770535260438919;2.3.1,0.001514258561655879;5.4.99,0.0015063754981383681;2.6.1,0.0010396563448011875"
R02142,"2.4.2,0.9736689925193787;2.7.8,0.020612571388483047;3.2.2,0.005021362099796534;1.1.1,0.0001776009885361418;2.3.1,0.00011336000898154452"
R06865,"1.14.13,0.5847362875938416;1.14.16,0.20039981603622437;1.14.18,0.10058023035526276;1.14.15,0.03230863809585571;1.14.-,0.02587663009762764"
R05759,"2.1.1,1.0;2.3.1,5.686120463366251e-10;2.5.1,3.521571922959765e-11;3.5.1,1.8164636461648342e-11;3.1.1,1.7461797632845055e-11"
R03345,"4.1.2,0.9994370341300964;2.6.99,9.388626494910568e-05;1.14.14,9.076730202650651e-05;1.1.99,8.154303941410035e-05;4.2.1,6.83921534800902e-05"
R11542,"3.1.2,0.977311909198761;3.1.1,0.013931355439126492;2.3.1,0.0029243191238492727;1.2.3,0.0011590899666771293;1.13.12,0.0009394929511472583"
R01030,"3.1.4,0.9944342970848083;3.1.3,0.004308971110731363;3.6.1,0.0009819160914048553;2.7.8,0.00017309530812781304;3.2.1,2.5306671886937693e-05"
R10990,"2.7.7,0.8102380037307739;2.4.1,0.18126052618026733;6.2.1,0.0015806438168510795;5.1.3,0.0015466678887605667;2.7.1,0.001055761706084013"
R05429,"1.14.12,0.9848573207855225;1.14.19,0.005889663007110357;1.3.1,0.0034810244105756283;2.7.4,0.0023379363119602203;1.14.99,0.0016551122535020113"
R01825,"1.2.1,0.9892470240592957;1.1.1,0.009852653369307518;1.17.1,0.0002403431135462597;1.5.1,0.0001578025403432548;1.2.3,0.00011350221757311374"
R05649,"1.2.1,0.9974949359893799;1.1.1,0.0013186467112973332;1.2.3,0.0008536074310541153;1.17.1,9.095798304770142e-05;1.2.99,4.987281499779783e-05"
R00716,"1.5.1,0.9936354160308838;1.4.1,0.0028910934925079346;1.5.99,0.0008632486569695175;1.8.1,0.0005681689945049584;1.1.1,0.0003571622946765274"
R00262,"3.5.1,0.4553753733634949;1.4.1,0.3203926384449005;2.6.1,0.1408352106809616;3.4.11,0.01362159475684166;6.3.5,0.01243686955422163"
R10090,"6.3.2,0.9996048808097839;2.7.1,0.00027645888621918857;2.7.4,3.945187563658692e-05;2.3.2,3.087742879870348e-05;2.3.1,1.7023556210915558e-05"
R06424,"5.3.2,0.9967256784439087;1.1.5,0.0008773941663093865;1.1.1,0.0005873106420040131;5.3.3,0.00026528851594775915;1.13.11,0.00010618337546475232"
R05782,"3.5.5,0.6016974449157715;4.4.1,0.18270635604858398;4.2.1,0.16586193442344666;4.1.99,0.012874252162873745;2.3.-,0.01267025712877512"
R03633,"2.1.1,1.0;1.-.-,2.1786983024976725e-13;1.14.21,1.2873734433896996e-14;2.5.1,8.916745481899174e-15;3.3.1,8.430780657202753e-15"
R00161,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R08863,"1.11.1,0.8501806259155273;1.11.2,0.14365486800670624;1.1.3,0.003246637061238289;1.2.3,0.0005272674607113004;3.1.3,0.0005127443000674248"
R00883,"2.7.7,0.6214792132377625;3.1.3,0.1329171359539032;2.7.1,0.07938840240240097;2.7.3,0.05986792594194412;2.4.1,0.029067398980259895"
R06676,"5.5.1,0.9999791383743286;4.3.1,7.3100363806588575e-06;1.1.3,4.314611942390911e-06;5.4.99,3.625227463999181e-06;4.2.1,8.764972108110669e-07"
R10624,"5.5.1,0.9624033570289612;1.6.5,0.03375720605254173;1.12.5,0.0008199774310924113;1.3.5,0.0005330964922904968;1.14.99,0.0003936015418730676"
R11503,"1.11.1,0.9999614953994751;1.2.3,1.4129170267551672e-05;1.17.3,1.0706836292229127e-05;1.2.1,3.82231019102619e-06;1.7.3,1.9038649270441965e-06"
R10987,"2.4.1,0.9996421337127686;5.4.99,0.00023994095681700855;2.7.3,6.831349310232326e-05;2.7.8,1.729633913782891e-05;2.4.2,1.3518391824618448e-05"
R06863,"2.2.1,0.988553524017334;5.3.1,0.011374698020517826;1.1.1,1.4639321307186037e-05;1.13.99,1.0537964044488035e-05;1.1.2,9.014148417918477e-06"
R09417,"3.3.2,0.918600857257843;3.1.3,0.04212627559900284;4.2.1,0.02553618885576725;1.14.14,0.007056435104459524;3.4.11,0.0018605489749461412"
R04884,"1.14.18,0.9999951124191284;1.14.16,3.2719319733587326e-06;1.14.13,1.0840265076694777e-06;1.10.3,4.1788405269471696e-07;1.21.3,1.2201168075876012e-08"
R05114,"2.4.99,0.8211253881454468;3.1.3,0.1252744495868683;2.7.7,0.023213323205709457;2.3.2,0.02229170873761177;3.1.4,0.0020035146735608578"
R05674,"2.-.-,0.8625202775001526;2.1.1,0.13629598915576935;2.5.1,0.000580853782594204;2.4.-,0.00017210612713824958;4.3.3,0.00012636520841624588"
R00806,"2.4.1,0.9984827637672424;5.4.99,0.0015090368688106537;6.2.1,1.3409643315753783e-06;2.7.7,1.16547892048402e-06;2.4.2,9.53659593960765e-07"
R04922,"2.7.8,1.0;2.7.1,5.32420219023777e-10;2.7.7,3.1402397349111766e-10;3.1.3,2.143987348768306e-10;3.6.1,6.939232521929739e-11"
R08824,"2.4.1,0.9907076358795166;2.4.2,0.009199338033795357;2.3.1,4.865755545324646e-05;3.2.1,1.7736458175932057e-05;2.7.7,1.4682375876873266e-05"
R04867,"2.1.1,1.0;2.3.1,2.0143520185200714e-09;1.14.11,1.082279821318366e-10;1.14.13,2.82448595761986e-11;6.-.-,1.0325644853037552e-11"
R10896,"4.2.3,0.9914199113845825;5.5.1,0.008311588317155838;5.3.3,0.00024010500055737793;4.3.2,8.387371963181067e-06;3.1.7,4.208676273265155e-06"
R10692,"1.14.13,0.9999082088470459;4.2.3,4.745047044707462e-05;1.14.14,2.8110549465054646e-05;1.6.5,5.637733920593746e-06;1.14.15,3.7449897263286402e-06"
R00590,"4.3.1,0.9528902173042297;4.1.99,0.030350062996149063;4.5.1,0.008439570665359497;4.2.3,0.0034234924241900444;3.5.4,0.0012423864100128412"
R06970,"3.8.1,0.9844326972961426;3.5.4,0.012599709443747997;3.6.1,0.0006847138865850866;3.2.1,0.00024801131803542376;3.1.4,0.00020401067740749568"
R04027,"1.4.3,0.9999990463256836;1.4.9,7.300654374375881e-07;3.5.4,1.5082383697517798e-07;2.1.4,6.71657218731525e-08;1.14.14,3.865280717718633e-08"
R08342,"1.14.13,0.9044502377510071;1.14.14,0.09049484133720398;2.1.1,0.0012275160988792777;1.14.-,0.0008941645501181483;1.5.1,0.0006253938190639019"
R11678,"1.2.1,0.990807831287384;1.1.1,0.002893349388614297;1.5.1,0.0013877768069505692;1.17.1,0.00078898313222453;1.7.1,0.0007236170931719244"
R04450,"3.1.2,0.9989118576049805;2.3.1,0.0009141967166215181;6.2.1,4.334076584200375e-05;1.2.1,3.296509385108948e-05;3.1.1,2.7869766199728474e-05"
R06853,"1.13.11,0.21227364242076874;1.11.1,0.21149517595767975;1.14.13,0.18979254364967346;1.3.1,0.08787080645561218;1.8.5,0.06566286087036133"
R04967,"1.3.1,0.9789988994598389;2.3.1,0.020395157858729362;1.1.1,0.00023369719565380365;2.7.1,0.0001398045860696584;1.3.99,0.0001175728757516481"
R02423,"3.5.3,0.9993152618408203;5.1.99,0.0005036864313296974;3.5.1,7.571629976155236e-05;3.2.1,5.5849141062935814e-05;2.5.1,1.660079760767985e-05"
R02605,"4.5.1,0.9999203681945801;4.3.1,2.5021974579431117e-05;4.1.99,1.664170304138679e-05;1.97.1,7.970732440298889e-06;1.14.99,7.010111403360497e-06"
